XID,Reg.,State
r296029,UPRERAPRJ647179,Uttar Pradesh
r344889,UPRERAPRJ950870,Uttar Pradesh
r346761,UPRERAPRJ371638,Uttar Pradesh
r58454,UPRERAPRJ7139,Uttar Pradesh
r58454,UPRERAPRJ7192,Uttar Pradesh
r58454,UPRERAPRJ7272,Uttar Pradesh
r58454,UPRERAPRJ7358,Uttar Pradesh
r58454,UPRERAPRJ7405,Uttar Pradesh
r224443,UPRERAPRJ6019,Uttar Pradesh
r352441,UPRERAPRJ504323,Uttar Pradesh
r171063,UPRERAPRJ605799,Uttar Pradesh
r266671,UPRERAPRJ367744,Uttar Pradesh
r217985,UPRERAPRJ544612,Uttar Pradesh
r171063,UPRERAPRJ243983,Uttar Pradesh
r293555,UPRERAPRJ796428,Uttar Pradesh
r325311,UPRERAPRJ192087,Uttar Pradesh
r368537,UPRERAPRJ946299,Uttar Pradesh
r368970,UPRERAPRJ494753,Uttar Pradesh
r4436,UPRERAPRJ14530,Uttar Pradesh
r373839,UPRERAPRJ646272,Uttar Pradesh
r374899,UPRERAPRJ785019,Uttar Pradesh
r217045,UPRERAPRJ283534,Uttar Pradesh
r5996,UPRERAPRJ555694,Uttar Pradesh
r5832,UPRERAPRJ617209,Uttar Pradesh
r78371,UPRERAPRJ101801,Uttar Pradesh
r374312,UPRERAPRJ145318,Uttar Pradesh
r262156,UPRERAPRJ5019,Uttar Pradesh
r262156,UPRERAPRJ5381,Uttar Pradesh
r262156,UPRERAPRJ5031,Uttar Pradesh
r242619,UPRERAPRJ3185,Uttar Pradesh
r43270,UPRERAPRJ12103,Uttar Pradesh
r58476,UPRERAPRJ4754,Uttar Pradesh
r378409,UPRERAPRJ677294,Uttar Pradesh
r300125,UPRERAPRJ121123,Uttar Pradesh
r371545,UPRERAPRJ577235,Uttar Pradesh
r382880,UPRERAPRJ336575,Uttar Pradesh
r1345,UPRERAPRJ7263 ,Uttar Pradesh
r383292,UPRERAPRJ249516,Uttar Pradesh
r301705,UPRERAPRJ449577,Uttar Pradesh
r300125,UPRERAPRJ575706,Uttar Pradesh
r384794,UPRERAPRJ158423,Uttar Pradesh
r69286,UPRERAPRJ736583,Uttar Pradesh
r7894,UPRERAPRJ967323,Uttar Pradesh
r217349,UPRERAPRJ422497,Uttar Pradesh
r52338,UPRERAPRJ718664,Uttar Pradesh
r266671,UPRERAPRJ541833,Uttar Pradesh
r376075,UPRERAPRJ243850,Uttar Pradesh
r78371,UPRERAPRJ15690,Uttar Pradesh
r788,UPRERAPRJ11424,Uttar Pradesh
r9248,UPRERAPRJ7354,Uttar Pradesh
r31080,UPRERAPRJ8809,Uttar Pradesh
r1300,UPRERAPRJ3784,Uttar Pradesh
r8480,UPRERAPRJ8971,Uttar Pradesh
r394092,UPRERAPRJ730714,Uttar Pradesh
r394131,UPRERAPRJ448790,Uttar Pradesh
r58454,UPRERAPRJ7384,Uttar Pradesh
r58454,UPRERAPRJ7432,Uttar Pradesh
r397844,UPRERAPRJ125561,Uttar Pradesh
r399106,UPRERAPRJ723911,Uttar Pradesh
r400435,UPRERAPRJ613747,Uttar Pradesh
r400555,UPRERAPRJ150017,Uttar Pradesh
r401156,UPRERAPRJ242677,Uttar Pradesh
r50482,UPRERAPRJ569037,Uttar Pradesh
r403945,UPRERAPRJ503189/03/2024,Uttar Pradesh
r405007,UPRERAPRJ548296,Uttar Pradesh
r405294,UPRERAPRJ382100,Uttar Pradesh
r405502,UPRERAPRJ576907,Uttar Pradesh
r406974,UPRERAPRJ149247,Uttar Pradesh
r407176,UPRERAPRJ899584,Uttar Pradesh
r2738, UPRERAPRJ3989,Uttar Pradesh
r217349,UPRERAPRJ15395,Uttar Pradesh
r260448,UPRERAPRJ4833,Uttar Pradesh
r262156,UPRERAPRJ9143,Uttar Pradesh
r269423,UPRERAPRJ306088,Uttar Pradesh
r60, UPRERAPRJ1916,Uttar Pradesh
r163,UPRERAPRJ6102,Uttar Pradesh
r304,UPRERAPRJ3914,Uttar Pradesh
r981,UPRERAPRJ6078,Uttar Pradesh
r1066,UPRERAPRJ6828,Uttar Pradesh
r1214,UPRERAPRJ7155,Uttar Pradesh
r2584,UPRERAPRJ3306,Uttar Pradesh
r2782,UPRERAPRJ8603,Uttar Pradesh
r3506,UPRERAPRJ10833,Uttar Pradesh
r4006,UPRERAPRJ4815,Uttar Pradesh
r4376,UPRERAPRJ3393,Uttar Pradesh
r5980,UPRERAPRJ4506,Uttar Pradesh
r6882,UPRERAPRJ2683,Uttar Pradesh
r7450,UPRERAPRJ2744,Uttar Pradesh
r10356,UPRERAPRJ6908,Uttar Pradesh
r10412,UPRERAPRJ295195,Uttar Pradesh
r10578,UPRERAPRJ1866,Uttar Pradesh
r10822,UPRERAPRJ4783,Uttar Pradesh
r11738,UPRERAPRJ8757,Uttar Pradesh
r15130,UPRERAPRJ869,Uttar Pradesh
r15164,UPRERAPRJ4504,Uttar Pradesh
r15378,UPRERAPRJ6634,Uttar Pradesh
r16380,UPRERAPRJ918,Uttar Pradesh
r20086,UPRERAPRJ3774,Uttar Pradesh
r23256,UPRERAPRJ7198,Uttar Pradesh
r23822,UPRERAPRJ4599,Uttar Pradesh
r24654,UPRERAPRJ3890,Uttar Pradesh
r28166, UPRERAPRJ965074,Uttar Pradesh
r30288,UPRERAPRJ4727,Uttar Pradesh
r33206,UPRERAPRJ4249,Uttar Pradesh
r34314,UPRERAPRJ3330,Uttar Pradesh
r35394,UPRERAPRJ11260,Uttar Pradesh
r41976,UPRERAPRJ1870,Uttar Pradesh
r49320,UPRERAPRJ6777,Uttar Pradesh
r49332,UPRERAPRJ7424,Uttar Pradesh
r52216,UPRERAPRJ8467,Uttar Pradesh
r59074,UPRERAPRJ3191,Uttar Pradesh
r72427,UPRERAPRJ7496,Uttar Pradesh
r83363,UPRERAPRJ7601,Uttar Pradesh
r102620,UPRERAPRJ4035,Uttar Pradesh
r130119,UPRERAPRJ6695,Uttar Pradesh
r135875,UPRERAPRJ8242,Uttar Pradesh
r173041,UPRERAPRJ3250,Uttar Pradesh
r213691,UPRERAPRJ8304,Uttar Pradesh
r233764,UPRERAPRJ6407,Uttar Pradesh
r264019,UPRERAPRJ2769,Uttar Pradesh
r265239,UPRERAPRJ8684,Uttar Pradesh
r268877,UPRERAPRJ3935,Uttar Pradesh
r270000,UPRERAPRJ5448,Uttar Pradesh
r270701,UPRERAPRJ2761,Uttar Pradesh
r272175,UPRERAPRJ3796,Uttar Pradesh
r28166,UPRERAPRJ6920,Uttar Pradesh
r14386,UPRERAPRJ5611,Uttar Pradesh
r14386,UPRERAPRJ5634,Uttar Pradesh
r7380,UPRERAPRJ5942,Uttar Pradesh
r7380,UPRERAPRJ5633,Uttar Pradesh
r3042,UPRERAPRJ6949,Uttar Pradesh
r1361,UPRERAPRJ11625,Uttar Pradesh
r24550,UPRERAPRJ8805,Uttar Pradesh
r278545,UPRERAPRJ8126,Uttar Pradesh
r278633,UPRERAPRJ1244,Uttar Pradesh
r754,UPRERAPRJ4954,Uttar Pradesh
r938,UPRERAPRJ8533,Uttar Pradesh
r1223,UPRERAPRJ5596,Uttar Pradesh
r1345,UPRERAPRJ7223,Uttar Pradesh
r4564,UPRERAPRJ6457,Uttar Pradesh
r5968,UPRERAPRJ6255,Uttar Pradesh
r15402,UPRERAPRJ10394,Uttar Pradesh
r52338,UPRERAPRJ9814,Uttar Pradesh
r134885,UPRERAPRJ7473,Uttar Pradesh
r141541,UPRERAPRJ5856,Uttar Pradesh
r217985,UPRERAPRJ6682,Uttar Pradesh
r255783,UPRERAPRJ7477,Uttar Pradesh
r409651,UPRERAPRJ629194,Uttar Pradesh
r409753,UPRERAPRJ303390,Uttar Pradesh
r410631,UPRERAPRJ442214,Uttar Pradesh
r346761,UPRERAPRJ525944,Uttar Pradesh
r410958,UPRERAPRJ446459,Uttar Pradesh
r400436,UPRERAPRJ115902,Uttar Pradesh
r400436,UPRERAPRJ507062,Uttar Pradesh
r413639,UPRERAPRJ650784  ,Uttar Pradesh
r293599,UPRERAPRJ774152,Uttar Pradesh
r376075,UPRERAPRJ865343,Uttar Pradesh
r376075,UPRERAPRJ250078,Uttar Pradesh
r416316,UPRERAPRJ952297,Uttar Pradesh
r301705,UPRERAPRJ396035,Uttar Pradesh
r418325,UPRERAPRJ623034,Uttar Pradesh
r420795,UPRERAPRJ923780 ,Uttar Pradesh
r421404,UPRERAPRJ120209,Uttar Pradesh
r421468,UPRERAPRJ787868,Uttar Pradesh
r7098,UPRERAPRJ727500/01/2024,Uttar Pradesh
r217985,UPRERAPRJ868210 ,Uttar Pradesh
r214277,UPRERAPRJ309036,Uttar Pradesh
r423230,UPRERAPRJ705722,Uttar Pradesh
r423722,"UPRERAPRJ391104/02/2024	",Uttar Pradesh
r27756,UPRERAPRJ5652,Uttar Pradesh
r1125,UPRERAPRJ10275,Uttar Pradesh
r1125,UPRERAPRJ10240,Uttar Pradesh
r2274,UPRERAPRJ2437,Uttar Pradesh
r173041,UPRERAPRJ14316,Uttar Pradesh
r20086,UPRERAPRJ3774,Uttar Pradesh
r4436,UPRERAPRJ3852,Uttar Pradesh
r270729,UPRERAPRJ4115,Uttar Pradesh
r743,UPRERAPRJ4466,Uttar Pradesh
r4658,UPRERAPRJ17061,Uttar Pradesh
r217045,UPRERAPRJ1181,Uttar Pradesh
r50482,UPRERAPRJ3168,Uttar Pradesh
r3404,UPRERAPRJ6396,Uttar Pradesh
r27756,UPRERAPRJ5719,Uttar Pradesh
r7894,UPRERAPRJ6377,Uttar Pradesh
r864,UPRERAPRJ9689,Uttar Pradesh
r32128,UPRERAPRJ5635,Uttar Pradesh
r50670,UPRERAPRJ9256,Uttar Pradesh
r269571,UPRERAPRJ7939,Uttar Pradesh
r217045,UPRERAPRJ1550,Uttar Pradesh
r14758,UPRERAPRJ11037,Uttar Pradesh
r265239,UPRERAPRJ8678,Uttar Pradesh
r4436,UPRERAPRJ3828,Uttar Pradesh
r743,UPRERAPRJ4411,Uttar Pradesh
r4006,UPRERAPRJ4909,Uttar Pradesh
r4514,UPRERAPRJ5545,Uttar Pradesh
r671,UPRERAPRJ5667,Uttar Pradesh
r4564,UPRERAPRJ6476,Uttar Pradesh
r15378,UPRERAPRJ6856,Uttar Pradesh
r23256,UPRERAPRJ7342,Uttar Pradesh
r921,UPRERAPRJ4243,Uttar Pradesh
r921,UPRERAPRJ4264,Uttar Pradesh
r64884,UPRERAPRJ279104,Uttar Pradesh
r266671,UPRERAPRJ2629,Uttar Pradesh
r6128,UPRERAPRJ3142,Uttar Pradesh
r7098,UPRERAPRJ8973,Uttar Pradesh
r16580,UPRERAPRJ5585,Uttar Pradesh
r16580,UPRERAPRJ3388,Uttar Pradesh
r588,UPRERAPRJ6450,Uttar Pradesh
r938,UPRERAPRJ8538,Uttar Pradesh
r2782,UPRERAPRJ8612,Uttar Pradesh
r750,UPRERAPRJ9275,Uttar Pradesh
r7098,UPRERAPRJ9299,Uttar Pradesh
r1053,UPRERAPRJ7482,Uttar Pradesh
r1084,UPRERAPRJ8584,Uttar Pradesh
r1355,UPRERAPRJ9966,Uttar Pradesh
r54618,UPRERAPRJ10343,Uttar Pradesh
r770,UPRERAPRJ11563,Uttar Pradesh
r265239,UPRERAPRJ8667,Uttar Pradesh
r50678,UPRERAPRJ9777,Uttar Pradesh
r125399,UPRERAPRJ4960,Uttar Pradesh
r285221,UPRERAPRJ12850,Uttar Pradesh
r289195,UPRERAPRJ8977,Uttar Pradesh
r290423,UPRERAPRJ4655,Uttar Pradesh
r303,UPRERAPRJ4695,Uttar Pradesh
r1084,UPRERAPRJ8547,Uttar Pradesh
r5012,UPRERAPRJ6332,Uttar Pradesh
r24920,UPRERAPRJ5489,Uttar Pradesh
r262630,UPRERAPRJ5857,Uttar Pradesh
r266671,UPRERAPRJ17445,Uttar Pradesh
r175175,UPRERAPRJ4882,Uttar Pradesh
r59074, UPRERAPRJ2218,Uttar Pradesh
r424010,UPRERAPRJ916631/02/2024,Uttar Pradesh
r424094,UPRERAPRJ874745/02/2024,Uttar Pradesh
r382880,UPRERAPRJ576439,Uttar Pradesh
r414339,UPRERAPRJ953234/04/2024,Uttar Pradesh
r425033,UPRERAPRJ683816/04/2024,Uttar Pradesh
r425268,UPRERAPRJ288309/04/2024,Uttar Pradesh
r425272,UPRERAPRJ787285 ,Uttar Pradesh
r293555,UPRERAPRJ780859/02/2024,Uttar Pradesh
r425773,UPRERAPRJ448904/04/2024,Uttar Pradesh
r426159,UPRERAPRJ558356/04/2024,Uttar Pradesh
r427388,UPRERAPRJ654285/05/2024,Uttar Pradesh
r427706,UPRERAPRJ535784/04/2024,Uttar Pradesh
r428035,UPRERAPRJ115705/05/2024,Uttar Pradesh
r428348,UPRERAPRJ937699/04/2024,Uttar Pradesh
r293555,UPRERAPRJ619659/05/2024,Uttar Pradesh
r293555,UPRERAPRJ982766/05/2024,Uttar Pradesh
r293555,UPRERAPRJ225640/05/2024,Uttar Pradesh
r429100,UPRERAPRJ273040/05/2024,Uttar Pradesh
r429111,UPRERAPRJ858081/05/2024,Uttar Pradesh
r24988,UPRERAPRJ723,Uttar Pradesh
r429656,UPRERAPRJ869140,Uttar Pradesh
r224443,UPRERAPRJ3362,Uttar Pradesh
r368688,UPRERAPRJ868878/07/2024,Uttar Pradesh
r432470,UPRERAPRJ999197/09/2024,Uttar Pradesh
r380719,UPRERAPRJ481588/08/2024,Uttar Pradesh
r414540,UPRERAPRJ409115/09/2024,Uttar Pradesh
r427388,UPRERAPRJ195850/08/2024,Uttar Pradesh
r430094,UPRERAPRJ166763/08/2024,Uttar Pradesh
r433855,UPRERAPRJ677887/10/2024,Uttar Pradesh
r433861,UPRERAPRJ556045/10/2024,Uttar Pradesh
r435504,UPRERAPRJ133352/07/2024,Uttar Pradesh
r171063,UPRERAPRJ555231,Uttar Pradesh
r438048,UPRERAPRJ863272/09/2024,Uttar Pradesh
r420795,UPRERAPRJ564504/08/2024,Uttar Pradesh
r290685,UPRERAPRJ13521,Uttar Pradesh
r291747,UPRERAPRJ15047,Uttar Pradesh
r295513,UPRERAPRJ13573,Uttar Pradesh
r296029,UPRERAPRJ4224,Uttar Pradesh
r49332,UPRERAPRJ7476,Uttar Pradesh
r49332,UPRERAPRJ7187,Uttar Pradesh
r49332,UPRERAPRJ7457,Uttar Pradesh
r122973,UPRERAPRJ2864,Uttar Pradesh
r299941,UPRERAPRJ15105,Uttar Pradesh
r18270,UPRERAPRJ3824,Uttar Pradesh
r301243,UPRERAPRJ3830,Uttar Pradesh
r10412,UPRERAPRJ3137,Uttar Pradesh
r16580,UPRERAPRJ4179,Uttar Pradesh
r6588,UPRERAPRJ10857,Uttar Pradesh
r296029,UPRERAPRJ15884,Uttar Pradesh
r1920,UPRERAPRJ6085,Uttar Pradesh
r309057,UPRERAPRJ16342,Uttar Pradesh
r309383,UPRERAPRJ16612,Uttar Pradesh
r2470,UPRERAPRJ16752,Uttar Pradesh
r125399,UPRERAPRJ5035,Uttar Pradesh
r312765,UPRERAPRJ17268,Uttar Pradesh
r1084,UPRERAPRJ8595,Uttar Pradesh
r2738,UPRERAPRJ6922,Uttar Pradesh
r2738,UPRERAPRJ3757,Uttar Pradesh
r2738,UPRERAPRJ3772,Uttar Pradesh
r2738,UPRERAPRJ12542,Uttar Pradesh
r2738,UPRERAPRJ3068,Uttar Pradesh
r2738,UPRERAPRJ3781,Uttar Pradesh
r2738,UPRERAPRJ3790,Uttar Pradesh
r2738,UPRERAPRJ3244,Uttar Pradesh
r50670,UPRERAPRJ9203,Uttar Pradesh
r318631,UPRERAPRJ17975,Uttar Pradesh
r4524,UPRERAPRJ6335,Uttar Pradesh
r328277,UPRERAPRJ519100,Uttar Pradesh
r1918,UPRERAPRJ730754,Uttar Pradesh
r329835,UPRERAPRJ735034,Uttar Pradesh
r329835,UPRERAPRJ171530,Uttar Pradesh
r23990,UPRERAPRJ6838,Uttar Pradesh
r331095,UPRERAPRJ498423,Uttar Pradesh
r318275,UPRERAPRJ17861,Uttar Pradesh
r332831,UPRERAPRJ591510,Uttar Pradesh
r333137,UPRERAPRJ124632,Uttar Pradesh
r333811,UPRERAPRJ284035,Uttar Pradesh
r28288,UPRERAPRJ1720,Uttar Pradesh
r63173,UPRERAPRJ2634,Uttar Pradesh
r336331,UPRERAPRJ417134,Uttar Pradesh
r293555,UPRERAPRJ5417,Uttar Pradesh
r293555,UPRERAPRJ5427,Uttar Pradesh
r23822,UPRERAPRJ4925,Uttar Pradesh
r23822,UPRERAPRJ5029,Uttar Pradesh
r3510,UPRERAPRJ9885,Uttar Pradesh
r83229,UPRERAPRJ5650,Uttar Pradesh
r83229,UPRERAPRJ5534,Uttar Pradesh
r27756,UPRERAPRJ482904,Uttar Pradesh
r343931,UPRERAPRJ109037,Uttar Pradesh
r343933,UPRERAPRJ144928,Uttar Pradesh
r343935,UPRERAPRJ161330,Uttar Pradesh
r347175,UPRERAPRJ827165,Uttar Pradesh
r58454,UPRERAPRJ7326,Uttar Pradesh
