UPRERAPRJ380846,OMAXE PANCHAM REALCON PVT. LTD. (FOMERLY PANCHAM REALCON PVT. LTD.),Commercial,OMAXE CITY SANGAM PLAZA,Uttar Pradesh,Prayagraj,09-10-2023,30-05-2028,Allahabad **,1981,25.39000545927248,81.8903247461407,Apurba Bohra 
UPRERAPRJ5381,OMAXE PANCHAM REALCON PVT. LTD. (FOMERLY PANCHAM REALCON PVT. LTD.),Residential,OMAXE AANANDA (HITECH TOWNSHIP) TOWER - F,Uttar Pradesh,Prayagraj,29-07-2017,18-04-2023,Karchhana,7238,25.388968,81.890231,PRAKASH KUMAR
UPRERAPRJ575706,WONDROUS BUILDMART PRIVATE LIMITED,Residential,ELDECO LIVE BY THE GREENS PHASE -III,Uttar Pradesh,Gautam Buddha Nagar,06-12-2021,28-02-2027,Gautam Buddha Nagar,9871,28.4182800232,77.48763798,Mr. Kulmeet Shangari
UPRERAPRJ12323,WORDTECH INFRAPROMOTERS P LTD,Residential,VASUNDHARA APARTMENT,Uttar Pradesh,Rampur,26-08-2017,31-12-2019,Bilaspur,5575,28.9671223,79.3747141,Pawan Bhatt
UPRERAPRJ250078,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,UCHDPL-VERIDIA-5-OAKWOOD ENCLAVE,Uttar Pradesh,Ghaziabad,01-10-2022,28-12-2025,Ghaziabad,9472,28.6603,77.4962,Niraj Kumar Nanda 
UPRERAPRJ6922,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,UCHDPL-SECTOR-2-PLOTS,Uttar Pradesh,Ghaziabad,04-10-2017,31-12-2018,Ghaziabad,305911,28.66855,77.48724,NA
UPRERAPRJ229635,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,UCHDPL-SECTOR-1-OAK WOOD ENCLAVE- PLOTS,Uttar Pradesh,Ghaziabad,24-08-2020,30-06-2021,Ghaziabad,99041,28.6608,77.4954,Niraj Kumar Nanda
UPRERAPRJ303390,GODREJ PROPERTIES LIMITED,Mixed,GODREJ TROPICAL ISLE,Uttar Pradesh,Gautam Buddha Nagar,22-07-2023,28-02-2030,Gautam Buddha Nagar,25000,28.470636,77.452858,Ar. Avanish Srivastav
UPRERAPRJ308567,SAM INDIA ABHIMANYU HOUSING,Residential,PALM OLYMPIA PH 2,Uttar Pradesh,Gautam Buddha Nagar,22-07-2023,30-04-2028,Gautam Buddha Nagar,33050,28.3659,77.2511,Mr. Vishal Sharma
UPRERAPRJ4850,RAJESH PROJECTS (INDIA) PVT. LTD,Residential,RG LUXURY HOMES (TOWER G & H),Uttar Pradesh,Gautam Buddha Nagar,01-08-2017,30-09-2020,Gautam Buddha Nagar,13554,28*36’17N,77*26’59E,
