Registration Number,Development Type,Size Of plot,Number Of Plot/Villas,Carpet Area Of The Villa(In Sq. Mt.)
UPRERAPRJ5430,P8,1,3 BHK,17,99.405,2,12.17,0,0,,,
UPRERAPRJ5430,P8,1,2 BHK,36,74.972,2,9.94,0,0,,,
UPRERAPRJ5430,P8,2,3 BHK,17,97.454,2,12.17,0,0,,,
UPRERAPRJ5430,P8,3,3 BHK,17,96.618,2,11.71,0,0,,,
UPRERAPRJ185345,Villa,209,7,158
UPRERAPRJ185345,Villa,154,10,158
UPRERAPRJ8249,Villa,75,59,196
UPRERAPRJ8249,Villa,75,5,139
UPRERAPRJ8249,Villa,75,40,102
UPRERAPRJ8249,Villa,104,8,151
UPRERAPRJ8249,Villa,104,1,183
UPRERAPRJ8249,,,,
UPRERAPRJ5417,0,GF,OTHER,0,0,0,0,0,0,,,
UPRERAPRJ403992,Plot,150,1, 
UPRERAPRJ403992,Plot,98,5,
UPRERAPRJ403992,Plot,129,1,
UPRERAPRJ403992,Plot,117,2,
UPRERAPRJ403992,Plot,113,1,
UPRERAPRJ403992,Plot,109,1,
UPRERAPRJ403992,Plot,103,1,
UPRERAPRJ403992,Plot,114,1,
UPRERAPRJ403992,Plot,116,1,
UPRERAPRJ403992,Villa,98,7,153
UPRERAPRJ403992,Villa,123,1,187
UPRERAPRJ403992,Villa,150,1,164
UPRERAPRJ403992,Villa,150,1,156
UPRERAPRJ403992,Villa,100,2,156
UPRERAPRJ403992,Villa,100,1,130
UPRERAPRJ5421,0,GF,OTHER,0,0,0,0,0,0,,,
UPRERAPRJ5429,P6,1,3 BHK,3,99.405,2,12.17,0,0,,,
UPRERAPRJ5429,P6,2,2 BHK,31,74.415,2,9.94,0,0,,,
UPRERAPRJ5429,P6,2,4 BHK,24,134.337,2,14.03,0,0,,,
UPRERAPRJ5429,P6,3,3 BHK,3,96.618,2,11.71,0,0,,,
UPRERAPRJ5429,P6,1,2 BHK,6,74.415,2,9.94,0,0,,,
UPRERAPRJ5429,P6,GF,2 BHK,6,74.972,2,9.94,0,0,,,
UPRERAPRJ5429,P6,1,2 BHK,31,74.972,2,9.94,0,0,,,
UPRERAPRJ5429,P6,1,4 BHK,24,135.080,2,14.03,0,0,,,
UPRERAPRJ5429,P6,2,3 BHK,3,97.454,2,12.17,0,0,,,
UPRERAPRJ5429,P6,3,2 BHK,31,74.415,2,9.48,0,0,,,
UPRERAPRJ5429,P6,3,4 BHK,24,133.315,2,14.03,0,0,,,
UPRERAPRJ5429,P6,2,2 BHK,6,74.415,2,9.48,0,0,,,
UPRERAPRJ5546,Villa,94,95,94
UPRERAPRJ5546,Villa,113,67,121
UPRERAPRJ5660,Villa,168,11,209
UPRERAPRJ5660,Villa,126,31,172
UPRERAPRJ5660,Villa,84,28,120
UPRERAPRJ3737,,230,25,299.93
UPRERAPRJ3737,,223,20,299.93
UPRERAPRJ3737,,282,2,355.63
UPRERAPRJ3737,,374,2,355.63
UPRERAPRJ5863,Villa,83.61,18,188.26
UPRERAPRJ5863,Villa,125.42,22,288.39
UPRERAPRJ5863,Villa,167.22,25,343.74
UPRERAPRJ5863,Villa,271.74,12,497.31
UPRERAPRJ929056,NA,BSMNT,OTHER,0,0,0,0,0,0,,,
