XID,Reg.,State
r302479,PRM/KA/RERA/1251/308/PR/171201/000535,Karnataka
r303427,PRM/KA/RERA/1251/309/PR/160623/005997,Karnataka
r249607,PRM/KA/RERA/1251/309/PR/181210/002204,Karnataka
r72791,PRM/KA/RERA/1251/310/PR/180420/001513,Karnataka
r305417,PRM/KA/RERA/1251/446/PR/180420/001525,Karnataka
r161261,PRM/KA/RERA/1251/446/PR/171031/001452,Karnataka
r161261,PRM/KA/RERA/1251/446/PR/170915/000221,Karnataka
r161261,PRM/KA/RERA/1251/446/PR/170915/000165,Karnataka
r161261,PRM/KA/RERA/1251/446/PR/170915/000202,Karnataka
r161261,PRM/KA/RERA/1251/446/PR/170915/000163,Karnataka
r306015,PRM/KA/RERA/1251/310/PR/180503/001564,Karnataka
r72791,PRM/KA/RERA/1251/310/PR/180507/001622,Karnataka
r296293,PRM/KA/RERA/1251/310/PR/180507/001648,Karnataka
r306221,PRM/KA/RERA/1251/308/PR/180504/001600,Karnataka
r306817,PRM/KA/RERA/1254/460/PR/180521/001784,Karnataka
r36096,PRM/KA/RERA/1251/308/PR/180521/001786,Karnataka
r8572,PRM/KA/RERA/1251/309/PR/171117/000365,Karnataka
r307457,PRM/KA/RERA/1251/446/PR/181003/002021,Karnataka
r262930,PRM/KA/RERA/1251/446/PR/180602/001854,Karnataka
r8352,PRM/KA/RERA/1250/307/PR/171014/000171,Karnataka
r309011,PRM/KA/RERA/1251/309/PR/180621/001907,Karnataka
r309239,PRM/KA/RERA/1251/446/PR/180621/001910,Karnataka
r5858,PRM/KA/RERA/1251/309/PR/170916/000459,Karnataka
r307977,PRM/KA/RERA/1251/446/PR/180627/001934,Karnataka
r269143,PRM/KA/RERA/1251/308/PR/180627/001941,Karnataka
r217667,PRM/KA/RERA/1251/308/PR/180728/001944,Karnataka
r312483,PRM/KA/RERA/1251/309/PR/180808/001981,Karnataka
r161261,PRM/KA/RERA/1251/446/PR/181010/002039,Karnataka
r317381,PRM/KA/RERA/1251/309/PR/181022/002098,Karnataka
r25134,PRM/KA/RERA/1251/310/PR/171014/000173,Karnataka
r317959,PRM/KA/RERA/1268/378/PR/180507/001617,Karnataka
r23834,PRM/KA/RERA/1251/310/PR/170913/000119,Karnataka
r23834,PRM/KA/RERA/1251/310/PR/170913/000121,Karnataka
r25134,PRM/KA/RERA/1251/310/PR/171015/000277,Karnataka
r318571,PRM/KA/RERA/1251/310/PR/190215/002374,Karnataka
r319095,PRM/KA/RERA/1251/309/PR/181122/002167,Karnataka
r319371, PRM/KA/RERA/1251/446/PR/181219/002236,Karnataka
r273489,PRM/KA/RERA/1250/303/PR/181123/002192,Karnataka
r317381,PRM/KA/RERA/1251/309/PR/181210/002201,Karnataka
r321459,PRM/KA/RERA/1250/303/PR/181215/002219,Karnataka
r321743,PRM/KA/RERA/1251/309/PR/181226/002260,Karnataka
r319527,PRM/KA/RERA/1251/309/PR/190102/002270,Karnataka
r296293,PRM/KA/RERA/1251/310/PR/190129/002307,Karnataka
r324453,PRM/KA/RERA/1251/446/PR/190204/002339,Karnataka
r324873,PRM/KA/RERA/1251/309/PR/190207/002365,Karnataka
r207795,PRM/KA/RERA/1251/310/PR/190328/002500,Karnataka
r161261,PRM/KA/RERA/1251/446/PR/190223/002449,Karnataka
r249607,PRM/KA/RERA/1251/309/PR/190506/002550,Karnataka
r331129,PRM/KA/RERA/1251/309/PR/190427/002538,Karnataka
r331133,PRM/KA/RERA/1251/472/PR/190427/002540,Karnataka
r306189,PRM/KA/RERA/1251/309/PR/190517/002557,Karnataka
r306189,PRM/KA/RERA/1251/309/PR/190517/002556,Karnataka
r306189,PRM/KA/RERA/1251/309/PR/190517/002555,Karnataka
r306189,PRM/KA/RERA/1251/309/PR/190517/002553,Karnataka
r332507,PRM/KA/RERA/1251/308/PR/190523/002566,Karnataka
r334105,PRM/KA/RERA/1251/309/PR/190614/002619,Karnataka
r335249,PRM/KA/RERA/1251/446/PR/190704/002647,Karnataka
r41,PRM/KA/RERA/1251/310/PR/190711/002659,Karnataka
r337047,PRM/KA/RERA/1251/310/PR/190726/002733,Karnataka
r337945,PRM/KA/RERA/1251/310/PR/190809/002754,Karnataka
r339443,PRM/KA/RERA/1257/334/PR/190913/002849,Karnataka
