reg,State
PRM/KA/RERA/1250/304/PR/201215/003748,Karnataka
PRM/KA/RERA/1251/446/PR/210219/003942,Karnataka
PRM/KA/RERA/1251/446/PR/210219/003938,Karnataka
PRM/KA/RERA/1251/308/PR/210219/003913,Karnataka
PRM/KA/RERA/1251/310/PR/210216/003900,Karnataka
PRM/KA/RERA/1250/303/PR/210302/003971,Karnataka
PRM/KA/RERA/1251/309/PR/210331/004084,Karnataka
PRM/KA/RERA/1251/308/PR/210408/004106,Karnataka
PRM/KA/RERA/1251/308/PR/210518/004151,Karnataka
PRM/KA/RERA/1250/303/PR/210525/004161,Karnataka
PRM/KA/RERA/1251/310/PR/171102/002199 ,Karnataka
PRM/KA/RERA/1251/446/PR/191213/003067,Karnataka
PRM/KA/RERA/1251/446/PR/190809/002801,Karnataka
PRM/KA/RERA/1270/302/PR/210731/004204,Karnataka
 PRM/KA/RERA/1251/308/PR/210824/004289,Karnataka
PRM/KA/RERA/1251/308/PR/210928/004316,Karnataka
PRM/KA/RERA/1251/446/PR/211005/004337,Karnataka
PRM/KA/RERA/1251/308/PR/211007/004346,Karnataka
PRM/KA/RERA/1251/309/PR/211008/004358,Karnataka
PRM/KA/RERA/1251/309/PR/211008/004357,Karnataka
PRM/KA/RERA/1251/309/PR/211008/004359,Karnataka
PRM/KA/RERA/1251/309/PR/211011/004361,Karnataka
PRM/KA/RERA/1251/309/PR/211027/004375,Karnataka
 PRM/KA/RERA/1251/309/PR/211011/004361  ,Karnataka
PRM/KA/RERA/1251/310/PR/211130/004559,Karnataka
PRM/KA/RERA/1251/309/PR/211209/004576,Karnataka
PRM/KA/RERA/1250/303/PR/240122/004653,Karnataka
 PRM/KA/RERA/1251/446/PR/240122/004656,Karnataka
PRM/KA/RERA/1251/308/PR/220202/004665,Karnataka
PRM/KA/RERA/1251/308/PR/220221/004719,Karnataka
"PRM/KA/RERA/1251/308/PR/181122/002156	",Karnataka
PRM/KA/RERA/1251/310/PR/140322/004754,Karnataka
PRM/KA/RERA/1265/347/PR/171015/000717,Karnataka
PRM/KA/RERA/1250/304/PR/160522/004883,Karnataka
PRM/KA/RERA/1270/302/PR/230522/004906,Karnataka
PRM/KA/RERA/1251/446/PR/160622/005000 ,Karnataka
PRM/KA/RERA/1251/310/PR/220601/004946,Karnataka
PRM/KA/RERA/1251/310/PR/220601/004949,Karnataka
PRM/KA/RERA/1251/310/PR/300622/005028,Karnataka
PRM/KA/RERA/1251/308/PR/080323/005778,Karnataka
PRM/KA/RERA/1251/446/PR/220720/005090,Karnataka
PRM/KA/RERA/1251/308/PR/280722/005108,Karnataka
PRM/KA/RERA/1251/308/PR/100822/005148,Karnataka
PRM/KA/RERA/1250/303/PR/190822/005171,Karnataka
PRM/KA/RERA/1250/303/PR/200922/005257,Karnataka
PRM/KA/RERA/1254/460/PR/120922/005232,Karnataka
PRM/KA/RERA/1251/310/PR/220922/005266,Karnataka
PRM/KA/RERA/1250/303/PR/211007/004344,Karnataka
PRM/KA/RERA/1251/308/PR/181122/005471,Karnataka
PRM/KA/RERA/1265/347/PR/151222/005525,Karnataka
PRM/KA/RERA/1251/446/PR/061222/005506,Karnataka
"TOR/PRM/KA/RERA/1250/301/PR/221116/001916	",Karnataka
PRM/KA/RERA/1250/304/PR/190123/005629,Karnataka
PRM/KA/RERA/1250/304/PR/091122/005424,Karnataka
PRM/KA/RERA/1251/310/PR/191222/005541,Karnataka
 PRM/KA/RERA/1251/446/PR/290423/005906,Karnataka
PRM/KA/RERA/1257/334/PR/160223/005729,Karnataka
PRM/KA/RERA/1268/378/PR/040323/005767,Karnataka
PRM/KA/RERA/1251/308/PR/090523/005925,Karnataka
PRM/KA/RERA/1251/310/PR/140223/005715,Karnataka
PRM/KA/RERA/1251/308/PR/090623/005987,Karnataka
PRM/KA/RERA/1251/310/PR/060623/005974,Karnataka
PRM/KA/RERA/1250/301/PR/060623/005973,Karnataka
PRM/KA/RERA/1254/465/PR/220623/006010,Karnataka
TOR/PRM/KA/RERA/1251/309/PR/221116/000068,Karnataka
PRM/KA/RERA/1251/309/PR/110823/006165,Karnataka
PRM/KA/RERA/1251/309/PR/280922/005282 ,Karnataka
PRM/KA/RERA/1251/310/PR/171023/006329,Karnataka
PRM/KA/RERA/1268/378/PR/091123/006385,Karnataka
TOR/PRM/KA/RERA/1251/446/PR/230419/001674,Karnataka
PRM/KA/RERA/1251/308/PR/181223/006499,Karnataka
PRM/KA/RERA/1251/310/PR/251023/006347 ,Karnataka
PRM/KA/RERA/1251/308/PR/300124/006588,Karnataka
PRM/KA/RERA/1251/446/PR/240306/006662,Karnataka
