XID,URL,Project Name,Builder Name,Location,Price Range,Price per Sqft,Configurations,Completion Date,Unit Size Range,LandMarks,Project Size,Launch Date,RERA Number,Total Number of Units,USP,BHK,Amenity Count,Amenities,Specifications,Photo Count,Video Count,Rating count,Price Trend,Builder URL,Builder Experience,Total Projects,Ongoing Projects,Past Projects,Builder Info,Project Status
743,https://www.squareyards.com/gurgaon-residential-property/emaar-gurgaon-greens/245/project,Emaar Gurgaon Greens,Emaar,"Sector 102, Gurgaon",Rs1.98 Cr,"Rs12,000 Per Sq. Ft",3 BHK Flats,"Dec 15, 2019",1650 Sq. Ft (Saleable),"Schools: Imperial Heritage School (0.56 KM), Saint Thomas School Dhankot (0.69 KM), Gurugram Global Heights School (1.00 KM),  (); Bus Stops: Basai Talab (2.69 KM), Bhawani Enclave (2.82 KM), Basai Chowk (2.92 KM), Sector 9/9A (3.03 KM), Sector 9 ESIC Hospital (3.54 KM), Sector 9- ESIC Hospital (3.54 KM), Surya Vihar (3.72 KM), City Bus stand (3.76 KM), Sector 4 Police Station (3.77 KM), Sector-4 Police Station (3.79 KM); Hospitals: GREEN+MED MULTISPECIALITY HOSPITAL (0.42 KM), Om Indu Dental Hospital (0.50 KM), Vibrant Hospital (1.01 KM),  (); Clinics: Pain free smile physiotherapy and Home care (0.01 KM), Move u Physiotherapy Clinic (0.15 KM), Skin shine and ortho clinic (0.21 KM), Dhankot Eye Center (0.33 KM), Newmi Care's Dr. Tuhina Gupta Clinic (0.35 KM), Blossom Women and Children Clinic ( Dr. Daksh MD Pediatrician (0.38 KM), Careocity Dental (0.39 KM), Venu Eye Hospital (0.50 KM), Dental Care (0.57 KM), Art of dentistry (0.66 KM); Gym Fitness: ALMIGHTY FITNESS CLUB (0.34 KM), Workout Zone (0.39 KM), Oxygen Health Club (0.61 KM),  (); Restaurants: Punjab Junction (5.09 KM), Magadh And Awadh (5.98 KM), Heritage (6.82 KM), MOPP - Mad Over Parathas & Pakodas (6.91 KM), Butter Chicken Factory (7.28 KM), Rolls Mania (7.72 KM), Slice Of Italy (7.79 KM), Bhai Ki Rasoi (7.83 KM), The Chinese Kitchen (7.89 KM), Cocktails & Dreams (7.96 KM); Temples: Baba Nougaja Mandir (0.48 KM), Baba Ramdev Mandir Dhankot (0.93 KM), Temple (2.59 KM),  (); Food Others: Amul Ice-cream Parlour (0.73 KM), Bikaner sweet (2.76 KM), OM Sweets (4.32 KM), KC bakers (4.47 KM), Cake Plaza (4.72 KM), OM Sweets private limited (5.09 KM), Harish Bakery And Sweets (5.19 KM), Minstreat Bespoke Cake Studio (5.32 KM), Baskin Robbins (5.34 KM), FNP - Flowers (5.34 KM); Clothings: ZUDIO - Gurugram (0.31 KM), Pantaloons (Esplanade Mall (3.39 KM), kottail gurgaon (4.11 KM),  (); Supermarkets: Live Desi Mall Basai (2.71 KM), Om Family Mart (2.96 KM), MB Super Mart (2.96 KM), RG GROCERY (3.23 KM), More Hypermart (3.36 KM), Reliance Smart Point (5.01 KM), Spencer's (5.12 KM), Daily Needs Hypermart (5.27 KM), Max Mart (5.43 KM), Easyday Club (5.43 KM)",13.53 Acres,Ask for Details,36(A),791 units,"Opulent 3 and 4 BHK apartments,Enjoy 8 acres of open area,Health club with gym,Close to IGI Airport",3 BHK,22,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Normal Park / Central Green; Solar Lighting; Gymnasium; Swimming Pool; Kids' Pool; Tennis Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",19,1,6 Ratings,,https://www.squareyards.com/emaar-projects/40/builder,14 Years Experience,72,5,63,"Serving exemplary structures since 1997, Emaar Properties is also known as Emaar Developments. It's an Emirati multinational real estate firm located in the UAE. Emaar is a public joint-stock company registered on the Dubai Financial Market. As of June 2021, the total valuation of Emaar Properties was around US$15.5 billion. With 60 active companies and six business segments, Emaar has a collective presence in 36 markets throughout India, North Africa, the Middle East, Europe, Asia, and North America.",Ready to Move
4904,https://www.squareyards.com/gurgaon-residential-property/adani-oyster-grande-phase-2/10346/project,Adani Oyster Grande Phase 2,Adani Realty,"Sector 102, Gurgaon",Rs1.82 Cr - 5.12 Cr,N/A,N/A,Ask for Details,1689 Sq. Ft to 4750 Sq. Ft (Saleable),"Schools: Gurugram Global Heights School (0.27 KM), Prime Scholars International School (0.77 KM), Prime Scholars International School | Best School in Gurgaon | CBSE Affiliated School in Gurgaon | T (0.77 KM),  (); Bus Stops: Basai Talab (2.66 KM), Sector 9/9A (2.79 KM), Bhawani Enclave (2.83 KM), Dwarka Expressway Chowk (B) / Daulatabad (2.86 KM), Dwarka Expressway Chowk (A) / Daulatabad (2.86 KM), Surya Vihar (2.98 KM), Basai Chowk (3.08 KM), Sector 9 ESIC Hospital (3.13 KM), Sector 9- ESIC Hospital (3.14 KM), Sector 4 Police Station (3.16 KM); Hospitals: Om Indu Dental Hospital (1.46 KM), GREEN+MED MULTISPECIALITY HOSPITAL (1.56 KM), Vibrant Hospital (1.61 KM),  (); Clinics: Dr. Pankaj Mittal - Consultant Physician in Sector 102 (0.12 KM), Ergowork Healthcare - Physiotherapy At Home - Dr. Nitin Dhar PT (0.13 KM), Physiocare (0.39 KM), Newmi Care's Dr. Tuhina Gupta Clinic (1.07 KM), Blossom Women and Children Clinic ( Dr. Daksh MD Pediatrician (1.16 KM), Pain free smile physiotherapy and Home care (1.20 KM), Move u Physiotherapy Clinic (1.24 KM), Skin shine and ortho clinic (1.26 KM), Dhankot Eye Center (1.38 KM), Careocity Dental (1.41 KM)",19 Acres,Ask for Details,N/A,Ask for Details,"Strategically located near Dwarka Expressway and Pataudi Road.,Convenient access to Old Delhi Gurgaon Road and Sector 102.,State-of-the-art gymnasium for fitness enthusiasts.,Precise power backup ensuring uninterrupted amenities.,Elegance meets functionality with acrylic emulsion and laminated wooden finishes.","3, 4 BHK",27,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area; Party Hall; Clubhouse; Indoor Games; Jacuzzi,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Ceilings: PoP Design / Punning; Fittings & Fixtures: Split Air Conditioner; Kitchen-Equipments: Modular Kitchen; Bathroom: Shower Panel, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",12,0,1 Rating,,https://www.squareyards.com/adani-realty-projects/4/builder,31 Years Experience,N/A,13,32,"Founded in 1988, Adani Realty is one of India's leading real estate developers. Committed to excellence, the prestigious builder company has multiple ongoing real estate projects in various tier-1 cities from Gurgaon, Mumbai, Pune, and Ahmedabad.",N/A
