state,unmatched_registration_number
Haryana,GGM/826/558/2024/53
Haryana,GGM/828/560/2024/55
Haryana,GGM/829/561/2024/56
Haryana,GGM/834/566/2024/61DATED12.08.2024
Haryana,GGM/842/574/2024/69
Haryana,GGM/845/577/2024/72DATED01.07.2024
Haryana,GGM/846/578/2024/73
Haryana,GGM/849/581/2024/76
Haryana,GGM/858/590/2024/85DATED12.08.2024
Haryana,GGM/860/592/2024/87
Haryana,GGM/861/593/2024/88DATED16.08.2024
Haryana,GGM/862/594/2024/89
Haryana,GGM/863/595/2024/90
Haryana,GGM/865/597/2024/92
Haryana,GGM/866/598/2024/93
Haryana,GGM/870/602/2024/97
Haryana,GGM/879/611/2024/106
Haryana,GGM/880/612/2024/107
Haryana,GGM/881/613/2024/108
Haryana,GGM/883/615/2024/110
Haryana,GGM/895/627/2024/122DATED16.12.2024
Haryana,GGM/896/628/2024/123
West Bengal,HIRA/P/DAR/2020/000795
West Bengal,HIRA/P/HOO/2018/000005
West Bengal,HIRA/P/HOO/2018/000046
West Bengal,HIRA/P/HOO/2019/000353
West Bengal,HIRA/P/HOO/2019/000635
West Bengal,HIRA/P/HOO/2019/000654
West Bengal,HIRA/P/HOO/2020/000906
West Bengal,HIRA/P/HOW/2018/000164
West Bengal,HIRA/P/HOW/2018/000165
West Bengal,HIRA/P/HOW/2018/000281
West Bengal,HIRA/P/HOW/2020/000868
West Bengal,HIRA/P/HOW/2021/001190
West Bengal,HIRA/P/HOW/2021/001190
West Bengal,HIRA/P/KOL/2018/000033
West Bengal,HIRA/P/KOL/2018/000035
West Bengal,HIRA/P/KOL/2018/000036
West Bengal,HIRA/P/KOL/2018/000050
West Bengal,HIRA/P/KOL/2018/000075
West Bengal,HIRA/P/KOL/2018/000096
West Bengal,HIRA/P/KOL/2018/000118
West Bengal,HIRA/P/KOL/2018/000177
West Bengal,HIRA/P/KOL/2018/000182
West Bengal,HIRA/P/KOL/2018/000257
West Bengal,HIRA/P/KOL/2018/000274
West Bengal,HIRA/P/KOL/2019/000325
West Bengal,HIRA/P/KOL/2019/000326
West Bengal,HIRA/P/KOL/2019/000330
West Bengal,HIRA/P/KOL/2019/000341
West Bengal,HIRA/P/KOL/2019/000366
West Bengal,HIRA/P/KOL/2019/000383
West Bengal,HIRA/P/KOL/2019/000384
West Bengal,HIRA/P/KOL/2019/000414
West Bengal,HIRA/P/KOL/2019/000415
West Bengal,HIRA/P/KOL/2019/000567
West Bengal,HIRA/P/KOL/2019/000600
West Bengal,HIRA/P/KOL/2020/000778
West Bengal,HIRA/P/SOU/2018/000009
West Bengal,HIRA/P/SOU/2018/000015
