state,unmatched_registration_number,closest_template_match
Haryana,GGM/325/57/2019/19,HRERA-PKL-FBD-76-2018
Haryana,GGM/331/63/2019/25,HRERA-PKL-FBD-76-2018
Haryana,GGM/334/66/2019/28,HRERA-PKL-FBD-76-2018
Haryana,GGM/340/72/2019/34,HRERA-PKL-FBD-76-2018
Haryana,GGM/361/93/2019/55,HRERA-PKL-FBD-76-2018
Haryana,GGM/369/101/2019/63,HRERA-PKL-FBD-76-2018
Haryana,GGM/384/116/2019/78,HRERA-PKL-FBD-76-2018
Haryana,GGM/393/125/2020/09,HRERA-PKL-FBD-76-2018
Haryana,GGM/395/127/2020/11,HRERA-PKL-FBD-76-2018
Haryana,GGM/440/172/2021/08,HRERA-PKL-FBD-76-2018
Haryana,GGM/444/176/2021/12,HRERA-PKL-FBD-76-2018
Haryana,GGM/445/177/2021/13 DATED22.03.2021,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/446/178/2021/14 DATED22.03.2021,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/455/187/2021/23 DATED15.06.2021,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/456/188/2021/24 DATED15.06.2021,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/457/189/2021/25 DATED15.06.2021,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/459/191/2021/27,HRERA-PKL-FBD-76-2018
Haryana,GGM/462/194/2021/30,HRERA-PKL-FBD-76-2018
Haryana,GGM/463/195/2021/31,HRERA-PKL-FBD-76-2018
Haryana,GGM/470/202/2021/38,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/471/203/2021/39,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/475/207/2021/43 DATED17.08.2021,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/477/209/2021/45,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/491/223/2021/59,HRERA-PKL-FBD-76-2018
Haryana,GGM/522/254/2021/90 DATED20.12.2021,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/531/263/2022/06,HRERA-PKL-FBD-76-2018
Haryana,GGM/551/283/2022/26,HRERA-PKL-FBD-76-2018
Haryana,GGM/561/293/2022/36,HRERA-PKL-FBD-76-2018
Haryana,GGM/562/294/2022/37,HRERA-PKL-FBD-76-2018
Haryana,GGM/572/304/2022/47,HRERA-PKL-FBD-76-2018
Haryana,GGM/573/305/2022/48,HRERA-PKL-FBD-76-2018
Haryana,GGM/579/311/2022/54,HRERA-PKL-FBD-76-2018
Haryana,GGM/581/313/2022/56,HRERA-PKL-FBD-76-2018
Haryana,GGM/589/321/2022/64 DATED18.07.2022,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/612/344/2022/87,HRERA-PKL-FBD-76-2018
Haryana,GGM/618/350/2022/93,HRERA-PKL-FBD-76-2018
Haryana,GGM/619/351/2022/94,HRERA-PKL-FBD-76-2018
Haryana,GGM/622/354/2022/97DATED27.10.2022,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/623/355/2022/98DATED27.10.2022,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/624/356/2022/99,HRERA-PKL-FBD-76-2018
Haryana,GGM/633/365/2022/108,HRERA-PKL-FBD-76-2018
Haryana,GGM/639/371/2022/114,HRERA-PKL-FBD-76-2018
Haryana,GGM/645/377/2022/120,HRERA-PKL-FBD-76-2018
Haryana,GGM/646/378/2022/121DATED13.12.2022,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/647/379/2022/122DATED20.12.2022,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/648/380/2022/123DATED20.12.2022,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/650/382/2022/125,HRERA-PKL-FBD-76-2018
Haryana,GGM/656/388/2022/131DATED23.12.2022,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/657/389/2023/01,HRERA-PKL-FBD-76-2018
Haryana,GGM/662/394/2023/06,HRERA-PKL-FBD-76-2018
Haryana,GGM/663/395/2023/07,HRERA-PKL-FBD-76-2018
Haryana,GGM/665/397/2023/09,HRERA-PKL-FBD-76-2018
Haryana,GGM/666/398/2023/10,HRERA-PKL-FBD-76-2018
Haryana,GGM/671/403/2023/15,HRERA-PKL-FBD-76-2018
Haryana,GGM/672/404/2023/16,HRERA-PKL-FBD-76-2018
Haryana,GGM/673/405/2023/17DATED23.01.2023,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/681/413/2023/25,HRERA-PKL-FBD-76-2018
Haryana,GGM/682/414/2023/26,HRERA-PKL-FBD-76-2018
Haryana,GGM/685/417/2023/29DATED02.02.2023,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/687/419/2023/31,HRERA-PKL-FBD-76-2018
Haryana,GGM/688/420/2023/32,HRERA-PKL-PKL-339-2022
Haryana,GGM/689/421/2023/33DATED02.02.2023,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/694/426/2023/38,HRERA-PKL-FBD-76-2018
Haryana,GGM/695/427/2023/39,HRERA-PKL-FBD-76-2018
Haryana,GGM/712/444/2023/56DATED08.05.2023,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/731/463/2023/75DATED10.07.2023,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/734/466/2023/78DATED17.07.2023,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/735/467/2023/79,HRERA-PKL-FBD-76-2018
Haryana,GGM/741/473/2023/85,HRERA-PKL-FBD-76-2018
Haryana,GGM/746/478/2023/90,HRERA-PKL-FBD-76-2018
Haryana,GGM/756/488/2023/100,HRERA-PKL-FBD-76-2018
Haryana,GGM/761/493/2023/105DATED04.12.2023,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/767/499/2023/111,HRERA-PKL-FBD-76-2018
Haryana,GGM/783/515/2024/10DATED07.02.2024,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/787/519/2024,HRERA-PKL-PKL-339-2022
Haryana,GGM/799/531/2024/26,HRERA-PKL-FBD-76-2018
Haryana,GGM/802/534/2024/29,HRERA-PKL-FBD-76-2018
Haryana,GGM/808/540/2024/35,HRERA-PKL-FBD-76-2018
Haryana,GGM/812/544/2024/39,HRERA-PKL-FBD-76-2018
Haryana,GGM/818/550/2024/45,HRERA-PKL-FBD-76-2018
Haryana,GGM/819/551/2024/46,HRERA-PKL-FBD-76-2018
Haryana,GGM/821/553/2024/48,HRERA-PKL-FBD-76-2018
Haryana,GGM/823/ 555/2024/50,HRERA-PKL-FBD-76-2018
