state,unmatched_registration_number,closest_template_match
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA12974/200224/310329,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA13044/270224/310327,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA13691/180624/311227,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA13882/290724/311228,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA13912/290724/311228,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA14068/020924/311228,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA14293/211024/311228,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN106AA10006/110722,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN228AA10128/211022,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN60AA09960/060622,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN94AA09994/270622,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA12755/050124/300630,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA13078/050324/311229,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA13100/070324/300927,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA13113/110324/311226,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA13632/040624/310330,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA13916/310724/311228,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RN64AA09964/060622,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/MAA13776/010724/300329,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/MAA13989/120824/300429,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA13375/230424/311228,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA14084/020924/300929,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA07151/A1M/240321,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00412/A1M/150620,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA03667/A1M/EX1/010122,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA05773/230719,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA06127/A2M/281021,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA06191/181019,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA06586/080120,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA06740/050220,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA07437/080920,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA07437/A1M/040921,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA07689/A1M/280921,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA07770/141220,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08006/050221,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08177/A1M/220923,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08196/A1M/220923,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/RAA00016/EX2/221222
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08471/140521,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08613/140621,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08713/030721,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08765/140721,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08901/130821,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09171/111021,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09198/181021,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09863/280222,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09900/090322,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA10483/200722,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA10737/041022,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA10830/201022,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11068/271222,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/RAA00016/EX2/221222
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11096/291222,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/RAA00016/EX2/221222
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11120/311222,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11341/030323,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11436/A1M/030623,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11517/270323,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11917/060623,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12022/280623,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12108/070723,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12144/100723,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12235/310823,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12447/131023,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12635/161123,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12694/161123,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12852/030224/310530,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00442/141017,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00497/181017,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00498/181017,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00576/021117,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00874/A1R/EX1/010621,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01511/030218,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01521/030218,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01824/010318,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01901/070318,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02005/150318,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02979/220618,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03398/120918,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03638/A2R/240122,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA04138/271118,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06468/131219,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06978/A2R/310523,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07126/A1R/100321,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07132/A1R/311220,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07419/A1R/010121,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07800/181220,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA08770/140721,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09057/150921,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09077/A1R/040422,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09415/031221,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09547/251221,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09838/210222,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10154/050522,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10292/080622,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10292/A1R/050423,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10581/240822,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10653/120922,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10656/130922,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10685/230922,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10879/111122,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11115/311222,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11836/230523,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11845/240523,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11846/240523,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11871/300523,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12006/230623,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12257/010923,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12513/211023,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12526/251023,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/MAA00922/A1M/EX1/120824/090626,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/MAA13102/070324/310327,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/MAA13346/180424/310329,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/MAA13395/250424/311228,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/MAA13749/290624/311228,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/MAA13781/010724/310327,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/MN23AA09923/110522,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/RAA00016/EX2/221222
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/RAA12922/120224/311228,PR/GJ/SURAT/OLPAD/Surat Municipal Corporation/RAA14569/231224/311229
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/RAA13505/140524/311228,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/RAA13592/310524/311228,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/RN326AA10226/200323,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA00412/111017,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA00491/EX1/A1M/290419,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA01370/200118,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA03667/A1M/200319,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA03825/251018,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA04717/220119,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA05773/230719,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA06114/260919,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA08533/010621,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA08656/240621,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA08691/300621,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA08929/210821,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA09760/310122,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA09976/280322,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA10099/280422,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA10375/A1M/130323,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA10483/A1M/210923,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA11099/291222,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/RAA00016/EX2/221222
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA11599/150423,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA11761/120523,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA12162/180823,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA12198/290823,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA12207/310823,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA12432/121023,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/RAA00016/EX2/221222
