XID,region,proj_name,magicbricks.com link,housing.com link,squareyards.com link
394931,Bangalore,Raj High Gardens,https://www.magicbricks.com/raj-high-gardens-chandapura-bangalore-pdpid-4d4235333334313539,https://housing.com/in/buy/projects/page/279147-raj-high-gardens-by-snn-raj-corp-in-electronic-city,https://www.squareyards.com/bangalore-residential-property/snn-raj-high-gardens/134095/project
324247,Bangalore,Purva Zenium,https://www.magicbricks.com/puravankara-purva-zenium-new-international-airport-road-bangalore-pdpid-4d4235313232313137,https://housing.com/in/buy/projects/page/130881-puravankara-zenium-phase-1-by-puravankara-limited-in-hosahalli,https://www.squareyards.com/bangalore-residential-property/puravankara-purva-zenium/10487/project
410494,Bangalore,Esteem South Park,https://www.magicbricks.com/esteem-south-park-bannerghatta-main-road-bangalore-pdpid-4d4235343131323137,https://housing.com/in/buy/projects/page/298922-esteem-south-park-by-esteem-group-in-gottigere,https://www.squareyards.com/bangalore-residential-property/esteem-south-park/222984/project
427851,Bangalore,Vaishno Serene,https://www.magicbricks.com/vaishno-serene-k-r-puram-bangalore-pdpid-4d4235343233323335,https://housing.com/in/buy/projects/page/322210-vaishno-serene-by-vaishno-ventures-in-k-r-puram,https://www.squareyards.com/bangalore-residential-property/vaishno-serene/248790/project
331133,Bangalore,Brigade El Dorado,https://www.magicbricks.com/brigade-el-dorado-bagalur-main-road-bangalore-pdpid-4d4235313234343235,https://housing.com/in/buy/projects/page/332940-brigade-el-dorado-by-brigade-enterprises-ltd-in-gummanahalli,https://www.squareyards.com/bangalore-residential-property/brigade-el-dorado/175477/project
375851,Bangalore,Triaxis Splendour Plus,https://www.magicbricks.com/triaxis-splendour-hoskote-bangalore-pdpid-4d4235333432343037,https://housing.com/in/buy/projects/page/256125-triaxis-splendour-plus-by-triaxis-infra-projects-in-hoskote?gad_source=1&gclid=CjwKCAjwwLO_BhB2EiwAx2e-30l5GtkfVRGvJkPNMnGjaEatY6SyRmkU9joT9VfDVrq70Z4Waz3amxoCp6cQAvD_BwE,https://www.squareyards.com/bangalore-residential-property/triaxis-splendour/103765/project/photos
432566,Bangalore,DS MAX SkySanman,https://www.magicbricks.com/ds-max-sky-sanman-bannerghatta-main-road-bangalore-pdpid-4d4235343232393735,https://housing.com/in/buy/projects/page/329380-ds-max-sky-sanman-by-dsmax-properties-private-limited-in-sbingipura,https://www.squareyards.com/bangalore-residential-property/ds-max-sky-sanman/307912/project
404103,Navi Mumbai,QA Riverfront,https://www.magicbricks.com/qa-riverfront-3-taloja-navi-mumbai-pdpid-4d4235343233303231,https://housing.com/in/buy/projects/page/334773-rs-qa-riverfront-by-rs-couture-llp-in-taloja,https://www.squareyards.com/navi-mumbai-residential-property/rs-qa-riverfront/215028/project
437293,Bangalore,Eastfield by Urbanest Realty,https://www.magicbricks.com/urbanest-sarjapur-bangalore-pdpid-4d4235313239353333,https://housing.com/in/buy/projects/page/340932-urbanest-eastfield-by-urbanest-realty-bangalore-in-yelachanayakanapura,https://www.squareyards.com/bangalore-residential-property/urbanest-east-field/324573/project
423851,Bangalore,Ramsons East Park Residences,https://www.magicbricks.com/east-park-residences-sarjapur-road-bangalore-pdpid-4d4235343139373539,https://housing.com/in/buy/projects/page/318556-ramsons-east-park-residences-by-ramsons-trendsquares-realty-llp-in-varthur,https://www.squareyards.com/bangalore-residential-property/ramsons-trendsquares-east-park-residences/245889/project
421768,Bangalore,Goyal Orchid Life,https://www.magicbricks.com/goyal-orchid-life-gunjur-bangalore-pdpid-4d4235343138363335,https://housing.com/in/buy/projects/page/312325-goyal-orchid-life-by-goyal-co-hariyana-group-in-gunjur-palya,https://www.squareyards.com/bangalore-residential-property/goyal-orchid-life/237652/project
420469,Bangalore,Sri Nandana Galaxy,https://www.magicbricks.com/sri-nandana-galaxy-sarjapur-road-bangalore-pdpid-4d4235343138393739,https://housing.com/in/buy/projects/page/311263-sri-nandana-galaxy-by-sri-nandana-builders-in-chambenahalli,https://www.squareyards.com/bangalore-residential-property/sri-nandana-galaxy/237260/project
260686,Bangalore,Brigade Laguna,https://www.magicbricks.com/brigade-laguna-rachenahalli-main-road-bangalore-pdpid-4d4235313030353439,https://housing.com/in/buy/projects/page/37684-brigade-laguna-by-brigade-enterprises-ltd-in-jakkur,https://www.squareyards.com/bangalore-residential-property/brigade-laguna/15344/project
400981,Mumbai,WMI Ashford Regal,https://www.magicbricks.com/wmi-ashford-regal-bhandup-west-mumbai-pdpid-4d4235333535383131,https://housing.com/in/buy/projects/page/287444-ashford-regal-phase-i-wing-a-project-by-ashford-group-builders-in-bhandup-west,https://www.squareyards.com/mumbai-residential-property/ashford-regal/192109/project
431532,Mumbai,Kalpataru Advay,https://www.magicbricks.com/kalpataru-advay-borivali-west-mumbai-pdpid-4d4235343232383333,https://housing.com/in/buy/projects/page/328657-kalpataru-advay-by-kalpataru-group-in-borivali-west,https://housing.com/in/buy/projects/page/328657-kalpataru-advay-by-kalpataru-group-in-borivali-west
389975,Mumbai,Godrej Horizon,https://www.magicbricks.com/godrej-horizon-wadala-mumbai-pdpid-4d4235333331363135,https://housing.com/in/buy/projects/page/295243-godrej-horizon-by-godrej-properties-ltd-in-wadala,https://www.squareyards.com/mumbai-residential-property/godrej-horizon-wadala/147340/project
426926,Bangalore,Casagrand Vivacity,https://www.magicbricks.com/casagrand-vivacity-electronic-city-bangalore-pdpid-4d4235343230353833,https://housing.com/in/buy/projects/page/320127-casagrand-vivacity-by-casagrand-builder-private-limited-in-electronic-city,https://www.squareyards.com/bangalore-residential-property/casagrand-vivacity/247214/project
414367,Bangalore,Adarsh Welkin Park,https://www.magicbricks.com/adarsh-welkin-park-anekal-bangalore-pdpid-4d4235343139343635,https://housing.com/in/buy/projects/page/333708-adarsh-welkin-park-by-adarsh-developers-in-gattahalli,https://www.squareyards.com/bangalore-residential-property/adarsh-welkin-park/222634/project
343707,Mumbai Thane,Mahindra Happinest Kalyan 2,https://www.magicbricks.com/mahindra-happinest-kalyan-2-kalyan-beyond-thane-pdpid-4d4235333235383331,https://housing.com/in/buy/projects/page/228260-mahindra-happinest-kalyan-project-a-by-mahindra-lifespaces-in-bhiwandi,https://www.squareyards.com/thane-residential-property/mahindra-lifespaces-happinest-kalyan-2/25392/project
422453,Bangalore,Assetz 66 and Shibui,https://www.magicbricks.com/assetz-66-and-shibui-whitefield-bangalore-pdpid-4d4235343139343839,https://housing.com/in/buy/projects/page/315009-assetz-66-shibui-by-assetz-property-group-in-whitefield,https://www.squareyards.com/bangalore-residential-property/assetz-66-and-shibui/243243/project
389667,Mumbai Thane,Godrej Ascend,https://www.magicbricks.com/godrej-ascend-kolshet-road-thane-pdpid-4d4235333331393031,https://housing.com/in/buy/projects/page/276465-godrej-ascend-by-godrej-properties-ltd-in-kolshet,https://www.squareyards.com/thane-residential-property/godrej-ascend/149018/project
417100,Mumbai,Lodha Riservo,https://www.magicbricks.com/lodha-riservo-vikhroli-west-mumbai-pdpid-4d4235343230353639,https://housing.com/in/buy/projects/page/309558-lodha-riservo-by-lodha-group-in-vikhroli-east,https://www.squareyards.com/mumbai-residential-property/lodha-riservo/234355/project
418697,Bangalore,Provident Deansgate,https://www.magicbricks.com/provident-deansgate-devanahalli-bangalore-pdpid-4d4235343137373439,https://housing.com/in/buy/projects/page/309924-provident-deansgate-by-provident-housing-limited-in-yelahanka,https://www.squareyards.com/bangalore-residential-property/provident-deansgate/234552/project
391738,Bangalore,Sattva Aeropolis,https://www.magicbricks.com/sattva-aeropolis-devanahalli-bangalore-pdpid-4d4235333332383531,https://housing.com/in/buy/projects/page/277556-sattva-aeropolis-by-sattva-group-in-boovanahalli,https://www.squareyards.com/bangalore-residential-property/salarpuria-sattva-aeropolis/151032/project
422935,Bangalore,SSVR Niyaara,https://www.magicbricks.com/ssvr-niyaara-varthur-bangalore-pdpid-4d4235343139333337,https://housing.com/in/buy/projects/page/316797-ssvr-niyaara-by-ssvr-builders-in-varthur,https://www.squareyards.com/bangalore-residential-property/ssvr-niyaara/244662/project
382996,Navi Mumbai,Regents Park Kharghar,https://www.magicbricks.com/metro-regents-park-kharghar-navi-mumbai-pdpid-4d4235333236363433,https://housing.com/in/buy/projects/page/267789-the-regents-park-by-satyam-builder-in-taloja,https://www.squareyards.com/navi-mumbai-residential-property/satyam-regents-park/113934/project
391740,Bangalore,Sattva Aqua Vista,https://www.magicbricks.com/sattva-aqua-vista-bannerghatta-main-road-bangalore-pdpid-4d4235333331333731,https://housing.com/in/buy/projects/page/277445-sattva-aqua-vista-by-sattva-group-in-kalena-agrahara,https://www.squareyards.com/bangalore-residential-property/salarpuria-aqua-vista/100647/project
385201,Mumbai,Ajmera Manhattan,https://www.magicbricks.com/ajmera-manhattan-wadala-mumbai-pdpid-4d4235333235393037,https://housing.com/in/buy/projects/page/272069-ajmera-manhattan-by-ajmera-group-in-wadala,https://www.squareyards.com/mumbai-residential-property/ajmera-manhattan/123665/project
434568,Bangalore,Brigade Citrine,https://www.magicbricks.com/brigade-citrine-bidarahalli-bangalore-pdpid-4d4235343235343837,https://housing.com/in/buy/projects/page/334750-brigade-citrine-by-brigade-enterprises-ltd-in-budigere-cross,https://www.squareyards.com/bangalore-residential-property/brigade-citrine/324569/project
303427,Bangalore,Vijaya Aquagreen,https://www.magicbricks.com/vijaya-aquagreen-abbigere-bangalore-pdpid-4d4235313132373835,https://housing.com/in/buy/projects/page/182007-vijaya-aquagreen-by-vijaya-enterprises-in-chikbanavara,https://www.squareyards.com/bangalore-residential-property/vijaya-aqua-green/231879/project
23442,Bangalore,SNN Raj Viviente,https://www.magicbricks.com/snn-raj-viviente-bannerghatta-main-road-bangalore-pdpid-4d4235303036323033,https://housing.com/in/buy/projects/page/286248-raj-viviente-by-snn-raj-corp-in-ckikkakammana-halli,https://www.squareyards.com/bangalore-residential-property/snn-raj-viviente/99126/project
386996,Bangalore,Folium By Sumadhura Phase 1,https://www.magicbricks.com/folium-by-sumadhura-phase-i-whitefield-bangalore-pdpid-4d4235333236393539,https://housing.com/in/buy/projects/page/296893-sumadhura-folium-phase-i-by-sumadhura-infracon-pvt-ltd-in-k-r-puram,https://www.squareyards.com/bangalore-residential-property/sumadhura-folium/123774/project
430231,Mumbai,Godrej Nurture,https://www.magicbricks.com/godrej-nurture-bhandup-west-mumbai-pdpid-4d4235343232353633,https://housing.com/in/buy/projects/page/327512-godrej-nurture-by-godrej-properties-ltd-in-bhandup-west,https://www.squareyards.com/mumbai-residential-property/godrej-nurture-mumbai/306678/project
429180,Navi Mumbai,New Palm Beach,https://www.magicbricks.com/bhagwati-celestria-airoli-navi-mumbai-pdpid-4d4235343234383939,https://housing.com/in/buy/projects/page/320236-bhagwati-celestria-by-bhagwati-group-in-airoli,https://www.squareyards.com/navi-mumbai-residential-property/bhagwati-celestria/247268/project
413380,Bangalore,Birla Trimaya,https://www.magicbricks.com/birla-trimaya-devanahalli-bangalore-pdpid-4d4235343136383937,https://housing.com/in/buy/projects/page/329823-birla-trimaya-by-birla-estate-in-yerthiganahalli,https://www.squareyards.com/bangalore-residential-property/birla-trimaya/228605/project
429968,Bangalore,TVS Isle of Trees,https://www.magicbricks.com/tvs-emerald-isle-of-trees-rachenahalli-bangalore-pdpid-4d4235343232333631,https://housing.com/in/buy/projects/page/325971-tvs-isle-of-trees-by-tvs-emerald-haven-realty-in-jakkur,https://www.squareyards.com/bangalore-residential-property/tvs-emerald-isle-of-trees/306171/project
433734,Bangalore,Purvi Arvindam,https://www.magicbricks.com/sai-purvi-arvindam-panathur-bangalore-pdpid-4d4235343233383935,https://housing.com/in/buy/projects/page/332507-sai-purvi-arvindam-by-sai-purvi-infrastructures-in-varthur,https://www.squareyards.com/bangalore-residential-property/sai-purvi-arvindam/308772/project
385178,Bangalore,Nambiar Millennia,https://www.magicbricks.com/nambiar-millennia-sarjapur-road-bangalore-pdpid-4d4235333237393831,https://housing.com/in/buy/projects/page/271822-nambiar-millennia-by-nambiar-enterprises-llp-in-anekal,https://www.squareyards.com/bangalore-residential-property/nambiar-millennia/130220/project
