XID,Project Name,City,Housing.com Link
R418271,The Line,Hyderabad,https://housing.com/in/buy/projects/page/309783-the-line-by-terminus-ncc-urban-and-optimity-in-kokapet
R418307,Nucleus,Kolkata East,https://housing.com/buy-nucleus-by-dhoot-group-in-new-town-kolkata-pid-308565
R418325,Nakshatra Green,Lucknow,https://housing.com/buy-nakshatra-greens-by-nakshatra-infracom-in-sarojini-nagar-lucknow-pid-312129
R418337,Shaligram Rudraksh Kingston,Bhopal,https://housing.com/buy-rudraksh-kingston-phase-1-by-shaligram-developers-in-bawadiya-kalan-bhopal-pid-308985
R418367,Sahasra by J group,Hyderabad,https://housing.com/in/buy/projects/page/326530-j-groups-sahasra-by-j-group-in-nawabpet
R418507,R K Highstreet,Rajkot,https://housing.com/in/buy/projects/page/337470-vivan-r-k-highstreet-by-vivan-buildtech-llp-in-nana-mava
R418569,Aadinath Sagar Heights,Thane Outskirts,https://housing.com/in/buy/aadinath-sagar-heights-for-resale-in-kalyan-west-thane-AG6hydAH0
R418577,Superior Exotica,Navi Mumbai,https://housing.com/in/buy/projects/page/307789-superior-exotica-by-superior-navkar-builders-in-airoli
R418589,ESS Saha Elite 2,Mysore,https://housing.com/buy-ess-and-ess-saha-elite-2-by-ess-and-ess-infrastructure-pvt-ltd-in-khemmanahalli-mysore-pid-310584
R418592,Saha Fortune,Mysore,https://housing.com/buy-2bhk-flats-in-koorgalli-mysore-for-sale-srpid-C4P6w7ccynj2nw041w5
R418691,Sigma Residency,Panchkula,https://housing.com/in/buy/projects/page/309365-sigma-residency-by-sigma-residency-in-bhanoo
R418702,Gurudeep Apartment,Nashik,https://housing.com/buy-anup-gurudeep-apartment-by-anup-in-jail-road-nashik-pid-309718/directions
R418866,Hill Crest Oaks,Western Mumbai,https://housing.com/in/buy/projects/page/309458-hill-crest-oaks-by-hill-view-developers-in-andheri-east
R418902,TM Chintamani Residency,Bhubaneswar,https://housing.com/buy-t-m-gouri-residency-by-t-m-constructions-in-forest-park-bhubaneswar-pid-326234
R418941,GPS Meena Aurum phase 3,Kolkata East,https://housing.com/buy-meena-aurum-phase-2-by-gps-group-in-baguiati-kolkata-pid-253357
R418975,V K Aurora,Visakhapatnam,https://housing.com/buy-v-k-aurora-by-v-k-infrastructures-in-madhurawada-visakhapatnam-pid-310705
R419091,Eldeco Amaya,Sonipat,https://housing.com/in/buy/projects/page/307843-eldeco-amaya-by-eldeco-in-sector-33
R419179,Venkatesh Palolem Pearl,South Goa,https://housing.com/in/buy/projects/page/309897-venkatesh-palolem-pearl-by-sathe-group-in-canacona
R419209,Nyati Esteban 2,Pune South,https://housing.com/in/buy/resale/page/16797150-2-bhk-apartment-in-mohammed-wadi-for-rs-7400000
