Updated Projectid,Registration Number,Builder Name,Project Category,Project Name,State,District,Project Registration Date,Declared Date Of Completion,Tehsil,Total area in round figure (Sq.mt.),Latitude,Longtitude,Architect Name
R7894,UPRERAPRJ6377,CAPITAL INFRATECHOMES PRIVATE LIMITED,Residential,CAPITAL ATHENA (PHASE-2),Uttar Pradesh,Gautam Buddha Nagar,12/8/2017,31-12-2020,Gautam Buddha Nagar,14962,285740975,774282424,Andleys Associates Pvt.Ltd.
R23822,UPRERAPRJ520064,VIRAJ CONSTRUCTIONS PVT. LTD.,Residential,LOTUS COURT PHASE II TOWER 5,Uttar Pradesh,Lucknow,30-06-2023,15-01-2028,Lucknow,4850,26.8838621,81.05463027,Ar. Rajit Arya
#N/A,UPRERAPRJ5539,SUPERTECH LIMITED,Residential,SUPERTECH NORTHEYE (PHASE-II),Uttar Pradesh,Gautam Buddha Nagar,10/8/2017,30-12-2020,Gautam Buddha Nagar,24685,28.572374,77.387938,VISHAL MITTAL Space Designers International
#N/A,UPRERAPRJ5442,THREE C PROPERTIES PRIVATE LIMITED,Residential,LOTUS ISLE (RESIDENTIAL),Uttar Pradesh,Gautam Buddha Nagar,11/8/2017,31-03-2021,Gautam Buddha Nagar,10240,28'31'58.69'N,77'21'41.79'E,Kulmeet Shangari
R1345,UPRERAPRJ7223,SUPERTECH REALTORS PRIVATE LIMITED,Residential,SUPERNOVA PHASE-I (NOVA EAST AND NOVA WEST),Uttar Pradesh,Gautam Buddha Nagar,13-08-2017,30-06-2019,Gautam Buddha Nagar,15985,29.1417703,77.336962, modarch india 
#N/A,UPRERAPRJ3627,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,UCHDPL-SECTOR-15-PLOTS,Uttar Pradesh,Gautam Buddha Nagar,28-07-2017,30-11-2020,Gautam Buddha Nagar,396739,28.64307,77.52057,NA
R312785,UPRERAPRJ831593,OMEGA DEVELOPER AND BUILDERS,Residential,WINDSOR GREENS PHASE-4,Uttar Pradesh,Lucknow,14-10-2021,31-12-2025,Lucknow,8472,26.89787,81.072638,Ar. Vishal Mittal
R325311,UPRERAPRJ447396,RISHITA DEVELOPERS PRIVATE LIMITED,Residential,RISHITA MULBERRY HEIGHTS PHASE-6,Uttar Pradesh,Lucknow,16-04-2021,31-12-2024,Sarojini Nagar,7779,26.7805,81.0085,Design Forum International 
R78371,UPRERAPRJ101801,M/S DIVYANSH HOMES PVT. LTD,Residential,DIVYANSH ONYX PHASE-II,Uttar Pradesh,Ghaziabad,1/4/2021,30-06-2023,Ghaziabad,7092,28.3912,77.2835,Vishal Mittal
R262156,UPRERAPRJ793157/10/2024,"OMAXE PANCHAM REALCON PVT. LTD. (FOMERLY PANCHAM REALCON PVT. LTD.)
AVIRAL COLONIZERS PRIVATE LIMITED
BEAUTIFUL LANDBASE PRIVATE LIMITED
SATKAR COLONISERS PRIVATE LIMITED",Residential,AANANDA NEW TOWER,Uttar Pradesh,Prayagraj,11/10/2024,15-04-2029,Karchhana,7237,25.38907,81.890277,Apurba Borah
