Project Name,Promoter Name,Certificate No.,Last Modified
Udayamperoor Plots,Saramma Joseph,K-RERA/PRJ/ERN/082/2024,21/04/2024
PRISTINE VILLAS,HiLife Builders Pvt Ltd,K-RERA/PRJ/TSR/080/2024,01/02/2025
EDEN GARDENS,CASA VISTA CONSTRUCTIONS PVT LTD,K-RERA/PRJ/TVM/078/2024,17/12/2024
GRACELAND FOUNDATIONS,GRACELAND FOUNDATIONS,K-RERA/PRJ/ERN/072/2024,07/06/2024
SOPHIA AMELIA,Joyce George,K-RERA/PRJ/ERN/065/2024,08/04/2024
Sayoojyam,Sudheer Kalathil Sukumaran,K-RERA/PRJ/PKD/043/2024,06/10/2024
DEODATE MERCEDES,DEODATE ENVIRONMENTAL HOMES PVT LTD,K-RERA/PRJ/TVM/036/2024,09/01/2025
GREENLAND HIILTOP,Greenland Properties and devolopers,K-RERA/PRJ/ERN/026/2024,17/01/2024
VICTORIA REALTORS POORNAM,DHARMIC LIVING PVT LTD,K-RERA/PRJ/TSR/024/2024,29/10/2024
DREAMS MALL,DESINGANADU RAPID DEVELOPMENT and ASSISTANCE CO OPERATIVE SOCIETY LTD,K-RERA/PRJ/KLM/011/2024,27/05/2024
DWELLING HOMES,FELIX JOHNS,K-RERA/PRJ/KTM/229/2023,19/12/2023
RAHMA APARTMENTS,SALAMCHOLLI ABDUL SALAM,K-RERA/PRJ/KNR/227/2023,30/12/2024
WINSOME GARDENS,CASA VISTA CONSTRUCTIONS PVT LTD,K-RERA/PRJ/TVM/225/2023,17/12/2024
GREEN HILLS,BTF Developers,K-RERA/PRJ/ERN/220/2023,07/04/2024
EVALIA - Paul Alukkas Developers,Paul Alukkas Developers Pvt Ltd,K-RERA/PRJ/ERN/218/2023,29/01/2024
ASIAN ALLEGRA,ASIAN DEVELOPERS,K-RERA/PRJ/ERN/217/2023,07/01/2024
ARTECH RIO,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/KTM/203/2023,17/01/2025
Elora,Santhoosh J,K-RERA/PRJ/PKD/187/2023,04/01/2024
VICTORIA REALTORS SAROVARAM,DHARMIC LIVING PVT LTD,K-RERA/PRJ/PKD/186/2023,29/10/2024
Sophia Aspire,Joyce George,K-RERA/PRJ/ERN/181/2023,19/10/2023
Skyview,Akib Abdul Aziz Abdul Aziz,K-RERA/PRJ/TVM/162/2023,11/09/2023
Good Earth Saarang,Good Earth Eco Development Private Limited,K-RERA/PRJ/KNR/158/2023,07/02/2025
VICTORIA REALTORS SHISHIRAM,DHARMIC LIVING PVT LTD,K-RERA/PRJ/PKD/155/2023,29/10/2024
NATH CLOUD SCAPE,NATH BUILDERS,K-RERA/PRJ/WYD/145/2023,10/08/2023
Granday Mansion,WAYFAIR DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/ERN/140/2023,07/01/2025
Sustainable Village,Green Collective Projects Pvt Ltd,K-RERA/PRJ/TVM/127/2023,06/01/2025
PSN Lotus,PSN Homes Pvt Ltd,K-RERA/PRJ/ERN/126/2023,18/12/2024
ROYAL PINE,Malabar Developers Private Limited,K-RERA/PRJ/KKD/120/2023,01/03/2024
TBPL ARCADE,Thrissur Builders Private Limited,K-RERA/PRJ/TSR/118/2023,09/11/2023
Sophia Melrose,Joyce George,K-RERA/PRJ/ERN/114/2023,14/07/2023
VISWAM GREEN FIELD,AARJAY DWELLINGS,K-RERA/PRJ/TVM/109/2023,12/06/2023
KENT BAYWATCH SUITES,Kent Constructions Pvt Ltd,K-RERA/PRJ/ERN/108/2023,29/07/2023
SKYLINE CENTRAL AVENUE,M/s Skyline Builders,K-RERA/PRJ/KTM/095/2023,18/01/2025
ARTECH SREYA,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/TVM/094/2023,17/01/2025
HYBA BLOOM,Vasco Square Builders and Developers,K-RERA/PRJ/KKD/093/2023,14/05/2024
Maple Leaf,Joyce George,K-RERA/PRJ/ERN/070/2023,13/10/2023
VICTORIA REALTORS SWASTHIKA SECOND PHASE,DHARMIC LIVING PVT LTD,K-RERA/PRJ/PKD/060/2023,29/10/2024
7ELYSEE HOMES,Raasi Homes India Private Limited,K-RERA/PRJ/TSR/058/2023,14/01/2025
KERALAGRAMAM PROPERTIES,Kerala Gramam Properties,K-RERA/PRJ/TSR/041/2023,14/02/2023
ALPINE HEIGHTS,Alpine Homes,K-RERA/PRJ/PTA/040/2023,16/10/2023
"TOWERS 2, 3, 4 OF NTH",DLF SOUTHERN TOWNS PRIVATE LIMITED,K-RERA/PRJ/ERN/029/2023,24/04/2023
Chithanya,Angleplus Projects Pvt Ltd,K-RERA/PRJ/ERN/023/2023,28/03/2023
VICTORIA REALTORS PRANAVAM,DHARMIC LIVING PVT LTD,K-RERA/PRJ/TVM/017/2023,29/10/2024
Sophia Avani,Joyce George,K-RERA/PRJ/ERN/011/2023,09/01/2023
Prakriti,Promag Realtors & Developers Pvt Ltd,K-RERA/PRJ/TVM/010/2023,17/02/2023
VICTORIA REALTORS PUNYAM,DHARMIC LIVING PVT LTD,K-RERA/PRJ/TSR/007/2023,08/11/2024
ARCON ANANT,ARCON HOME DEVELOPERS PVT LTD,K-RERA/PRJ/TVM/005/2023,24/01/2025
SALPA NIRVANA,M/S SALPA ESTATES AND PROPERTIES PVT LTD,K-RERA/PRJ/TSR/003/2023,12/02/2025
GALAXY POWDIKONAM,MIDHUN MARKOSE BUILDERS AND DEVELOPERS INDIA PVT LTD,K-RERA/PRJ/TVM/213/2022,29/01/2025
THANA SQUARE,THANA SQUARE,K-RERA/PRJ/KNR/212/2022,20/05/2023
Skyland,Praveen Kumar P,K-RERA/PRJ/TVM/209/2022,11/03/2023
SAHASRA,STHIRA DEVELOPERS,K-RERA/PRJ/PKD/204/2022,27/01/2025
Alfa- breeze,Scott John,K-RERA/PRJ/TSR/197/2022,11/06/2024
Krishnakrupa Apartments,KRISHNAKRUPA DEVELOPERS,K-RERA/PRJ/TSR/189/2022,17/07/2023
Sophia Celestia,Joyce George,K-RERA/PRJ/ERN/178/2022,25/10/2022
Hill Woods,Home Land Build Estate Pvt Ltd,K-RERA/PRJ/165/2021,13/06/2023
VICTORIA REALTORS SAMRRUDDHI,DHARMIC LIVING PVT LTD,K-RERA/PRJ/PKD/176/2022,29/10/2024
Vattapara Green woods,JOSH KURIAKOSE,K-RERA/PRJ/TVM/168/2022,19/01/2024
Ambalath Ayesha Homes,Abdul Rasheed,K-RERA/PRJ/TSR/167/2022,27/09/2023
VICTORIA REALTORS SHOBANAM,VICTORIA REALTORS,K-RERA/PRJ/PKD/165/2022,21/02/2023
CHEVRON BROOKVILLE,Chevron Builders and Realtors Private Limited,K-RERA/PRJ/TVM/158/2022,19/06/2024
CORDIAL BHARATHI,CORDIAL FOUNDATION PVT LTD,K-RERA/PRJ/TVM/156/2022,07/12/2022
MELONWOOD WAVES PHASE 2,Melonwood Homes Private Limited,K-RERA/PRJ/015/2022,29/04/2024
ARTECH FLORENZA,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/TVM/154/2022,17/01/2025
Sunpaul Alna,Sunpaul Properties Pvt Ltd,K-RERA/PRJ/098/2021,16/09/2022
ARTECH FUTURA,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/TVM/151/2022,17/01/2025
VICTORIA REALTORS SWARAM SECOND PHASE,DHARMIC LIVING PVT LTD,K-RERA/PRJ/TSR/149/2022,08/02/2025
GRAND MAPLE,Malabar Developers Private Limited,K-RERA/PRJ/KTM/146/2022,01/03/2024
SWASTHI PRAKASAMANDIRAM,SWASTHI HOMES,K-RERA/PRJ/ERN/145/2022,21/04/2023
VICTORIA REALTORS SPANDHANAM II,DHARMIC LIVING PVT LTD,K-RERA/PRJ/PKD/141/2022,29/10/2024
SHOPPERS MALL AND EL ROI,Shoppers International Malls Pvt Ltd,K-RERA/PRJ/TSR/129/2022,01/08/2022
VICTORIA REALTORS SWASTHIKA,DHARMIC LIVING PVT LTD,K-RERA/PRJ/PKD/127/2022,29/10/2024
ARTECH EMPIRE,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/TVM/126/2022,17/01/2025
NSD FERNTREE HEIGHTS,FTH OWNERS ASSOCIATION,K-RERA/PRJ/332/2020,19/10/2023
MELLOW SKYWATCH,MELLOW FOUNDATIONS BUILDERS AND DEVELOPERS PVT LTD,K-RERA/PRJ/152/2021,03/11/2022
VICTORIA REALTORS SPANDHANAM,DHARMIC LIVING PVT LTD,K-RERA/PRJ/PKD/122/2022,29/10/2024
DREAMFLOWER MELODIUM,DREAM FLOWER HOUSING PROJECTS PVT LTD,K-RERA/PRJ/ERN/119/2022,17/01/2025
NANDANAM HABITAT,R A SALIM,K-RERA/PRJ/012/2022,11/01/2024
FEDERAL RESIDENCY ANNEX,Kamakshy Constrcutions,K-RERA/PRJ/210/2021,13/06/2024
TBPL GREENS,Thrissur Builders Private Limited,K-RERA/PRJ/205/2021,07/01/2023
TBPL VAIGAI,Thrissur Builders Private Limited,K-RERA/PRJ/211/2021,07/01/2023
HiLITE BUSINESS PARK,HiLITE BUSINESS PARK PVT LTD,K-RERA/PRJ/013/2022,03/12/2022
MABCO CLOUDS VILLAS,MABCO DEVELOPERS LLP,K-RERA/PRJ/203/2021,12/08/2024
SYMPHONY TRINITY,HARIDAS BUILDERS,K-RERA/PRJ/062/2021,29/09/2023
CIVICON ROYALE APARTMENTS,VARGHESE CD CHENGINIMATTM,K-RERA/PRJ/148/2021,25/10/2024
KMP Vaishnavapuri,Parameswaran Kizhakkemadam Mahadeva Iyyer,K-RERA/PRJ/187/2021,27/09/2023
Prakriti Aawaas,Prakriti Architects and Builders,K-RERA/PRJ/078/2021,16/12/2024
PERIYAR CASTLE,Dew Angel Builders And Developers Private Limited,K-RERA/PRJ/199/2021,04/03/2023
RAHEL HOMES,PARASIO RETIREMENT HOME,K-RERA/PRJ/174/2021,19/07/2022
Sophia Eden,Joyce George,K-RERA/PRJ/ERN/115/2022,31/08/2022
NJN MERITON,NJN HOMES & HOUSING PROJECTS,K-RERA/PRJ/ERN/113/2022,19/12/2024
TRITVAM - TOWER 5,TATA REALTY AND INFRASTRUCTURE LIMITED,K-RERA/PRJ/ERN/109/2022,04/07/2023
VICTORIA REALTORS VANDHANAM SECOND PHASE,DHARMIC LIVING PVT LTD,K-RERA/PRJ/TSR/105/2022,11/11/2024
Janani Project - Ponjasserry,Bhavanam Foundation Kerala,K-RERA/PRJ/ERN/103/2022,29/01/2024
Neamath Acacia,Neamath Realty Private Ltd,K-RERA/PRJ/PKD/102/2022,17/01/2025
CONFIDENT AVIOR,Confident Projects India Pvt Ltd,K-RERA/PRJ/TVM/096/2022,03/01/2024
Dasco Royal Valley Phase 3,Mahesh Ayanimoodu Vijayan,K-RERA/PRJ/TVM/095/2022,25/10/2024
BOUGAINVILLEA VILLAS,PRIMESPACE PROJECTS PVT LTD,K-RERA/PRJ/KKD/094/2022,19/06/2023
Sophia Elanza,Joyce George,K-RERA/PRJ/ERN/093/2022,28/03/2023
SOWPARNIKA SUDARSHANAM,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/TSR/091/2022,07/07/2023
VICTORIA REALTORS VANDHANAM,DHARMIC LIVING PVT LTD,K-RERA/PRJ/TSR/083/2022,29/10/2024
TRAVANCORE OPUS HIGHWAY TOWER I,Travancore Builders Pvt Ltd,K-RERA/PRJ/ERN/081/2022,17/10/2024
Sophia Estelia,Joyce George,K-RERA/PRJ/ERN/080/2022,31/08/2022
ARTECH LUXUS,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/TVM/077/2022,17/01/2025
SOPHIA EVANIA,Joyce George,K-RERA/PRJ/ERN/075/2022,31/08/2022
PAMANT,VAIPPIL VILLAS AND APARTMENTS,K-RERA/PRJ/ERN/073/2022,13/12/2024
Anvita Royal Grande,ANVITA BUILDERS PVT LTD,K-RERA/PRJ/ERN/072/2022,12/01/2023
TOWER ELEVEN,MERITRA HOMES PVT LTD,K-RERA/PRJ/ERN/068/2022,17/01/2025
Sowparnika Promenade Square,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/TVM/063/2022,03/06/2023
Tulsi Majestic Court,TULSI DEVELOPERS INDIA PRIVATE LIMITED,K-RERA/PRJ/ERN/056/2022,30/12/2023
Tulsi Nest,TULSI DEVELOPERS INDIA PRIVATE LIMITED,K-RERA/PRJ/ERN/055/2022,30/12/2023
Sowparnika Highlands,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/TVM/050/2022,03/06/2023
KBD Daffodils,KERATECH BUILDERS AND DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/TVM/049/2022,31/10/2022
Sowparnika Sandal Tower,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/TVM/045/2022,11/12/2024
Sowparnika Sandal Tower,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/TVM/045/2022,11/12/2024
Sowparnika Sandal Tower,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/TVM/045/2022,11/12/2024
SNR SHASTHA,SNR BUILDERS,K-RERA/PRJ/TVM/044/2022,16/12/2024
THE VERANDAH GARDENS,Infra Housing Pvt Ltd,K-RERA/PRJ/ERN/043/2022,15/12/2022
FERRO FORTUNE,Ferro Engineers And Developers,K-RERA/PRJ/ERN/042/2022,28/02/2022
PRS Ramsaras,P R S Builders,K-RERA/PRJ/TVM/037/2022,07/01/2024
PRISUNIC PORTICO,PRISUNIC BUILDERS PVT LTD,K-RERA/PRJ/121/2021,08/02/2025
SANROYAL ELANTA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,K-RERA/PRJ/280/2020,07/01/2025
Palmtree Apartments,Pratheeksha Builders LLP,K-RERA/PRJ/120/2021,19/07/2023
WELL N WORTH PANKAJ ENCLAVE,Well N Worth Pankaj Enclave,K-RERA/PRJ/197/2021,26/09/2022
CVC-PUTHETHU-PETRA,CHERIAN VARKEY CONSTRUCTION COMPANY PRIVATE LIMITED,K-RERA/PRJ/081/2021,04/07/2022
Sowparnika River View Gardens Phase 1,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/009/2022,12/12/2024
Sowparnika River View Gardens Phase 1,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/009/2022,12/12/2024
CONFIDENT AMBER,Confident Projects Residential,K-RERA/PRJ/004/2022,17/01/2025
GALAXY PINE COURT BLOCK I,GALAXY HOMES PVT LTD,K-RERA/PRJ/118/2021,21/01/2025
NANDANAM HAVEN APARTMENT,Salim Associates Builders and Developers pvt Ltd,K-RERA/PRJ/131/2021,26/09/2022
VINTAGE HEIGHTS BUILDERS AND DEVELOPERS,VINTAGE HEIGHTS BUILDERS AND DEVELOPERS,K-RERA/PRJ/132/2021,22/02/2023
BIENNALAE BLOCK II,DEVDATHAM BUILDERS AND DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/055/2021,30/07/2022
SOWPARNIKA VALLE,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/206/2021,03/06/2023
Sun and Sands,NEW CHALAI AGENCIES,K-RERA/PRJ/149/2021,19/09/2023
GRAND RIVIERA,OSKO BUILDERS INDIA PRIVATE LIMITED,K-RERA/PRJ/173/2021,24/08/2023
THE PARK BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/005/2022,27/01/2025
The Pavillion Vazhakkala,CJG Holdings India Pvt Ltd,K-RERA/PRJ/192/2021,09/06/2022
O2 ZONE,BAYSHORE SEAWOODS PROJECT,K-RERA/PRJ/ERN/032/2022,13/03/2023
TRIAMITY WOODSVILLE,TRIAMITY DWELLINGS PRIVATE LIMITED,K-RERA/PRJ/ERN/030/2022,07/07/2023
ROSEBUD TERRACES,ROSEBUD PROJECTS PRIVATE LIMITED,K-RERA/PRJ/ERN/029/2022,19/02/2022
The Maker Cacion,Mahesh Pillai,K-RERA/PRJ/082/2021,31/08/2024
WHITE WISTERIA,KAROLLIL PROPERTIES,K-RERA/PRJ/ERN/027/2022,10/12/2024
Shivam Apartments,S A Homes,K-RERA/PRJ/PKD/026/2022,19/12/2024
THE PETALS VILLAS BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/151/2021,27/01/2025
Orchid Courtyard,Orchid Homes,K-RERA/PRJ/ERN/024/2022,24/06/2024
INFRA PROXIM,Infra Housing Pvt Ltd,K-RERA/PRJ/ERN/021/2022,29/10/2022
IMPACT MILESTONE,ROBINSON PROPERTIES INTERNATIONAL PVT LTD,K-RERA/PRJ/333/2020,18/01/2025
Estilo Eden Luxury Apartments,Estilo Projects Private Limited,K-RERA/PRJ/195/2021,27/09/2023
DASARADHA PETALS,PUTHANVEEDU RAJESH,K-RERA/PRJ/PKD/019/2022,04/09/2023
IHDC HASHYS,INDIRA HOME DEVELOPERS AND CONTRACTORS LLP,K-RERA/PRJ/TVM/018/2022,18/02/2022
Hoysala EVM,Hoysala Projects Pvt Ltd,K-RERA/PRJ/142/2021,25/09/2023
SILVER CASTLE SPRINGS,Silver Castle Construction Company Pvt Ltd,K-RERA/PRJ/079/2020,20/01/2025
"YESKAY REGALIA ,TOWER 2",SUNILKUMAR SUBRAMANIAM,K-RERA/PRJ/295/2020,20/12/2023
Palace 10 Apartments And Gouri Chambers,GD Buiilders,K-RERA/PRJ/020/2021,04/02/2022
SOWPARNIKA RIVER VIEW GARDENS PHASE 3,Sowparnika Projects,K-RERA/PRJ/141/2021,12/12/2024
SOWPARNIKA RIVER VIEW GARDENS PHASE 3,Sowparnika Projects,K-RERA/PRJ/141/2021,12/12/2024
SKYSCAPE,CASADEL BUILDERS INDIA PRIVATE LIMITED,K-RERA/PRJ/257/2020,30/10/2024
SANROYAL- EVANIA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,K-RERA/PRJ/092/2021,15/06/2023
Tufnell Garden Block 4 and 5,Jain Housing And Constructions Limited,K-RERA/PRJ/ERN/011/2022,24/01/2025
Tulsi Capitol pointe,TULSI DEVELOPERS INDIA PRIVATE LIMITED,K-RERA/PRJ/309/2020,03/07/2023
JEWEL WATERLILLY,JEWEL HOMES PVT LTD,K-RERA/PRJ/101/2021,22/07/2023
PEARL VIEW APARTMENTS,PEARL VIEW HOMES,K-RERA/PRJ/021/2021,26/01/2023
ACCORD FERRY BAY,ACCORD HABITAT PRIVATE LIMITED,K-RERA/PRJ/157/2021,10/01/2024
DREAMFLOWER VIVALDI,DREAM FLOWER HOUSING PROJECTS PVT LTD,K-RERA/PRJ/ERN/004/2022,17/01/2025
ANTA - MARVEL,ANTA BUILDERS & DEVELOPERS PVT LTD,K-RERA/PRJ/ERN/003/2022,17/01/2025
SANROYAL ASTORIA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,K-RERA/PRJ/176/2021,03/06/2023
LAVENDER BAY,Synthite Industries Pvt Ltd,K-RERA/PRJ/207/2020,30/10/2024
Prayag,SREEPATHI ASSOCIATES BUILDERS & PROMOTERS,K-RERA/PRJ/TSR/085/2021,18/01/2025
HiLITE MALL THRISSUR,HiLITE MALL THRISSUR LLP,K-RERA/PRJ/194/2021,05/08/2024
LANDMARK BLUEBERRY,CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,K-RERA/PRJ/KKD/081/2021,28/03/2024
Indian Oil Officers Cooperative Housing Society Limited Petronest,INDIAN OIL OFFICERS COOPERATIVE HOUSING SOCIETY LIMITED,K-RERA/PRJ/ERN/080/2021,30/05/2023
KCHELL RESIDENCY,KCHELL INFRASTRUCTURE AND TRADING COMPANY PRIVATE LIMITED,K-RERA/PRJ/KLM/078/2021,15/12/2021
Levita Sapphire,Levita Builders and Developers Private Limited,K-RERA/PRJ/169/2021,13/12/2021
PENTAGON CYBER VISTA,PENTAGON BUILDERS,K-RERA/PRJ/097/2020,18/01/2025
THE UPTOWN BY INDROYAL,INDROYAL PROPERTIES PRIVATE LIMITED,K-RERA/PRJ/052/2021,23/04/2024
SUPER GOOD NEST,SUPER GOOD HOMES,K-RERA/PRJ/069/2021,05/06/2023
SUN ELECASA,SUN PROJECTS INDIA PRIVATE LIMITED,K-RERA/PRJ/186/2021,11/11/2021
CREDENCE APARTMENT,A A ABDUL LATHIF,K-RERA/PRJ/162/2021,09/05/2022
ASSET LUMINANCE,ASSET HOMES PRIVATE LIMITED,K-RERA/PRJ/ERN/071/2021,17/01/2025
SFS HAVELI,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,K-RERA/PRJ/ERN/070/2021,04/01/2024
CONDOR PRIMROSE,CONDOR BUILDERS PVT LTD,K-RERA/PRJ/TVM/069/2021,17/01/2025
THE LANTERN BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/TVM/067/2021,27/01/2025
MOOPANS RIVERSIDE,Moopans,K-RERA/PRJ/127/2021,07/12/2023
One Anthem,ULCCS IT Infrastructure Private Limited,K-RERA/PRJ/KKD/062/2021,08/01/2025
ABAD INSPIRATIONS,ABAD BUILDERS PVT LTD,K-RERA/PRJ/ERN/061/2021,30/10/2024
MULBERRY HOMES- MYSTIC ROSE,NITHIN MICHELLE BUILDERS AND DEVELOPERS P LTD,K-RERA/PRJ/294/2020,10/06/2023
ORCHID APARTMENTS,IDFIX BUILDERS PVT LTD,K-RERA/PRJ/136/2020,12/10/2024
CIDBI CHALET,A A ABDUL LATHIF,K-RERA/PRJ/TSR/059/2021,05/04/2024
LEVIS CASA,Levi Thomas,K-RERA/PRJ/KNR/058/2021,03/02/2025
LEVIS CASA,Levi Thomas,K-RERA/PRJ/KNR/058/2021,03/02/2025
HiLITE FLORINA,HiLITE Builders Pvt Ltd,K-RERA/PRJ/KKD/054/2021,31/10/2024
DD HIGHWAY GATE,SEA WIND REALTORS INDIA PRIVATE LIMITED,K-RERA/PRJ/147/2020,03/06/2023
VT Trine,Vee Tee Engineers Constructions Private Limited,K-RERA/PRJ/138/2021,29/03/2023
PVS CLASSIC,PVS Builders & Developers,K-RERA/PRJ/087/2020,23/01/2025
CJs HARITHA CITY PLAZA,CJ's HARITHA HOMES,K-RERA/PRJ/163/2021,18/01/2025
THE JORD,VAIPPIL VILLAS AND APARTMENTS,K-RERA/PRJ/179/2020,20/05/2024
THE CENTRAL EXCISE AND CUSTOMS OFFICERS HOUSING COOPERATIVE SOCIETY LTD,THE CENTRAL EXCISE AND CUSTOMS OFFICERS HOUSING COOPERATIVE SOCIETY LTD,K-RERA/PRJ/168/2021,13/04/2023
POWERLINK SHYAMAMOHANAM,Powerlink Builders Pvt Ltd,K-RERA/PRJ/154/2021,21/10/2024
HEATHER GREENAGE,Heather Infrastructure Private Limited,K-RERA/PRJ/051/2021,06/01/2025
PVS EMERALD,KERALA TRANSPORT COMPANY,K-RERA/PRJ/185/2020,31/08/2021
Adonai Majesty,Adonai Shelters Pvt Ltd,K-RERA/PRJ/311/2020,29/06/2023
LANDCHESTER LEGACY,Landchester Builders India Private Ltd,K-RERA/PRJ/031/2021,14/03/2024
Sowparnika River View Gardens Phase 2,Sowparnika Projects,K-RERA/PRJ/146/2021,12/12/2024
Sowparnika River View Gardens Phase 2,Sowparnika Projects,K-RERA/PRJ/146/2021,12/12/2024
SOWPARNIKA RIVER VIEW GARDENS PHASE 4,Sowparnika Projects,K-RERA/PRJ/185/2021,12/12/2024
SOWPARNIKA RIVER VIEW GARDENS PHASE 4,Sowparnika Projects,K-RERA/PRJ/185/2021,12/12/2024
WINDS OF CHANGE,ICLOUD HOMES PRIVATE LIMITED,K-RERA/PRJ/182/2021,23/01/2025
DD CITY GATE,SEA WIND REALTORS INDIA PRIVATE LIMITED,K-RERA/PRJ/122/2020,07/06/2024
NANMA DOWNTOWN,NANMA PROPERTIES LTD,K-RERA/PRJ/365/2020,17/01/2025
"CONFIDENT OBERON, NEAR ALUVA, KOCHI",Confident Projects India Pvt Ltd,K-RERA/PRJ/293/2020,10/01/2023
Urbanscape Dynasty,Urbanscape Properties LLP,K-RERA/PRJ/110/2021,21/05/2024
PARADISE,PNR HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/040/2021,17/12/2024
Kalyan Centrum,Kalyan Developers,K-RERA/PRJ/049/2021,18/01/2025
DAHLIA VILLAS,OMG PROPERTIES PRIVATE LIMITED,K-RERA/PRJ/PKD/037/2021,22/08/2023
Urbanscape Glory,Urbanscape Properties LLP,K-RERA/PRJ/063/2020,05/03/2024
GARDENIA,Confident Projects Residential,K-RERA/PRJ/094/2020,17/01/2025
SMS SHRISHTI,SMS BUILDERS,K-RERA/PRJ/ERN/036/2021,04/07/2024
PRS PARAM RATNA,PRS BUILD INDIA PRIVATE LIMITED,K-RERA/PRJ/286/2020,04/02/2025
LANDMARK MAPLE,CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,K-RERA/PRJ/027/2020,13/06/2023
VFIVE MIDCITY,VFIVE HOMES PRIVATE LIMITED,K-RERA/PRJ/043/2021,17/01/2025
RED ORCHID,Malabar Developers Private Limited,K-RERA/PRJ/164/2020,29/07/2024
SILPI MARIGOLD,SILPI PROJECTS,K-RERA/PRJ/ALP/035/2021,25/12/2024
SILVER SPRING,PNR HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/033/2021,18/04/2024
S.A. Square,S A Homes,K-RERA/PRJ/051/2020,17/10/2023
