Project Name,Registration No.,Promoter Name,Project Address,Date of Registration
Adi Krishna Residency,BRERAP00291-4/91/R-1403/2022,StructoArch Consultants Pvt. Ltd.,"Mauza Dhanaut Khata no 12 Thana 20, Block- Danapur Mauja - धनौत District - PatnaPlot No -240",01 Jun 2022
ADITYA BHUVANESHWARA ENCLAVE,BRERAP41243-2/1306/R-1066/2020,KUL BHUSHAN SINGH,"Mauza-Sahzadpur,Andar Kila,Present known as Kushwaha Chowk,P.O-Hajipur,P.S-Town Thana Hajipur,Distt-Vaishali,in the state Bihar, Block- Hajipur Mauja - सहजादपुर जितवार District - VaishaliPlot No -896",24 Nov 2020
ADITYA ENCLAVE,BRERAP00536-1/406/R-287/2018,GRIH SHOBHA BUILDERS(INDIA) PRIVATE LIMITED,"X.T.T.I Road, Digha, Patna., Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -815,834 / 1569,1566",11 Dec 2018
ADITYA MEENA ENCLAVE,BRERAP51645-1/99/R-1234/2021,SHRESTHA ADITYA CONSTRUCTIONS,"NEAR GREEN HERITAGE APPARTMENT,SHIDHESHWAR NAGAR,BEHIND FOREST OFFICE,PATLIPUTRA COLONY,PATNA,BIHAR, Block- Patna Sadar Mauja - मैनपुरा District - PatnaPlot No -1716",08 Nov 2021
ADITYA PARAS MALL,BRERAP00410-3/425/R-506/2019,ADITYA INFRACOMP PRIVATE LIMITED,"Old Motihari Road, Kolhua, Paigambarpur Chowk, Muzzafarpur, Bihar., Block- Minapur Mauja - पैगम्बरपुर District - MuzaffarpurPlot No -3154,3155p,3186p",13 Mar 2019
ADITYA RESIDENCY,BRERAP05647-2/20/R-1542/2023,NIVAS DHAM DEVELOPERS PRIVATE LIMITED,"MITHANPURA LALA, MUZAFFARPUR, Block- Marwan Mauja - मिठनपुरा District - MuzaffarpurPlot No -843,844P,NEW, 780P- OLD",15 Mar 2023
ADITYA SN VATIKA,BRERAP41243-1/1218/R-1032/2020,KUL BHUSHAN SINGH,"Mauza-sahzadpur Andarkila,Hajipur,P.O-Hajipur,P.S-Town Thana Hajipur, Block- Hajipur Mauja - सहजादपुर जितवार District - VaishaliPlot No -1020,1021",31 Aug 2020
ADPS PALACE,BRERAP00356-9/217/R-1513/2023,Vastu vastaya builder pvt ltd,"WARD NO. 09 MOHALLA RAMPUR MAUJA RAMPUR THANA RAMPUR GAYA BIHAR , Block- Sadar Gaya Mauja - रामपुर District - GayaPlot No -KHATA NO. 09 OLD 624 AND 52 NEW  PLOT NO. 5308 OLD 5176,5178, AND 5177 NEW",25 Apr 2023
ADYAH ENCLAVE,BRERAP00762-2/1062/R-844/2019,N.R.S DEVELOPERS,"CHITRAWANI CHOWK , KALIBARI ROAD, BHATTA BAZAR, Block- Purnia East Mauja - मधुबनी District - PurneaPlot No -696 K, Kh, G, GH",22 Nov 2019
ADYAH GREAT CITY,BRERAP0002704-1/849/R-959/2020,ADYAH GREAT CITY PRIVAT LIMITED,,06 May 2020
AERO GREEN CITY,BRERAP01054-1/910/R-625/2019,RESIGREEN REALTORS PRIVATE LIMITED,,17 May 2019
AGAMI H RAINBOW,BRERAP10319-1/27/R-1248/2021,AGAMI INFRAHOMES PRIVATE LIMITED,"MAUZA-CHOTTI-KHAGAUL, THANA-DANAPUR, DIST-PATNA, Block- Danapur Mauja - छोटी खगौल District - PatnaPlot No -01,02,03,04,05",27 Dec 2021
AGARNI WOODS,BRERAP00496-4/676/R-369/2019,DDL Infratech Private Limited,,24 Apr 2023
AGRANI ASHOKA,BRERAP00011-5/49/R-160/2018,AGRANI HOMES PRIVATE LIMITED,"VILLAGE - CHAMARI CHAK ,P.S - SAHPUR ,DISTRICT PATNA , , Block- Danapur Mauja - मैनपुरा District - PatnaPlot No -431",10 Sep 2018
AGRANI GALAXY,BRERAP00011-8/193/R-512/2019,AGRANI HOMES PRIVATE LIMITED,"AGRANI GALAXY
RAM KRISHNA NAGAR
NEAR AGRANI HEIGHT APPARTMENT
ANAND CHAUK
PATNA -800027, Block- Phulwari Sarif Mauja - जगनपुरा District - PatnaPlot No -220",13 Mar 2019
