XID,region,proj_name,magicbricks.com link,housing.com link,squareyards.com link
410449,Bangalore,Prestige Park Grove,https://www.magicbricks.com/prestige-park-grove-whitefield-bangalore-pdpid-4d4235343136353835,https://housing.com/in/buy/projects/page/300312-prestige-park-grove-by-prestige-estates-projects-ltd-in-whitefield,https://www.squareyards.com/bangalore-residential-property/prestige-park-grove/229414/project
422150,Bangalore,Godrej Woodscapes,https://www.magicbricks.com/godrej-woodscapes-budigere-cross-bangalore-pdpid-4d4235343231313437,https://housing.com/in/buy/projects/page/335059-godrej-woodscapes-by-godrej-properties-ltd-in-budigere-cross,https://www.squareyards.com/bangalore-residential-property/godrej-woodscapes/239203/project
