XID,Phase,region,proj_name,proj_city,magicbricks.com link,housing.com link,squareyards.com link,,,,,
306651,Multi,Gurugram,Godrej Meridien,Gurgaon,https://www.magicbricks.com/godrej-meridien-sector-106-gurgaon-pdpid-4d4235313135383233,https://housing.com/in/buy/projects/page/96504-godrej-meridien-by-godrej-properties-ltd-in-sector-106,https://www.squareyards.com/gurgaon-residential-property/godrej-meridien/10157/project,,,,,
319819,Multi,Gurugram,Shapoorji Pallonji Joyville Gurugram,Gurgaon,https://www.magicbricks.com/shapoorji-pallonji-joyville-sector-102-gurgaon-pdpid-4d4235313139383533,https://housing.com/in/buy/projects/page/128336-shapoorji-pallonji-joyville-by-shapoorji-pallonji-real-estate-in-sector-102,https://www.squareyards.com/gurgaon-residential-property/shapoorji-pallonji-joyville-gurgaon/10226/project,,,,,
330597,Multi,Gurugram,Signature Global Park,Gurgaon,https://www.magicbricks.com/signature-global-park-sohna-sector-36-gurgaon-pdpid-4d4235313235333935,https://housing.com/in/buy/projects/page/269450-signature-global-park-by-signature-global-builders-pvt-ltd-in-sector-36-sohna,https://www.squareyards.com/gurgaon-residential-property/signature-global-park/10718/project,,,,,
373245,Multi,Noida,Express Astra,Greater Noida,https://www.magicbricks.com/express-astra-noida-extension-greater-noida-pdpid-4d4235323234343537,https://housing.com/in/buy/projects/page/253265-express-astra-by-express-builders-pvt-ltd-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/express-astra/102454/project,,,,,
374312,Multi,Noida,Godrej Woods,Noida,https://www.magicbricks.com/godrej-woods-sector-43-noida-pdpid-4d4235323330313731,https://housing.com/in/buy/projects/page/271550-godrej-woods-by-godrej-properties-ltd-in-sector-43,https://www.squareyards.com/noida-residential-property/godrej-woods/30231/project,,,,,
376177,Multi,Gurugram,DLF Garden City Floors,Gurgaon,https://www.magicbricks.com/dlf-garden-city-floors-sector-92-gurgaon-pdpid-4d4235323332313533,https://housing.com/in/buy/projects/page/256274-dlf-garden-city-independent-floors-by-dlf-in-sector-92,https://www.squareyards.com/gurgaon-residential-property/dlf-garden-city-independent-floors/103567/project,,,,,
379657,Multi,Gurugram,Signature Global City 92,Gurgaon,https://www.magicbricks.com/signature-global-city-92-sector-92-gurgaon-pdpid-4d4235333132373533,https://housing.com/in/buy/projects/page/259470-signature-global-city-92-by-signature-global-builders-pvt-ltd-in-sector-92,https://www.squareyards.com/gurgaon-residential-property/signature-global-city-92/108875/project,,,,,
392732,Multi,Gurugram,DLF Gardencity Enclave,Gurgaon,https://www.magicbricks.com/independent-floors-at-dlf-gardencity-enclave-sector-93-gurgaon-pdpid-4d4235333332333035,https://housing.com/in/buy/projects/page/276351-dlf-gardencity-enclave-by-dlf-real-estate-builders-limited-in-sector-93,https://www.squareyards.com/gurgaon-residential-property/dlf-gardencity-enclave/155501/project,,,,,
396809,Multi,Gurugram,Ashiana Amarah,Gurgaon,https://www.magicbricks.com/ashiana-amarah-sector-93-gurgaon-pdpid-4d4235333334353033,https://housing.com/in/buy/projects/page/282746-ashiana-amarah-by-ashiana-housing-ltd-in-sector-93,https://www.squareyards.com/gurgaon-residential-property/ashiana-amarah/167185/project,,,,,
396842,Multi,Gurugram,Orchid IVY Floors,Gurgaon,https://www.magicbricks.com/orchid-ivy-sector-51-gurgaon-pdpid-4d4235333335383833,https://housing.com/in/buy/projects/page/284523-orchid-ivy-by-orchid-infrastructres-in-sector-51,https://www.squareyards.com/gurgaon-residential-property/orchid-ivy-floors/113271/project,,,,,
400415,Multi,Gurugram,Smartworld One DXP,Gurgaon,https://www.magicbricks.com/smartworld-one-dxp-sector-113-gurgaon-pdpid-4d4235333930333339,https://housing.com/in/buy/projects/page/290051-smartworld-one-dxp-by-smartworld-developers-in-sector-113,https://www.magicbricks.com/smartworld-one-dxp-sector-113-gurgaon-pdpid-4d4235333930333339,,,,,
402610,Multi,Gurugram,M3M Antalya Hills,Gurgaon,https://www.magicbricks.com/m3m-antalya-hills-phase-ii-sector-79-gurgaon-pdpid-4d4235333934313039,https://housing.com/in/buy/projects/page/298817-m3m-antalya-hills-by-m3m-india-pvt-ltd-in-sector-79,https://www.squareyards.com/gurgaon-residential-property/m3m-antalya-hills/201749/project,,,,,
404456,Multi,Gurugram,Signature Global City 93,Gurgaon,https://www.magicbricks.com/signature-global-city-93-sector-93-gurgaon-pdpid-4d4235333933373231,https://housing.com/in/buy/projects/page/294013-signature-global-city-93-by-signature-global-builders-pvt-ltd-in-sector-93,https://www.squareyards.com/gurgaon-residential-property/signature-global-city-93/216130/project,,,,,
410958,Multi,Noida,Max Estates 128,Noida,https://www.magicbricks.com/max-estate-128-sector-128-noida-pdpid-4d4235343131373635,https://housing.com/in/buy/projects/page/300918-max-estate-128-by-max-estates-in-sector-128,https://www.squareyards.com/noida-residential-property/max-estate-128/225012/project,,,,,
414339,Multi,Noida,Experion Elements,Noida,https://www.magicbricks.com/experion-elements-sector-45-noida-pdpid-4d4235343230323835,https://housing.com/in/buy/projects/page/319871-experion-elements-by-experion-developers-in-sector-45,https://www.squareyards.com/noida-residential-property/experion-elements/246908/project,,,,,
414540,Multi,Noida,Sam Palm Olympia Phase 2,Greater Noida,https://www.magicbricks.com/sam-palm-olympia-phase-ii-noida-extension-noida-pdpid-4d4235343139323637,https://housing.com/in/buy/projects/page/303969-palm-olympia-ph-2-by-sam-india-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/sam-palm-olympia-phase-ii/20759/project,,,,,
420795,Multi,Noida,Stellar One Phase 2,Noida,https://www.magicbricks.com/stellar-one-phase-2-noida-extension-greater-noida-pdpid-4d4235343233363235,https://housing.com/in/buy/projects/page/313553-stellar-one-phase-ii-by-stellar-springs-projects-pvt-ltd-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/stellar-one/5354/project,,,,,
424460,Multi,Gurugram,M3M Mansion,Gurgaon,https://www.magicbricks.com/m3m-mansion-sector-113-gurgaon-pdpid-4d4235343139383537,https://housing.com/in/buy/projects/page/318778-m3m-mansion-by-m3m-india-pvt-ltd-in-sector-113,https://www.squareyards.com/gurgaon-residential-property/m3m-mansion/246483/project,,,,,
424568,Multi,Gurugram,JMS Premier Floors,Gurgaon,https://www.magicbricks.com/jms-premier-floors-sector-95-gurgaon-pdpid-4d4235343233363135,https://housing.com/in/buy/projects/page/327241-jms-premier-floors-by-jms-buildtech-pvt-ltd-in-sector-95,https://www.squareyards.com/gurgaon-residential-property/jms-premier-floors/306414/project,,,,,
1080,Multi,Gurugram,Emaar Palm Gardens,Gurgaon,https://www.magicbricks.com/emaar-palm-gardens-sector-83-gurgaon-pdpid-4d4235303232343737,https://housing.com/in/buy/projects/page/33381-emaar-palm-gardens-by-emaar-in-sector-83,https://www.squareyards.com/gurgaon-residential-property/emaar-palm-gardens/73/project,,,,,
1350,Multi,Gurgaon,Puri Diplomatic Greens,Gurgaon,https://www.magicbricks.com/puri-diplomatic-greens-sector-111-gurgaon-pdpid-4d4235303139333432,https://housing.com/in/buy/projects/page/470-puri-diplomatic-greens-by-puri-constructions-pvt-ltd-in-sector-110a,https://www.squareyards.com/gurgaon-residential-property/puri-diplomatic-greens-phase-i/263/project,,,,,
6670,Multi,Gurugram,Ireo The Corridors,Gurgaon,https://www.magicbricks.com/ireo-the-corridors-sector-67a-gurgaon-pdpid-4d4235303231363539,https://housing.com/in/buy/projects/page/25436-ireo-the-corridors-by-ireo-in-sector-67,https://www.squareyards.com/gurgaon-residential-property/ireo-the-corridors/309/project,,,,,
