XID,URL,Name,Price
r29252,https://www.magicbricks.com/piyush-heights-sector-89-faridabad-pdpid-4d4235303139363236,Piyush Heights,Rs 52.2 Lac - Rs 83.1 Lac
r85205,https://www.magicbricks.com/rwd-grand-corridor-vanagaram-chennai-pdpid-4d4235313232343633,RWD Grand Corridor,Rs 80.9 Lac - Rs 1.10 Cr
r14758,https://www.magicbricks.com/gardenia-gateway-sector-75-noida-pdpid-4d4235303139333932,Gardenia Gateway,Rs 20 Lac - Rs 90 Lac
r137039,https://www.magicbricks.com/green-park-rwa-green-park-extension-new-delhi-pdpid-4d4235323135313435,Green Park RWA,Call For Price
r13542,https://www.magicbricks.com/maitri-ocean-kharghar-navi-mumbai-pdpid-4d4235303337343737,Maitri Ocean,Rs 94.6 Lac - Rs 1.22 Cr
r401773,https://www.magicbricks.com/today-royal-aikyam-rohinjan-navi-mumbai-pdpid-4d4235333835353137,Today Royal Aikyam,Rs 37.5 Lac - Rs 1.01 Cr
r296715,https://www.magicbricks.com/vardhaman-palm-rose-pimpri-chinchwad-pune-pdpid-4d4235313635353731,Vardhaman Palm Rose,Call For Price
r29238,https://www.magicbricks.com/seawoods-estate-seawoods-navi-mumbai-pdpid-4d4235303838303437,Seawoods Estate,Rs 2.26 Cr - Rs 2.94 Cr
r426290,https://www.magicbricks.com/gami-jaydeep-estella-chembur-east-mumbai-pdpid-4d4235343235393535,Gami Jaydeep Estella,Call For Price
r12202,https://www.magicbricks.com/rosewood-heights-kharghar-navi-mumbai-pdpid-4d4235303237313034,Rosewood Heights,Rs 1.46 Cr - Rs 1.58 Cr
r196211,https://www.magicbricks.com/satyam-heights-kharghar-navi-mumbai-pdpid-4d4235303734313134,Satyam Heights,Rs 1.15 Cr - Rs 1.60 Cr
r411940,https://www.magicbricks.com/one-realty-space-villas-ajmer-road-jaipur-pdpid-4d4235343135353735,One Realty Space Villas,Rs 93.0 Lac - Rs 1.52 Cr
r5968,https://www.magicbricks.com/rg-residency-sector-120-noida-pdpid-4d4235303138393736,RG Residency,Rs 46.2 Lac - Rs 1.99 Cr
r2176,https://www.magicbricks.com/aditya-luxuria-estate-nh-24-ghaziabad-pdpid-4d4235303331313336,Aditya Luxuria Estate,Rs 47.7 Lac - Rs 79.2 Lac
r409990,https://www.magicbricks.com/virat-krishnav-phase-2-vaishali-nagar-jaipur-pdpid-4d4235343039323431,Virat Krishnav Phase 2,Rs 68 Lac - Rs 1.48 Cr
r756,https://www.magicbricks.com/paras-tierea-sector-137-noida-pdpid-4d4235303030353538,Paras Tierea,Rs 47.2 Lac - Rs 1.56 Cr
r418589,https://www.magicbricks.com/saha-elite-phase-2-k-hemmanahalli-mysore-pdpid-4d4235343233363335,Saha Elite Phase 2,Call For Price
r5160,https://www.magicbricks.com/raheja-reflections-odyssey-kandivali-east-mumbai-pdpid-4d4235303730373631,Raheja Reflections Odyssey,Rs 1.85 Cr - Rs 2.35 Cr
r33534,https://www.magicbricks.com/nyati-ebony-undri-pune-pdpid-4d4235303033303334,Nyati Ebony,Rs 46.7 Lac - Rs 64.1 Lac
r7010,https://www.magicbricks.com/tata-gurgaon-gateway-sector-112-gurgaon-pdpid-4d4235303239353935,Tata Gurgaon Gateway,Rs 2.18 Cr - Rs 4.05 Cr
r206,https://www.magicbricks.com/emaar-mgf-the-terraces-premier-sector-109-mohali-pdpid-4d4235333039383937,Emaar MGF The Terraces Premier,Call For Price
r25310,https://www.magicbricks.com/amba-g-residency-indirapuram-ghaziabad-pdpid-4d4235303130313630,Amba G Residency,Rs 90 Lac - Rs 1.23 Cr
r26538,https://www.magicbricks.com/new-priyadarshini-apartment-dwarka-sector-5-new-delhi-pdpid-4d4235303130393436,New Priyadarshini Apartment,Rs 2.65 Cr - Rs 2.69 Cr
r208091,https://www.magicbricks.com/golf-view-apartment-dwarka-sector-19-new-delhi-pdpid-4d4235303734323734,Golf View Apartment,Rs 2.70 Cr - Rs 3.10 Cr
r229275,https://www.magicbricks.com/dda-narmada-apartment-vasant-kunj-new-delhi-pdpid-4d4235303736303130,DDA Narmada Apartment,Rs 2.95 Cr - Rs 3.63 Cr
r28476,https://www.magicbricks.com/samrat-ashok-enclave-apartment-dwarka-sector-18-new-delhi-pdpid-4d4235303131313739,Samrat Ashok Enclave Apartment,Rs 2.60 Cr - Rs 4.13 Cr
r385299,https://www.magicbricks.com/seventh-bliss-gota-ahmedabad-pdpid-4d4235333235373933,Seventh Bliss,Rs 64.2 Lac - Rs 86 Lac
r371435,https://www.magicbricks.com/dosti-mezzo-22-sion-east-mumbai-pdpid-4d4235333237313337,Dosti Mezzo 22,Rs 2.37 Cr - Rs 5.58 Cr
r12332,https://www.magicbricks.com/krishna-apra-gardens-indirapuram-ghaziabad-pdpid-4d4235303030363833,Krishna Apra Gardens,Rs 1.65 Cr - Rs 2.16 Cr
r394867,https://www.magicbricks.com/lodha-marq-tardeo-mumbai-pdpid-4d4235343138343233,Lodha marQ,Rs 10.50 Cr - Rs 21.12 Cr
r345371,https://www.magicbricks.com/himaja-yuktha-avenue-kesarapalli-vijayawada-pdpid-4d4235323437363739,Himaja Yuktha Avenue,Rs 38.8 Lac - Rs 42.3 Lac
r345849,https://www.magicbricks.com/samraat-amozon-gangapur-road-nashik-pdpid-4d4235323134313931,Samraat Amozon,Call For Price
r26402,https://www.magicbricks.com/philips-apartment-dwarka-sector-23-new-delhi-pdpid-4d4235303131323035,Philips Apartment,Rs 2.42 Cr - Rs 2.83 Cr
r421791,https://www.magicbricks.com/urban-county-anekal-bangalore-pdpid-4d4235343139353135,Urban County,Call For Price
r13946,https://www.magicbricks.com/bhairav-residency-mira-road-mumbai-pdpid-4d4235303336383636,Bhairav Residency,Rs 90.2 Lac - Rs 1.79 Cr
r62085,https://www.magicbricks.com/ideal-exotica-new-alipore-kolkata-pdpid-4d4235303231373836,Ideal Exotica,Rs 3.47 Cr - Rs 10.60 Cr
r2318,https://www.magicbricks.com/golden-opulence-poonamallee-chennai-pdpid-4d4235303232303833,Golden Opulence,Rs 45.5 Lac - Rs 89.6 Lac
r313365,https://www.magicbricks.com/samrajya-residency-khamtarai-raipur-pdpid-4d4235333235333933,Samrajya Residency,Rs 41.5 Lac - Rs 64.8 Lac
r4798,https://www.magicbricks.com/golf-scappe-chembur-mumbai-pdpid-4d4235303732383033,Golf Scappe,Rs 4.08 Cr - Rs 9.48 Cr
r156171,https://www.magicbricks.com/poonam-estate-cluster-3-mira-road-mumbai-pdpid-4d4235303337303033,Poonam Estate Cluster 3,Rs 90 Lac - Rs 1.10 Cr
r64884,https://www.magicbricks.com/skardi-greens-nh-24-ghaziabad-pdpid-4d4235303834303736,Skardi Greens,Rs 99.2 Lac - Rs 1.48 Cr
r12658,https://www.magicbricks.com/manglik-apartment-dwarka-sector-6-new-delhi-pdpid-4d4235303131313634,Manglik Apartment,Rs 2.55 Cr - Rs 2.75 Cr
r155647,https://www.magicbricks.com/emerald-heights-sector-88-faridabad-pdpid-4d4235303431313730,Emerald Heights,Rs 1.53 Cr - Rs 1.66 Cr
r31228,https://www.magicbricks.com/oberoi-esquire-goregaon-east-mumbai-pdpid-4d4235303230303039,Oberoi Esquire,Rs 7.18 Cr - Rs 13.22 Cr
r341213,https://www.magicbricks.com/bptp-district-2-sector-86-faridabad-pdpid-4d4235343139383739,BPTP District 2,Call For Price
r60177,https://www.magicbricks.com/trump-tower-worli-mumbai-pdpid-4d4235303730383739,Trump Tower,Rs 7.83 Cr - Rs 23.01 Cr
r124799,https://www.magicbricks.com/rohan-leher-ii-baner-pune-pdpid-4d4235303731313035,Rohan Leher II,Rs 1.15 Cr - Rs 2.10 Cr
r267693,https://www.magicbricks.com/suhana-green-aalyam-railway-station-area-kota-pdpid-4d4235333732343831,Suhana Green Aalyam,Call For Price
r308061,https://www.magicbricks.com/mahindra-roots-kandivali-east-mumbai-pdpid-4d4235313136353935,Mahindra Roots,Rs 1.34 Cr - Rs 1.98 Cr
r401902,https://www.magicbricks.com/bhagwati-elysia-pushpak-nagar-navi-mumbai-pdpid-4d4235343235323731,Bhagwati Elysia,Rs 46.4 Lac - Rs 68.0 Lac
r30350,https://www.magicbricks.com/shakti-apartment-dwarka-sector-5-new-delhi-pdpid-4d4235303130383035,Shakti Apartment,Rs 3.02 Cr - Rs 3.17 Cr
r279479,https://www.magicbricks.com/kalpataru-magnus-bandra-east-mumbai-pdpid-4d4235313135343639,Kalpataru Magnus,Rs 4.26 Cr - Rs 11.69 Cr
r904,https://www.magicbricks.com/emaar-palm-terraces-select-sector-66-gurgaon-pdpid-4d4235303031383336,Emaar Palm Terraces Select,Rs 4 Cr - Rs 5.28 Cr
r245097,https://www.magicbricks.com/trimurti-apartments-dwarka-sector-12-new-delhi-pdpid-4d4235303734363538,Trimurti Apartments,Rs 2.55 Cr - Rs 2.75 Cr
r395198,https://www.magicbricks.com/aaravi-119-shilaj-ahmedabad-pdpid-4d4235333333313933,Aaravi 119,Rs 65.0 Lac - Rs 75.0 Lac
r3510,https://www.magicbricks.com/mahagun-puram-nh-24-ghaziabad-pdpid-4d4235303230373434,Mahagun Puram,Rs 49.6 Lac - Rs 63.1 Lac
r391384,https://www.magicbricks.com/nanma-one-cochin-vytilla-ernakulam-pdpid-4d4235333538323833,Nanma One Cochin,Rs 81.8 Lac - Rs 1.18 Cr
r330163,https://www.magicbricks.com/balaji-mayuresh-delta-ulwe-navi-mumbai-pdpid-4d4235313237333833,Balaji Mayuresh Delta,Call For Price
r372761,https://www.magicbricks.com/oscar-om-regency-taloja-navi-mumbai-pdpid-4d4235333232313539,Oscar OM Regency,Call For Price
