XID,Project Name,Unit Type,Area,Price,Area Type
426926,Casagrand Vivacity,3 BHK 2016 Sq. Ft. Apartment,2016 Sq. Ft.,Rs 1.13 Cr,(Saleable)
426926,Casagrand Vivacity,4 BHK 3095 Sq. Ft. Apartment,3095 Sq. Ft.,Rs 1.73 Cr,(Saleable)
426926,Casagrand Vivacity,4 BHK 3097 Sq. Ft. Apartment,3097 Sq. Ft.,Rs 1.73 Cr,(Saleable)
426926,Casagrand Vivacity,4 BHK 3668 Sq. Ft. Penthouse,3668 Sq. Ft.,Rs 2.05 Cr,(Saleable)
426926,Casagrand Vivacity,4 BHK 3832 Sq. Ft. Penthouse,3832 Sq. Ft.,Rs 2.15 Cr,(Saleable)
430085,Trishul Happy Homes,2 BHK 1152 Sq. Ft. Apartment,1152 Sq. Ft.,Price on Request,(Saleable)
260680,UKN The Belvedere,1 BHK 660 Sq. Ft. Apartment,660 Sq. Ft.,Rs 36.3 L,(Saleable)
260680,UKN The Belvedere,2 BHK 930 Sq. Ft. Apartment,930 Sq. Ft.,Rs 51.15 L,(Saleable)
260680,UKN The Belvedere,2 BHK 1030 Sq. Ft. Apartment,1030 Sq. Ft.,Rs 56.65 L,(Saleable)
260680,UKN The Belvedere,3 BHK 1275 Sq. Ft. Apartment,1275 Sq. Ft.,Rs 70.12 L,(Saleable)
260680,UKN The Belvedere,3 BHK 1535 Sq. Ft. Apartment,1535 Sq. Ft.,Rs 84.42 L,(Saleable)
342591,JCSV Pride,2 BHK 1023 Sq. Ft. Apartment,1023 Sq. Ft.,Rs 82.00 Lac,(Saleable)
342591,JCSV Pride,2 BHK 1168 Sq. Ft. Apartment,1168 Sq. Ft.,Rs 91.45 Lac,(Saleable)
342591,JCSV Pride,3 BHK 1616 Sq. Ft. Apartment,1616 Sq. Ft.,Rs 1.27 Cr,(Saleable)
342591,JCSV Pride,3 BHK 1885 Sq. Ft. Apartment,1885 Sq. Ft.,Rs 1.48 Cr,(Saleable)
430241,Sumadhura Epitome,2 BHK 1290 Sq. Ft. Apartment,1290 Sq. Ft.,Rs 1.60 Cr,(Saleable)
430241,Sumadhura Epitome,3 BHK 1580 Sq. Ft. Apartment,1580 Sq. Ft.,Rs 1.96 Cr,(Saleable)
430241,Sumadhura Epitome,3 BHK 1805 Sq. Ft. Apartment,1805 Sq. Ft.,Rs 2.24 Cr,(Saleable)
430241,Sumadhura Epitome,3 BHK 2120 Sq. Ft. Apartment,2120 Sq. Ft.,Rs 2.63 Cr,(Saleable)
432543,Sattva Lumina,2 BHK 650 Sq. Ft. Apartment,650 Sq. Ft.,Rs 61.75 Lac,(Saleable)
432543,Sattva Lumina,2 BHK 680 Sq. Ft. Apartment,680 Sq. Ft.,Rs 64.60 Lac,(Saleable)
432543,Sattva Lumina,2 BHK 1100 Sq. Ft. Apartment,1100 Sq. Ft.,Rs 1.04 Cr,(Saleable)
432543,Sattva Lumina,2 BHK 1150 Sq. Ft. Apartment,1150 Sq. Ft.,Rs 1.09 Cr,(Saleable)
432543,Sattva Lumina,3 BHK 1450 Sq. Ft. Apartment,1450 Sq. Ft.,Rs 1.38 Cr,(Saleable)
432543,Sattva Lumina,3 BHK 1780 Sq. Ft. Apartment,1780 Sq. Ft.,Rs 1.69 Cr,(Saleable)
397833,Brigade Horizon,1 BHK 615 Sq. Ft. Apartment,615 Sq. Ft.,Rs 47.96 Lac,(Saleable)
397833,Brigade Horizon,2 BHK 1064 Sq. Ft. Apartment,1064 Sq. Ft.,Rs 82.98 Lac,(Saleable)
397833,Brigade Horizon,2 BHK 1013 Sq. Ft. Apartment,1013 Sq. Ft.,Rs 79.00 Lac,(Saleable)
397833,Brigade Horizon,3 BHK 1473 Sq. Ft. Apartment,1473 Sq. Ft.,Rs 1.15 Cr,(Saleable)
396698,Mars The Planet,2 BHK 1235 Sq. Ft. Apartment,1235 Sq. Ft.,Rs 98.80 Lac,(Saleable)
396698,Mars The Planet,2 BHK 1318 Sq. Ft. Apartment,1318 Sq. Ft.,Rs 1.05 Cr,(Saleable)
396698,Mars The Planet,3 BHK 1451 Sq. Ft. Apartment,1451 Sq. Ft.,Rs 1.16 Cr,(Saleable)
396698,Mars The Planet,3 BHK 1711 Sq. Ft. Apartment,1711 Sq. Ft.,Rs 1.37 Cr,(Saleable)
416159,Lodha Mirabelle,2 BHK 1485 Sq. Ft. Apartment,1485 Sq. Ft.,Rs 2.26 Cr,(Saleable)
416159,Lodha Mirabelle,3 BHK 2070 Sq. Ft. Apartment,2070 Sq. Ft.,Rs 3.15 Cr,(Saleable)
416159,Lodha Mirabelle,3 BHK 1674 Sq. Ft. Apartment,1674 Sq. Ft.,Rs 2.55 Cr,(Saleable)
416159,Lodha Mirabelle,4 BHK 2300 Sq. Ft. Apartment,2300 Sq. Ft.,Rs 3.69 Cr,(Saleable)
416159,Lodha Mirabelle,4 BHK 2855 Sq. Ft. Apartment,2855 Sq. Ft.,Rs 4.57 Cr,(Saleable)
426150,Vaswani Starlight,3 BHK 1970 Sq. Ft. Apartment,1970 Sq. Ft.,Rs 2.50 Cr,(Saleable)
426150,Vaswani Starlight,3 BHK 2140 Sq. Ft. Apartment,2140 Sq. Ft.,Rs 2.72 Cr,(Saleable)
426150,Vaswani Starlight,4 BHK 2730 Sq. Ft. Apartment,2730 Sq. Ft.,Rs 3.46 Cr,(Saleable)
426150,Vaswani Starlight,4 BHK 2560 Sq. Ft. Apartment,2560 Sq. Ft.,Rs 3.25 Cr,(Saleable)
377288,Mahaadeva My Fortune,2 BHK 1030 Sq. Ft. Apartment,1030 Sq. Ft.,Price on Request,(Saleable)
428040,Myhna Orchid,2 BHK 1160 Sq. Ft. Apartment,1160 Sq. Ft.,Rs 1.01 Cr,(Saleable)
428040,Myhna Orchid,2 BHK 1290 Sq. Ft. Apartment,1290 Sq. Ft.,Rs 1.16 Cr,(Saleable)
428040,Myhna Orchid,3 BHK 1470 Sq. Ft. Apartment,1470 Sq. Ft.,Rs 1.41 Cr,(Saleable)
428040,Myhna Orchid,3 BHK 1670 Sq. Ft. Apartment,1670 Sq. Ft.,Rs 1.59 Cr,(Saleable)
431065,Shreshta Southern Star,2 BHK 1040 Sq. Ft. Apartment,1040 Sq. Ft.,Rs 70.51 Lac,(Saleable)
431065,Shreshta Southern Star,2 BHK 1200 Sq. Ft. Apartment,1200 Sq. Ft.,Rs 81.36 Lac,(Saleable)
431065,Shreshta Southern Star,3 BHK 1325 Sq. Ft. Apartment,1325 Sq. Ft.,Rs 89.83 Lac,(Saleable)
431065,Shreshta Southern Star,3 BHK 1500 Sq. Ft. Apartment,1500 Sq. Ft.,Rs 1.02 Cr,(Saleable)
30998,The Presidential Tower,3 BHK 1595 Sq. Ft. Apartment,1595 Sq. Ft.,Rs 1.13 Cr,(Saleable)
30998,The Presidential Tower,3 BHK 2310 Sq. Ft. Apartment,1624 Sq. Ft.,Rs 1.64 Cr,(Carpet)
30998,The Presidential Tower,3 BHK 2335 Sq. Ft. Apartment,1640 Sq. Ft.,Rs 1.66 Cr,(Carpet)
30998,The Presidential Tower,3 BHK 2415 Sq. Ft. Apartment,1673 Sq. Ft.,Rs 1.72 Cr,(Carpet)
30998,The Presidential Tower,4 BHK 3055 Sq. Ft. Apartment,2133 Sq. Ft.,Rs 2.17 Cr,(Carpet)
403086,Salarpuria Sattva Bliss,1 BHK 542 Sq. Ft. Apartment,355 Sq. Ft.,Rs 47.15 Lac,(Carpet)
403086,Salarpuria Sattva Bliss,2 BHK 880 Sq. Ft. Apartment,563 Sq. Ft.,Rs 76.56 Lac,(Carpet)
403086,Salarpuria Sattva Bliss,2 BHK 894 Sq. Ft. Apartment,576 Sq. Ft.,Rs 77.78 Lac,(Carpet)
403086,Salarpuria Sattva Bliss,3 BHK 957 Sq. Ft. Apartment,645 Sq. Ft.,Rs 83.26 Lac,(Carpet)
401648,Keya Springs,2 BHK 1335 Sq. Ft. Apartment,879 Sq. Ft.,Rs 1.20 Cr,(Carpet)
401648,Keya Springs,2 BHK 1375 Sq. Ft. Apartment,955 Sq. Ft.,Rs 1.24 Cr,(Carpet)
401648,Keya Springs,3 BHK 1705 Sq. Ft. Apartment,1110 Sq. Ft.,Rs 1.63 Cr,(Carpet)
401648,Keya Springs,3 BHK 2270 Sq. Ft. Apartment,1678 Sq. Ft.,Rs 2.17 Cr,(Carpet)
401648,Keya Springs,4 BHK 2655 Sq. Ft. Apartment,1792 Sq. Ft.,Rs 2.43 Cr,(Carpet)
418319,Brigade Sanctuary,1 BHK 656 Sq. Ft. Apartment,424 Sq. Ft.,Rs 81.30 Lac,(Carpet)
418319,Brigade Sanctuary,3 BHK 1728 Sq. Ft. Apartment,1106 Sq. Ft.,Rs 2.14 Cr,(Carpet)
418319,Brigade Sanctuary,3 BHK 1424 Sq. Ft. Apartment,964 Sq. Ft.,Rs 1.76 Cr,(Carpet)
418319,Brigade Sanctuary,4 BHK 2491 Sq. Ft. Apartment,1578 Sq. Ft.,Rs 3.09 Cr,(Carpet)
197671,Keerthi Krishna Viva,2 BHK 1345 Sq. Ft. Apartment,1345 Sq. Ft.,Rs 1.55 Cr,(Saleable)
197671,Keerthi Krishna Viva,2 BHK 1295 Sq. Ft. Apartment,1295 Sq. Ft.,Rs 1.49 Cr,(Saleable)
197671,Keerthi Krishna Viva,3 BHK 1780 Sq. Ft. Apartment,1780 Sq. Ft.,Rs 2.05 Cr,(Saleable)
197671,Keerthi Krishna Viva,3 BHK 1460 Sq. Ft. Apartment,1460 Sq. Ft.,Rs 1.68 Cr,(Saleable)
396805,Prestige Glenbrook,2 BHK 1067 Sq. Ft. Apartment,1067 Sq. Ft.,Rs 1.39 Cr,(Saleable)
396805,Prestige Glenbrook,2 BHK 1159 Sq. Ft. Apartment,1159 Sq. Ft.,Rs 1.51 Cr,(Saleable)
396805,Prestige Glenbrook,3 BHK 1486 Sq. Ft. Apartment,1486 Sq. Ft.,Rs 1.93 Cr,(Saleable)
396805,Prestige Glenbrook,3 BHK 2061 Sq. Ft. Apartment,2061 Sq. Ft.,Rs 2.68 Cr,(Saleable)
396805,Prestige Glenbrook,4 BHK 2928 Sq. Ft. Apartment,2928 Sq. Ft.,Rs 3.81 Cr,(Saleable)
432547,DSR The Address,1 BHK 780 Sq. Ft. Apartment,780 Sq. Ft.,Rs 77.99 Lac,(Saleable)
432547,DSR The Address,1 BHK 801 Sq. Ft. Apartment,801 Sq. Ft.,Rs 80.09 Lac,(Saleable)
432547,DSR The Address,2 BHK 1149 Sq. Ft. Apartment,1149 Sq. Ft.,Rs 1.15 Cr,(Saleable)
432547,DSR The Address,2 BHK 1283 Sq. Ft. Apartment,1283 Sq. Ft.,Rs 1.28 Cr,(Saleable)
432547,DSR The Address,3 BHK 1682 Sq. Ft. Apartment,1682 Sq. Ft.,Rs 1.68 Cr,(Saleable)
432547,DSR The Address,4 BHK 2735 Sq. Ft. Apartment,2735 Sq. Ft.,Rs 2.73 Cr,(Saleable)
434570,Sattva Bhumi,600 Sq. Ft. Plot,600 Sq. Ft.,Rs 37.91 Lac,(Saleable)
434570,Sattva Bhumi,1800 Sq. Ft. Plot,1800 Sq. Ft.,Rs 1.08 Cr,(Saleable)
413980,Sri Balaji Serene,2 BHK 1158 Sq. Ft. Apartment,1158 Sq. Ft.,Rs 72.95 Lac,(Saleable)
413980,Sri Balaji Serene,2 BHK 1381 Sq. Ft. Apartment,1381 Sq. Ft.,Rs 87.00 Lac,(Saleable)
413980,Sri Balaji Serene,3 BHK 1424 Sq. Ft. Apartment,1424 Sq. Ft.,Rs 89.71 Lac,(Saleable)
413980,Sri Balaji Serene,3 BHK 1933 Sq. Ft. Apartment,1933 Sq. Ft.,Rs 1.22 Cr,(Saleable)
378411,Ecolife Eon Akash,2 BHK 1235 Sq. Ft. Apartment,1235 Sq. Ft.,Rs 1.19 Cr,(Saleable)
378411,Ecolife Eon Akash,2 BHK 1378 Sq. Ft. Apartment,1378 Sq. Ft.,Rs 1.32 Cr,(Saleable)
378411,Ecolife Eon Akash,3 BHK 1415 Sq. Ft. Apartment,1415 Sq. Ft.,Rs 1.36 Cr,(Saleable)
378411,Ecolife Eon Akash,3 BHK 1737 Sq. Ft. Apartment,1737 Sq. Ft.,Rs 1.67 Cr,(Saleable)
402984,Brigade Brillio,1 BHK 671 Sq. Ft. Apartment,431 Sq. Ft.,Rs 66.92 Lac,(Carpet)
402984,Brigade Brillio,2 BHK 1147 Sq. Ft. Apartment,757 Sq. Ft.,Rs 1.14 Cr,(Carpet)
402984,Brigade Brillio,2 BHK 1185 Sq. Ft. Apartment,788 Sq. Ft.,Rs 1.18 Cr,(Carpet)
402984,Brigade Brillio,3 BHK 1534 Sq. Ft. Apartment,1001 Sq. Ft.,Rs 1.53 Cr,(Carpet)
402984,Brigade Brillio,3 BHK 1701 Sq. Ft. Apartment,1128 Sq. Ft.,Rs 1.71 Cr,(Carpet)
280367,Salarpuria Sattva Park Cubix,1 BHK 658 Sq. Ft. Apartment,442 Sq. Ft.,Rs 45.34 Lac,(Carpet)
280367,Salarpuria Sattva Park Cubix,2 BHK 997 Sq. Ft. Apartment,666 Sq. Ft.,Rs 68.69 Lac,(Carpet)
280367,Salarpuria Sattva Park Cubix,2 BHK 1009 Sq. Ft. Apartment,669 Sq. Ft.,Rs 69.52 Lac,(Carpet)
280367,Salarpuria Sattva Park Cubix,3 BHK 1466 Sq. Ft. Apartment,993 Sq. Ft.,Rs 1.01 Cr,(Carpet)
280367,Salarpuria Sattva Park Cubix,3 BHK 1498 Sq. Ft. Apartment,1003 Sq. Ft.,Rs 1.03 Cr,(Carpet)
280367,Salarpuria Sattva Park Cubix,3 BHK 1282 Sq. Ft. Apartment,880 Sq. Ft.,Rs 88.33 Lac,(Carpet)
280367,Salarpuria Sattva Park Cubix,3 BHK 1273 Sq. Ft. Apartment,880 Sq. Ft.,Rs 87.71 Lac,(Carpet)
375497,Concorde Abode 99,3 BHK 2082 Sq. Ft. Villa,2082 Sq. Ft.,Rs 2.21 Cr,(Saleable)
375497,Concorde Abode 99,4 BHK 2518 Sq. Ft. Villa,2518 Sq. Ft.,Rs 2.67 Cr,(Saleable)
375497,Concorde Abode 99,4 BHK 3506 Sq. Ft. Villa,3506 Sq. Ft.,Rs 3.72 Cr,(Saleable)
430213,Sattva Springs,4 BHK 3607 Sq. Ft. Row House,3607 Sq. Ft.,Rs 4.79 Cr,(Saleable)
430213,Sattva Springs,4 BHK 5236 Sq. Ft. Row House,5236 Sq. Ft.,Rs 7.00 Cr,(Saleable)
369448,Abhigna Misty Woods,2 BHK 1273 Sq. Ft. Apartment,1273 Sq. Ft.,Rs 1.17 Cr,(Saleable)
369448,Abhigna Misty Woods,2 BHK 1321 Sq. Ft. Apartment,1321 Sq. Ft.,Rs 1.22 Cr,(Saleable)
369448,Abhigna Misty Woods,3 BHK 1707 Sq. Ft. Apartment,1707 Sq. Ft.,Rs 1.58 Cr,(Saleable)
369448,Abhigna Misty Woods,3 BHK 2332 Sq. Ft. Apartment,2332 Sq. Ft.,Rs 2.15 Cr,(Saleable)
369448,Abhigna Misty Woods,4 BHK 2400 Sq. Ft. Apartment,2400 Sq. Ft.,Rs 2.22 Cr,(Saleable)
369448,Abhigna Misty Woods,4 BHK 2712 Sq. Ft. Apartment,2712 Sq. Ft.,Rs 2.51 Cr,(Saleable)
374970,DSR Elixir,1200 Sq. Ft. Plot,1200 Sq. Ft.,Rs 66.00 Lac,(Saleable)
374970,DSR Elixir,2400 Sq. Ft. Plot,2400 Sq. Ft.,Rs 1.32 Cr,(Saleable)
407744,Purva Blubelle,3 BHK 1434 Sq. Ft. Apartment,1434 Sq. Ft.,Rs 2.49 Cr,(Saleable)
407744,Purva Blubelle,3 BHK 1630 Sq. Ft. Apartment,1630 Sq. Ft.,Rs 2.79 Cr,(Saleable)
311999,Peace Paramount,2 BHK 1100 Sq. Ft. Apartment,1100 Sq. Ft.,Rs 54.01 L,(Saleable)
311999,Peace Paramount,2 BHK 1177 Sq. Ft. Apartment,1177 Sq. Ft.,Rs 57.79 L,(Saleable)
311999,Peace Paramount,3 BHK 1430 Sq. Ft. Apartment,1430 Sq. Ft.,Rs 70.21 L,(Saleable)
311999,Peace Paramount,3 BHK 1465 Sq. Ft. Apartment,1465 Sq. Ft.,Rs 71.93 L,(Saleable)
319527,Sobha Dream Gardens,1 BHK 727 Sq. Ft. Apartment,727 Sq. Ft.,Rs 67.73 L,(Saleable)
319527,Sobha Dream Gardens,2 BHK 1004 Sq. Ft. Apartment,1004 Sq. Ft.,Rs 93.54 L,(Saleable)
319527,Sobha Dream Gardens,2 BHK 1058 Sq. Ft. Apartment,1058 Sq. Ft.,Rs 98.57 L,(Saleable)
23442,SNN Raj Viviente,4 BHK 3891 Sq. Ft. Villa,3891 Sq. Ft.,Rs 4.80 Cr,(Saleable)
386996,Sumadhura Folium,1 BHK 578 Sq. Ft. Apartment,372 Sq. Ft.,Rs 78.03 Lac,(Carpet)
386996,Sumadhura Folium,1 BHK 935 Sq. Ft. Apartment,641 Sq. Ft.,Rs 1.26 Cr,(Carpet)
386996,Sumadhura Folium,2 BHK 1248 Sq. Ft. Apartment,847 Sq. Ft.,Rs 1.68 Cr,(Carpet)
386996,Sumadhura Folium,2 BHK 1270 Sq. Ft. Apartment,848 Sq. Ft.,Rs 1.71 Cr,(Carpet)
386996,Sumadhura Folium,3 BHK 1687 Sq. Ft. Apartment,1156 Sq. Ft.,Rs 2.28 Cr,(Carpet)
386996,Sumadhura Folium,3 BHK 1700 Sq. Ft. Apartment,1156 Sq. Ft.,Rs 2.29 Cr,(Carpet)
386996,Sumadhura Folium,4 BHK 1950 Sq. Ft. Apartment,1225 Sq. Ft.,Rs 2.63 Cr,(Carpet)
386996,Sumadhura Folium,4 BHK 1930 Sq. Ft. Apartment,1225 Sq. Ft.,Rs 2.61 Cr,(Carpet)
422935,SSVR Niyaara,2 BHK 1180 Sq. Ft. Apartment,1180 Sq. Ft.,Rs 97.93 Lac,(Saleable)
422935,SSVR Niyaara,2 BHK 1240 Sq. Ft. Apartment,1240 Sq. Ft.,Rs 1.03 Cr,(Saleable)
422935,SSVR Niyaara,3 BHK 1410 Sq. Ft. Apartment,1410 Sq. Ft.,Rs 1.17 Cr,(Saleable)
422935,SSVR Niyaara,3 BHK 1635 Sq. Ft. Apartment,1635 Sq. Ft.,Rs 1.36 Cr,(Saleable)
388432,Assetz Soho And Sky,3 BHK 2015 Sq. Ft. Apartment,2015 Sq. Ft.,Rs 2.62 Cr,(Saleable)
388432,Assetz Soho And Sky,3 BHK 2489 Sq. Ft. Apartment,2489 Sq. Ft.,Rs 3.24 Cr,(Saleable)
388432,Assetz Soho And Sky,4 BHK 2799 Sq. Ft. Apartment,2799 Sq. Ft.,Rs 3.64 Cr,(Saleable)
376451,Godrej Ananda,1 BHK 407 Sq. Ft. Apartment,407 Sq. Ft.,Rs 25.23 L,(Saleable)
376451,Godrej Ananda,2 BHK 1092 Sq. Ft. Apartment,1092 Sq. Ft.,Rs 67.71 L,(Saleable)
376451,Godrej Ananda,2 BHK 988 Sq. Ft. Apartment,988 Sq. Ft.,Rs 61.26 L,(Saleable)
376451,Godrej Ananda,3 BHK 1630 Sq. Ft. Apartment,1630 Sq. Ft.,Rs 1.01 Cr,(Saleable)
376451,Godrej Ananda,3 BHK 1588 Sq. Ft. Apartment,1588 Sq. Ft.,Rs 98.47 L,(Saleable)
432522,Sattva Songbird,1 BHK 750 Sq. Ft. Apartment,750 Sq. Ft.,Rs 94.50 Lac,(Saleable)
432522,Sattva Songbird,1 BHK 765 Sq. Ft. Apartment,765 Sq. Ft.,Rs 96.39 Lac,(Saleable)
432522,Sattva Songbird,2 BHK 1260 Sq. Ft. Apartment,1260 Sq. Ft.,Rs 1.59 Cr,(Saleable)
432522,Sattva Songbird,2 BHK 1290 Sq. Ft. Apartment,1290 Sq. Ft.,Rs 1.63 Cr,(Saleable)
432522,Sattva Songbird,3 BHK 1380 Sq. Ft. Apartment,1380 Sq. Ft.,Rs 1.74 Cr,(Saleable)
432522,Sattva Songbird,3 BHK 1730 Sq. Ft. Apartment,1730 Sq. Ft.,Rs 2.18 Cr,(Saleable)
423851,Ramsons Trendsquares East Park Residences,2 BHK 1508 Sq. Ft. Apartment,983 Sq. Ft.,Rs 1.77 Cr,(Carpet)
423851,Ramsons Trendsquares East Park Residences,3 BHK 1666 Sq. Ft. Apartment,1109 Sq. Ft.,Rs 1.96 Cr,(Carpet)
423851,Ramsons Trendsquares East Park Residences,3 BHK 1960 Sq. Ft. Apartment,1276 Sq. Ft.,Rs 2.30 Cr,(Carpet)
423851,Ramsons Trendsquares East Park Residences,4 BHK 2377 Sq. Ft. Apartment,1602 Sq. Ft.,Rs 2.79 Cr,(Carpet)
432566,DS Max Sky Sanman,2 BHK 978 Sq. Ft. Apartment,978 Sq. Ft.,Rs 52.81 Lac,(Saleable)
432566,DS Max Sky Sanman,2 BHK 1069 Sq. Ft. Apartment,1069 Sq. Ft.,Rs 57.73 Lac,(Saleable)
432566,DS Max Sky Sanman,3 BHK 1250 Sq. Ft. Apartment,1250 Sq. Ft.,Rs 67.50 Lac,(Saleable)
432566,DS Max Sky Sanman,3 BHK 1859 Sq. Ft. Apartment,1859 Sq. Ft.,Rs 1.00 Cr,(Saleable)
260686,Brigade Laguna,2 BHK 1150 Sq. Ft. Apartment,1150 Sq. Ft.,Rs 1.09 Cr,(Saleable)
260686,Brigade Laguna,2 BHK 1194 Sq. Ft. Apartment,1194 Sq. Ft.,Rs 1.13 Cr,(Saleable)
260686,Brigade Laguna,3 BHK 1629 Sq. Ft. Apartment,1629 Sq. Ft.,Rs 1.54 Cr,(Saleable)
260686,Brigade Laguna,3 BHK 1888 Sq. Ft. Apartment,1888 Sq. Ft.,Rs 1.79 Cr,(Saleable)
415958,JRC Sanzio,3 BHK 2192 Sq. Ft. Villa,2192 Sq. Ft.,Rs 1.75 Cr,(Saleable)
415958,JRC Sanzio,3 BHK 2494 Sq. Ft. Villa,2494 Sq. Ft.,Rs 1.96 Cr,(Saleable)
426777,Trifecta Vanto,1 BHK 710 Sq. Ft. Apartment,710 Sq. Ft.,Rs 61.05 Lac,(Saleable)
426777,Trifecta Vanto,2 BHK 1085 Sq. Ft. Apartment,1085 Sq. Ft.,Rs 93.30 Lac,(Saleable)
426777,Trifecta Vanto,2 BHK 1165 Sq. Ft. Apartment,1165 Sq. Ft.,Rs 1.00 Cr,(Saleable)
426777,Trifecta Vanto,2 BHK 1230 Sq. Ft. Apartment,1230 Sq. Ft.,Rs 1.06 Cr,(Saleable)
426777,Trifecta Vanto,3 BHK 1340 Sq. Ft. Apartment,1340 Sq. Ft.,Rs 1.15 Cr,(Saleable)
368250,Vaibhav Upavan,1200 Sq. Ft. Plot,1200 Sq. Ft.,Rs 20.40 Lac,(Saleable)
368250,Vaibhav Upavan,2400 Sq. Ft. Plot,2400 Sq. Ft.,Rs 40.80 Lac,(Saleable)
412178,Platinum East Woods,2 BHK 1098 Sq. Ft. Apartment,1098 Sq. Ft.,Rs 91.13 Lac,(Saleable)
412178,Platinum East Woods,2 BHK 1220 Sq. Ft. Apartment,1220 Sq. Ft.,Rs 1.01 Cr,(Saleable)
412178,Platinum East Woods,3 BHK 1497 Sq. Ft. Apartment,1497 Sq. Ft.,Rs 1.24 Cr,(Saleable)
412178,Platinum East Woods,3 BHK 1731 Sq. Ft. Apartment,1731 Sq. Ft.,Rs 1.44 Cr,(Saleable)
412178,Platinum East Woods,4 BHK 1871 Sq. Ft. Apartment,1871 Sq. Ft.,Rs 1.55 Cr,(Saleable)
412178,Platinum East Woods,4 BHK 2374 Sq. Ft. Apartment,2374 Sq. Ft.,Rs 1.97 Cr,(Saleable)
396799,Keya Around The Life,2 BHK 1315 Sq. Ft. Apartment,1315 Sq. Ft.,Rs 1.31 Cr,(Saleable)
396799,Keya Around The Life,2 BHK 1292 Sq. Ft. Apartment,1292 Sq. Ft.,Rs 1.29 Cr,(Saleable)
396799,Keya Around The Life,3 BHK 1654 Sq. Ft. Apartment,1654 Sq. Ft.,Rs 1.65 Cr,(Saleable)
396799,Keya Around The Life,3 BHK 1690 Sq. Ft. Apartment,1690 Sq. Ft.,Rs 1.69 Cr,(Saleable)
396799,Keya Around The Life,4 BHK 2314 Sq. Ft. Apartment,2314 Sq. Ft.,Rs 2.31 Cr,(Saleable)
396799,Keya Around The Life,4 BHK 2371 Sq. Ft. Apartment,2371 Sq. Ft.,Rs 2.37 Cr,(Saleable)
423236,Prestige Somerville,2 BHK 1411 Sq. Ft. Apartment,1411 Sq. Ft.,Rs 2.06 Cr,(Saleable)
423236,Prestige Somerville,2 BHK 1547 Sq. Ft. Apartment,1547 Sq. Ft.,Rs 2.25 Cr,(Saleable)
423236,Prestige Somerville,3 BHK 1818 Sq. Ft. Apartment,1818 Sq. Ft.,Rs 2.64 Cr,(Saleable)
423236,Prestige Somerville,3 BHK 1962 Sq. Ft. Apartment,1962 Sq. Ft.,Rs 2.85 Cr,(Saleable)
423236,Prestige Somerville,4 BHK 2616 Sq. Ft. Apartment,2616 Sq. Ft.,Rs 3.78 Cr,(Saleable)
33782,Salarpuria Sattva Magnificia,3 BHK 2186 Sq. Ft. Apartment,2186 Sq. Ft.,Rs 2.08 Cr,(Saleable)
33782,Salarpuria Sattva Magnificia,3 BHK 2425 Sq. Ft. Apartment,2425 Sq. Ft.,Rs 2.30 Cr,(Saleable)
33782,Salarpuria Sattva Magnificia,4 BHK 4050 Sq. Ft. Penthouse,4050 Sq. Ft.,Rs 4.23 Cr,(Saleable)
33782,Salarpuria Sattva Magnificia,4 BHK 4010 Sq. Ft. Penthouse,4010 Sq. Ft.,Rs 4.19 Cr,(Saleable)
426628,Assetz Promise of Spring,1500 Sq. Ft. Plot,1500 Sq. Ft.,Rs 1.07 Cr,(Saleable)
426628,Assetz Promise of Spring,3000 Sq. Ft. Plot,3000 Sq. Ft.,Rs 2.14 Cr,(Saleable)
324247,Puravankara Purva Zenium,2 BHK 1044 Sq. Ft. Apartment,1044 Sq. Ft.,Rs 1.45 Cr,(Saleable)
324247,Puravankara Purva Zenium,2 BHK 1204 Sq. Ft. Apartment,1204 Sq. Ft.,Rs 1.67 Cr,(Saleable)
324247,Puravankara Purva Zenium,2 BHK 1062 Sq. Ft. Apartment,1062 Sq. Ft.,Rs 1.48 Cr,(Saleable)
324247,Puravankara Purva Zenium,3 BHK 1331 Sq. Ft. Apartment,1331 Sq. Ft.,Rs 1.85 Cr,(Saleable)
324247,Puravankara Purva Zenium,3 BHK 1710 Sq. Ft. Apartment,1710 Sq. Ft.,Rs 2.38 Cr,(Saleable)
324247,Puravankara Purva Zenium,3 BHK 1231 Sq. Ft. Apartment,1231 Sq. Ft.,Rs 1.71 Cr,(Saleable)
324247,Puravankara Purva Zenium,3 BHK 1490 Sq. Ft. Apartment,1490 Sq. Ft.,Rs 2.07 Cr,(Saleable)
324247,Puravankara Purva Zenium,3 BHK 1320 Sq. Ft. Apartment,1320 Sq. Ft.,Rs 1.83 Cr,(Saleable)
386994,Sumadhura Aspire Amber,2 BHK 945 Sq. Ft. Apartment,640 Sq. Ft.,Rs 85.05 Lac,(Carpet)
386994,Sumadhura Aspire Amber,2 BHK 1010 Sq. Ft. Apartment,622 Sq. Ft.,Rs 90.90 Lac,(Carpet)
386994,Sumadhura Aspire Amber,3 BHK 1135 Sq. Ft. Apartment,640 Sq. Ft.,Rs 1.02 Cr,(Carpet)
427979,Concorde Mayfair,2 BHK 1171 Sq. Ft. Apartment,1171 Sq. Ft.,Rs 1.59 Cr,(Saleable)
427979,Concorde Mayfair,3 BHK 1453 Sq. Ft. Apartment,1453 Sq. Ft.,Rs 1.97 Cr,(Saleable)
