Registration Number,Professional Name,RERA Certificate No.,Professional Type,Type of Contractor,Registration Number,Name of the firm,Address of the firm,Year of establishment,Name of Promoters Associated with,Key projects completed,Type of Professional
K-RERA/PRJ/315/2020,M PADMANABHA BHAT,NA,Chartered Accountant,NA,025305,M PADMANABHA BHAT,"26,ARADHANA,8TH CROSS, KAGGSDASAPURA,C V RAMAN NAGAR, BANGALORE",2008,PADMANABHA BHAT,.,NA
K-RERA/PRJ/315/2020,CAPACITE INFRAPROJECTS LIMITED,NA,Contractor,RCC/Form works contractor,NA,NA,NA,NA,NA,NA,NA
K-RERA/PRJ/253/2020,Arun Kumar,NA,Architect,NA,CA/96/20236,Sobha Limited,"Sarjapur Marthahalli Outer Ring Road,Bellandur,Karnataka-560103",1996,NA,0,NA
K-RERA/PRJ/253/2020,Balakrishnan G,NA,Engineer,NA,F-124976-9,Sobha Limited,"Sarjapur Marthahalli Outer Ring Road,Bellandur,Karnataka-560103",1996,NA,0,NA
K-RERA/PRJ/253/2020,D Balaji,NA,Chartered Accountant,NA,217390,Balaji & Sivasankar,"2nd Floor,No.11,9th Cross,3G Cross,Ramiah Layout,Kacharkanahalli,Bangalore-560084",2005,NA,0,NA
K-RERA/PRJ/252/2020,Arun Kumar,NA,Architect,NA,CA/96/20236,Sobha Limited,"SarjapurMarthahalli Outer Ring Road,Bellandur,Karnataka-560103",1996,NA,0,NA
K-RERA/PRJ/252/2020,Balakrishnan G,NA,Engineer,NA,F-124976-9,Sobha Limited,"Sarjapur Marthahalli Outer Ring Road,Bellandur,Karnataka-560103",1996,NA,0,NA
K-RERA/PRJ/252/2020,D Balaji,NA,Chartered Accountant,NA,217390,Balaji & Sivasankar,"2nd Floor,No.11,9th Cross,3G Cross,Ramiah Layout,Kacharkanahalli,Bangalore-560084",2005,NA,0,NA
K-RERA/PRJ/251/2020,Arun Kumar,NA,Architect,NA,CA/96/20236,Sobha Limited,"Sarjapur Marthahalli Outer Ring Road,Bellandur,Karnataka-560103",1996,NA,0,NA
K-RERA/PRJ/251/2020,Balakrishnan G,NA,Engineer,NA,F-124976-9,Sobha Limited,"Sarjapur Marthahalli Outer Ring Road,Bellandur,Karnataka-560103",1996,NA,0,NA
K-RERA/PRJ/251/2020,D Balaji,NA,Chartered Accountant,NA,217390,Balaji & Sivasankar,"2nd Floor,No.11,9th Cross,3G Cross,Ramiah Layout,Kacharkanahalli,Bangalore-560084",2005,NA,0,NA
K-RERA/PRJ/243/2020,Jayakrishnan K B,NA,Architect,NA,CA/95/18893,JCJR Partnership,"9 Belhaven Gardens, Kowdiar P. O., Thiruvananthapuram",1998,"Oceanus Dwellings, Heera Developers, Favourite Homes","Samrudhi Lake View Apartment Thiruvananthapuram, Heera West Court Apartment Thiruvananthapuram, Heera Heritage Thiruvananthapuram, Dew Drop Apartment Thiruvananthapuram",NA
K-RERA/PRJ/243/2020,Lekshmi R,NA,Engineer,NA,E-6382/16/EA-16,Self,"Vayalil Puthenveedu, Koikkal Lane, Kannamoola, Medical College P. O., Thiruvananthapuram",2016,Oceanus Dwellings Pvt Ltd,Oceanus Elite,NA
K-RERA/PRJ/243/2020,Sheela Benny,NA,Chartered Accountant,NA,01940S,SAVR & Associates,"1st Floor, Prince Complex, Market Road, Aluva",2019,"Green Natural Extracts Pvt Ltd., Aluva, Industrial Engineering Corporation, South Kalamassery, Mastek Constructions Pvt Ltd, Muppathadam, Aluva, Dreamzwell Technical Services Pvt ltd Ernakulam","Green Natural Extracts Pvt Ltd., Aluva, Industrial Engineering Corporation, South Kalamassery, Mastek Constructions Pvt Ltd., Muppathadam, Aluva, Dreamzwell Technical Services Pvt Ltd, Ernakulam",NA
K-RERA/PRJ/235/2020,Arun Kumar,NA,Architect,NA,CA/96/20236,Sobha Limited,"Sobha Limited, Sarjapur- Marthahalli ORR, Devarabisanahalli, Bellandur Post,Banglore-560103",1995,NA,NA,NA
K-RERA/PRJ/235/2020,Balakrishnan G,NA,Engineer,NA,F-124976-9,Sobha Limited,"Sobha Limited, Sarjapur- Marthanahalli ORR, Devarabisanahlli, Bellandur Post, Banglore- 560103",1995,NA,NA,NA
K-RERA/PRJ/235/2020,D Balaji,NA,Chartered Accountant,NA,217390,Balaji and Sivasankar,"11, 9th Cross, Ramiah Layout, Kacharakanahalli, Banglore-560084",2019,NA,NA,NA
K-RERA/PRJ/138/2020,Price B,NA,Architect,NA,CA-2009/44309,EngineeringSolutions,"XV/263,Shappu Mukku,Kadavoor P O,Kollam,691601,kerala",2009,0,4,NA
K-RERA/PRJ/138/2020,Dinesh K,NA,Engineer,NA,E-2050/08/437/KKD/21/EA,Dinesh,"Island Nivas,Athanikkal,Karad PO,Vaniyambalam,Vandoor,Malappuram 679339",2010,0,5,NA
K-RERA/PRJ/138/2020,C A Saju K R,NA,Chartered Accountant,NA,010639S,Jayakumar Grorge & Associates,"Akhilaiswaryam,Thampuran Nagar -M6,Edapazhinji,Sasthamangalam P O ,Thiruvananthapuram- 695010",2009,Saju K R,0,NA
K-RERA/PRJ/138/2020,Price B,NA,Architect,NA,CA-2009/44309,EngineeringSolutions,"XV/263,Shappu Mukku,Kadavoor P O,Kollam,691601,kerala",2009,0,4,NA
K-RERA/PRJ/138/2020,Dinesh K,NA,Engineer,NA,E-2050/08/437/KKD/21/EA,Dinesh,"Island Nivas,Athanikkal,Karad PO,Vaniyambalam,Vandoor,Malappuram 679339",2010,0,5,NA
K-RERA/PRJ/138/2020,C A Saju K R,NA,Chartered Accountant,NA,010639S,Jayakumar Grorge & Associates,"Akhilaiswaryam,Thampuran Nagar -M6,Edapazhinji,Sasthamangalam P O ,Thiruvananthapuram- 695010",2009,Saju K R,0,NA
K-RERA/PRJ/096/2021,KOSHY ALEX K,NA,Architect,NA,CA/86/9765,VASTUSHILPALAYA CONSULTANCY PVT LTD,SASTHAMANAGALAM P.O TRIVANDRUM 6950010,2002,"CORDIAL PROPERTIES INDIA PVT LTD, PRIME PROPERTY DEVELOPERS","KEYSTONE APARTMENTS, MB URBAN VILLA APARTMENTS",NA
K-RERA/PRJ/096/2021,VIVVEK V,NA,Engineer,NA,M 1594915,CORDIAL FOUNDATION PVT LTD,VELAYAMBALAM TRIVANDRUM 695010,2011,CORDIAL DEVELOPERS PVT LTD,CORDIAL AMITY CORDIAL ADITHYA,NA
K-RERA/PRJ/096/2021,M RAMESH KUMAR,NA,Chartered Accountant,NA,010745 S,M RAMESH KUMAR AND CO,"BNRA 167, KRISHNAGEETHAM, BHAGATHY NAGAR, NCC ROAD AMBALAMUKKU, KERALA 695005",2004,"CORDIAL HOMES PVT LTD, CORDIAL PROPERTIES INDIA PVT LTD","CORDIAL ADITHYA, CORDIAL BHARATHI",NA
K-RERA/PRJ/052/2021,KOSHI MATHEW,NA,Architect,NA,CA/78/4396,SRISHTI,PATTOM PALALCE P.O,1978,SUGATHAN,SKYLINE DOMAIN,NA
K-RERA/PRJ/052/2021,LIJU EAPEN,NA,Engineer,NA,U74140KA2003PTC031477,SYNERGY COLLIERS INTERNATIONAL,"LINKS BUSINESS PARK, DOMLUR, BANGALORE-560071",2003,SUGATHAN,"HILTON GARDEN INN, GOLD TOWER, MALL OF JOY, TCS CAMPUS- COCHIN, DLF HEIGHTS-COCHIN",NA
K-RERA/PRJ/052/2021,RAJIV,NA,Chartered Accountant,NA,206140,RAJEEV JOSE CHARTERED ACCOUNTANTS,"SRUTHI, TC-2/1473, NALANDA GARDENS, PATTOM P.O. 695004",1998,SUGATHAN,"CAPSTOCKS, BITNIS TECHNOLOGIES",NA
K-RERA/PRJ/052/2021,JACOB MATHEW,NA,Contractor,Others - CIVIL,NA,NA,NA,NA,NA,NA,NA
K-RERA/PRJ/052/2021,KRISHNAKUMAR,NA,Other Professional,NA,NA,NA,NA,NA,NA,NA,STRUCTURAL
K-RERA/PRJ/029/2021,KIRANJITH C S,NA,Architect,NA,CA/2009/44565,DRISHTI STUDIO,"DRISHTI STUDIO,406 B,MITTAL TOWERS,NORTH 6 - MG ROAD,BANGALORE - 560003",2013,SYNTHITE INFRASTRUCTURE PROJECTS PVT LTD,"SG TOWERS,IN MIND HOSPITALS,ASHVATHA HERMITAGE APARTMENTS,GREEN TERRACES APRTMENT,SHAJ HOTELS",NA
K-RERA/PRJ/029/2021,REJI ZACHARIAH,NA,Engineer,NA,M1395785,S AND R CONSULTANTS,"S AND R CONSULTANTS,SECOND FLOOR,S AND R BUILDING,SOONORO CHURCH,FIRST CROSS ROAD,ELAMKULAM,KOCHI - 20",1999,SYNTHITE INFRASTRUCTURE PROJECTS PVT LTD,"MALABAR GOLD,G8 COMMERCIAL BUILDING,DD CITY GATE,HOYSALA NESTOR",NA
K-RERA/PRJ/029/2021,LAZAR DOMINC,NA,Chartered Accountant,NA,FRN016681S,LV AND CO CHARTERED ACCOUNTANT,"RAMADA ADMIN BLOCK,PV SREEDHARAN ROAD,KUMBALAM,COCHIN - 682506",2000,SYNTHITE INFRASTRUCTURE PROJECTS PVT LTD,RAMADA RESORT,NA
K-RERA/PRJ/029/2021,JJ CONSULTANTS,NA,Contractor,Others - CIVIL,NA,NA,NA,NA,NA,NA,NA
K-RERA/PRJ/003/2020,Dharmakeerthi,NA,Architect,NA,CA/94/17475,Keerthi&Bhavana,"MP Appan road, vazhuthacaudu, Trivandrum",1994,Nikunjam,6,NA
K-RERA/PRJ/003/2020,S Arunkumar,NA,Engineer,NA,1-9/AV/CC-TM/2019-20,AKS Group Builers and Developers,"First Floor, SMRA68, Near sreeramakrishna hospital, Sasthamangalam, Trivandrum",2015,Nikunjam,0,NA
K-RERA/PRJ/003/2020,Sreeram Sekar,NA,Chartered Accountant,NA,005637S,Sekhar & Jayanthi,"T.C 25/2648(6), 2nd floor Greens Galaxy, Ambujavoaspm Road, Stature, Trivandrum",1991,Nikunjam,0,NA
Kâ€RERA/PRJ/TVM/133/2022,Dharmakeerthi,NA,Architect,NA,CA/94/17475,Keerthi&Bhavana,"MP Appan road, vazhuthacaudu, Trivandrum",1994,Nikunjam,6,NA
Kâ€RERA/PRJ/TVM/133/2022,S Arunkumar,NA,Engineer,NA,1-9/AV/CC-TM/2019-20,AKS Group Builers and Developers,"First Floor, SMRA68, Near sreeramakrishna hospital, Sasthamangalam, Trivandrum",2015,Nikunjam,0,NA
Kâ€RERA/PRJ/TVM/133/2022,Sreeram Sekar,NA,Chartered Accountant,NA,005637S,Sekhar & Jayanthi,"T.C 25/2648(6), 2nd floor Greens Galaxy, Ambujavoaspm Road, Stature, Trivandrum",1991,Nikunjam,0,NA
Kâ€RERA/PRJ/TVM/121/2022,Dharmakeerthi,NA,Architect,NA,CA/94/17475,Keerthi&Bhavana,"MP Appan road, vazhuthacaudu, Trivandrum",1994,Nikunjam,6,NA
Kâ€RERA/PRJ/TVM/121/2022,S Arunkumar,NA,Engineer,NA,1-9/AV/CC-TM/2019-20,AKS Group Builers and Developers,"First Floor, SMRA68, Near sreeramakrishna hospital, Sasthamangalam, Trivandrum",2015,Nikunjam,0,NA
Kâ€RERA/PRJ/TVM/121/2022,Sreeram Sekar,NA,Chartered Accountant,NA,005637S,Sekhar & Jayanthi,"T.C 25/2648(6), 2nd floor Greens Galaxy, Ambujavoaspm Road, Stature, Trivandrum",1991,Nikunjam,0,NA
Kâ€RERA/PRJ/KKD/242/2024,Dharmakeerthi,NA,Architect,NA,CA/94/17475,Keerthi&Bhavana,"MP Appan road, vazhuthacaudu, Trivandrum",1994,Nikunjam,6,NA
Kâ€RERA/PRJ/KKD/242/2024,S Arunkumar,NA,Engineer,NA,1-9/AV/CC-TM/2019-20,AKS Group Builers and Developers,"First Floor, SMRA68, Near sreeramakrishna hospital, Sasthamangalam, Trivandrum",2015,Nikunjam,0,NA
Kâ€RERA/PRJ/KKD/242/2024,Sreeram Sekar,NA,Chartered Accountant,NA,005637S,Sekhar & Jayanthi,"T.C 25/2648(6), 2nd floor Greens Galaxy, Ambujavoaspm Road, Stature, Trivandrum",1991,Nikunjam,0,NA
Kâ€RERA/PRJ/ERN/109/2022,Dharmakeerthi,NA,Architect,NA,CA/94/17475,Keerthi&Bhavana,"MP Appan road, vazhuthacaudu, Trivandrum",1994,Nikunjam,6,NA
Kâ€RERA/PRJ/ERN/109/2022,S Arunkumar,NA,Engineer,NA,1-9/AV/CC-TM/2019-20,AKS Group Builers and Developers,"First Floor, SMRA68, Near sreeramakrishna hospital, Sasthamangalam, Trivandrum",2015,Nikunjam,0,NA
Kâ€RERA/PRJ/ERN/109/2022,Sreeram Sekar,NA,Chartered Accountant,NA,005637S,Sekhar & Jayanthi,"T.C 25/2648(6), 2nd floor Greens Galaxy, Ambujavoaspm Road, Stature, Trivandrum",1991,Nikunjam,0,NA
