Registration Number,Sr No.,Project Name,RERA registration number,Project Address,Land Area (In Sq mtrs),Details of payments pending,Current status of the project,Details of cases/ litigations related to the project,Date of commencement,Proposed date of completion,Actual completion date,Remarks (If any),Other relevant experience
K-RERA/PRJ/TVM/215/2024,1,Cordial Skyview,,"Cordial Skyview, Karamana, Thiruvananthapuram, Kerala 695012",2168,31607227,"Completed, OC awaited",Nil,24/08/2016,30/09/2020,NA,NA,NA
K-RERA/PRJ/TVM/215/2024,2,Cordial Dhanuss,,"Maruthumkuzhi, Thiruvananthapuram, Kerala 695030",1740,52123584,"Completed, OC obtained",Nil,16/07/2017,30/09/2020,11/11/2020,NA,NA
K-RERA/PRJ/TVM/123/2023,1,ARTECH METROPOLIS,,"MANNANTHALA , THIRUVANANTHPURAM",6720.60,NIL,ON GOING,NIL,21/10/2017,31/12/2022,NA,NA,NA
K-RERA/PRJ/TVM/123/2023,2,ARTECH PALM MEADOWS,,POLAYATHODE KOLLAM,2136,0,ON GOING,NIL,11/10/2018,31/12/2022,NA,NA,NA
K-RERA/PRJ/TVM/123/2023,3,ARTECH KAAZHCHA,,THIRUVALLA,3311,NIL,ON GOING,NIL,15/06/2018,31/12/2022,NA,NA,NA
K-RERA/PRJ/TVM/117/2024,1,Oceanus Mythrika,,"Thrippadhapuram, Kulathoor P. O., Kazhakkuttam, Thiruvananthapuram.",1744,NA,Construction in progress,NA,01/07/2016,30/06/2022,NA,NA,"Had constructed and handed over around 10 Residential apartment buildings in Thiruvananthapuram alone. The company is also having projects in other parts of Kerala, like Ernakulam, Palakkad, Kannoor, Thrissur etc."
K-RERA/PRJ/TVM/096/2024,1,CORDIAL BHARATHI,,NANTHENCODE,3439,NO,COMPLETED,NO,10/03/2016,01/08/2019,10/10/2019,COMPLETED,NA
K-RERA/PRJ/TVM/096/2024,2,CORDIAL ADITHYA,,AMBALAMUKKU,2023,NO,COMPLETED,NO,05/07/2016,07/08/2019,10/10/2019,COMPLETED,NA
K-RERA/PRJ/TVM/096/2024,3,CORDIAL AMITY,,PEROORKADA,2306,NO,COMPLETED,NO,06/03/2013,14/07/2016,14/07/2016,COMPLETED,NA
K-RERA/PRJ/TVM/069/2023,1,ARTECH METROPOLIS,,"MANNANTHALA , THIRUVANANTHPURAM",6720.60,NIL,ON GOING,NIL,21/10/2017,31/12/2022,NA,NA,NA
K-RERA/PRJ/TVM/069/2023,2,ARTECH PALM MEADOWS,,POLAYATHODE KOLLAM,2136,0,ON GOING,NIL,11/10/2018,31/12/2022,NA,NA,NA
K-RERA/PRJ/TVM/069/2023,3,ARTECH KAAZHCHA,,THIRUVALLA,3311,NIL,ON GOING,NIL,15/06/2018,31/12/2022,NA,NA,NA
K-RERA/PRJ/TVM/044/2024,1,PRS KRISHNA,,Pulimoodu,0,0,Completed,No,02/04/2015,05/03/2018,05/03/2018,NA,NA
K-RERA/PRJ/TVM/044/2024,2,PRS Param Ratna,K-RERA/PRJ/286/2020,"Near KCA, Model Shcool Jn. Panavila, thycaud, TVM",1943,0,Completed,Nill,14/07/2016,30/12/2023,30/12/2023,NA,NA
K-RERA/PRJ/TVM/021/2024,1,SHANOOR NALANDA,,SREEKARIYAM,1014.58,0,PROJECT HANDOVER TO CUSTOMER,0,01/10/2018,30/12/2020,NA,NA,NA
K-RERA/PRJ/TSR/108/2024,1,HILIFE CAPITOL,,"NEAR OUTPOST STOP,KANJANNI ROAD,AYYANTHOLE",1355.75,NIL,COMPLETED,NIL,29/12/2014,30/09/2018,30/08/2018,NA,NA
K-RERA/PRJ/TSR/068/2024,1,FORUS TULIPS,,"NEAR VIYYUR BRIDGE, VIYYUR-680010",1197,NIL,COMPLETED,NIL,01/03/2017,04/10/2019,04/10/2019,NIL,NIL
K-RERA/PRJ/TSR/068/2024,2,FORUS PARAMOUNT,,"ST.THOMAS COLLEGE ROAD, EAST FORT,THRISSUR-680005",1052,NIL,COMPLETED,NIL,01/02/2018,26/06/2020,26/06/2020,NIL,NIL
K-RERA/PRJ/TSR/068/2024,3,FORUS FLORA HEIGHTS,,"KERALAVARMA COLLEGE ROAD, KANATTUKARA, AYYANTHOLE, THRISSUR",846,NIL,COMPLETED,NIL,06/06/2014,16/12/2017,16/12/2017,NIL,NIL
K-RERA/PRJ/TSR/068/2024,4,FORUS MAPLE,,"MACHINGAL LANE, NEAR RAMDAS THEATRE, THRISSUR-1",475,NIL,COMPLETED,NIL,13/01/2014,22/11/2016,22/11/2016,NIL,NIL
K-RERA/PRJ/KKD/204/2024,1,Reigate Marina,K-RERA/PRJ/255/2020,"Therveedu Road, 4th Gate,Kozhikode",783,Nill,completed,Nill,05/05/2019,27/03/2022,NA,NA,NA
K-RERA/PRJ/KKD/204/2024,2,Reigate Serenity,K-RERA/PRJ/323/2020,"Golf Link Road, Chevayur, Kozhikode",910,Nill,completed,Nill,02/02/2021,27/03/2023,NA,NA,NA
K-RERA/PRJ/KKD/204/2024,3,Reigate Finsbury Park,K-RERA/PRJ/KKD/181/2022,"Near christian College, Kannur Road, Nadakkavu, Kozhikode",1825.90,Work in progress 32.67%completed,Ongoing,Nill,02/09/2022,27/02/2026,NA,NA,NA
K-RERA/PRJ/ERN/076/2023,1,Sobha Dream Heights,,"Gandhinagar, Gujarat",9008,NIL,Ongoing,NIL,01/03/2019,31/03/2024,30/09/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,2,Sobha HRC Pristine Phase 1 Block 1,,"Jakkur Village, Yelahanka Hobli, Bengaluru",11430,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/ERN/076/2023,3,Sobha HRC Pristine Phase 4 Block 4 and 5,,"Jakkur Village, Yelahanka Hobli, Bengaluru",1557,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/ERN/076/2023,4,Sobha HRC Pristine Phase 2 Block 2,,"Jakkur Village, Yelahanka Hobli, Bengaluru",11391,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/ERN/076/2023,5,Sobha HRC Pristine Phase 3 Block 3,,"Jakkur Village, Yelahanka Hobli, Bengaluru",6456,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/ERN/076/2023,6,Sobha Morzaria Grandeur 2 (W1),,"Dairy circle, Bangalore",2265,NIL,Ongoing,NIL,15/12/2016,01/05/2021,01/11/2021,NA,NA
K-RERA/PRJ/ERN/076/2023,7,Sobha Rajvilas,,"Sy. No 19/3, Minerva Mill Quarters, Gopalapura",10892,0,Ongoing,"1. W.P.No.41121-41122/2018 - filed by Sobha Limited against BBMP and Others,2.W.P.No.31592-93/2019 - filed by Sobha Limited against Govt of Karnataka and Others",22/11/2018,30/12/2024,30/12/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,8,Sobha Royal Pavilion Phase 1 - Wing 6 and 7,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10846,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,9,Sobha Royal Pavilion Phase 2 - Wing 4 and 5,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10616,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,10,Sobha Royal Pavilion Phase 3 - Wing 16,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10927,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,08/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,11,"Sobha Royal Pavilion Phase 4 - Wing 1, 2 and 3",,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",16123,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/03/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,12,Sobha Royal Pavilion Phase 5 - Wing 8 and 9,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10846,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,29/03/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026.There is no option to enter the actual completion date,NA
K-RERA/PRJ/ERN/076/2023,13,Sobha Royal Pavilion Phase 6 - Wing 10 and 11,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10616,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/11/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026,NA
K-RERA/PRJ/ERN/076/2023,14,Sobha Palm Court,,"Yelahanka, Bangalore",18413,NIL,Ongoing,1. W.P.No.15988/2015 filed by Sobha Limited against State of Karnataka2.W.P.No.57920/2015 filed by Sobha Limited against State of Karnataka,01/09/2016,01/05/2021,01/11/2021,NA,NA
K-RERA/PRJ/ERN/076/2023,15,"Sobha Royal Pavilion Phase 7 - Wing 12, 13 and 14",,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",16123,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/11/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026,NA
K-RERA/PRJ/ERN/076/2023,16,Sobha Lake Gardens Phase 1,,"Bharathi Nagar, Krishnarajapura, Seegehalli Village, K.R. Puram Hobli",18570,NIL,Ongoing,NIL,01/07/2018,31/05/2023,30/11/2023,NA,NA
K-RERA/PRJ/ERN/076/2023,17,Sobha Royal Pavilion Phase 8 - Wing 15,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10927,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,31/05/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026,NA
K-RERA/PRJ/ERN/076/2023,18,Sobha Lake Gardens Phase 2,,"Bharathi Nagar, Krishnarajapura, Seegehalli Village, K.R. Puram Hobli",17244,NIL,Ongoing,NIL,01/07/2018,31/03/2024,30/09/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,19,Sobha Dream Gardens Phase 1 - Wing 8 and 9,,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",14799,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,29/08/2024,29/08/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,20,"Sobha Dream Gardens Phase 2 - Wing 5, 6 and 7",,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",21347,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,29/08/2024,29/08/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,21,Sobha Dream Gardens Phase 3 - Wing 3 and 4,,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",15156,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,28/08/2025,28/08/2025,NA,NA
K-RERA/PRJ/ERN/076/2023,22,Sobha Dream Gardens Phase 4 - Wing 1 and 2,,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",14799,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others ,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,28/08/2025,28/08/2025,NA,NA
K-RERA/PRJ/ERN/076/2023,23,Sobha Dream Gardens Phase 5 - Wing 10,,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",4823,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,28/08/2025,28/08/2025,NA,NA
K-RERA/PRJ/ERN/076/2023,24,Sobha Gardenia,,"Chennai, South,Tamil Nadu,India",27720.74,0,27720.74,NIL,31/01/2018,27/08/2022,27/08/2022,NA,NA
K-RERA/PRJ/ERN/076/2023,25,Sobha Palacia,,"Sholinganallur, Chennai, Tamil Nadu",21796.61,0,Ongoing,NIL,01/07/2019,28/06/2024,28/06/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,26,Sobha Blossom,,"Sriperumbudur, Chennai",28247.06,0,Ongoing,NIL,09/09/2019,29/06/2022,29/06/2022,NA,NA
K-RERA/PRJ/ERN/076/2023,27,Sobha Forest Edge,,"Hosahalli, Kengeri Sub Division, Ward No.198, Bengaluru",13091,nil,Ongoing,nil,16/02/2018,30/09/2022,30/03/2023,NA,NA
K-RERA/PRJ/ERN/076/2023,28,Sobha Verdure,,"Vedapatti, Coimbatore",16680.60,0,Ongoing,NIL,01/06/2019,30/05/2023,30/05/2023,NA,NA
K-RERA/PRJ/ERN/076/2023,29,Sobha Nesara Block 1,,"Kothrud, Pune",2927.11,0,Ongoing,NIL,01/03/2019,30/09/2024,30/09/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,30,Sobha Nesara Block 2,,"Kothrud, Pune",3992.23,0,Ongoing,NIL,01/03/2019,30/09/2024,30/09/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,31,Sobha Nesara Block 3,,"Kothrud, Pune",5227.01,0,Ongoing,NIL,01/03/2019,30/09/2024,30/09/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,32,"SOBHA CITY PHASE 1, PART 1",,"Gurugram, Haryana",52143.54,0,Ongoing,NIL,23/08/2017,28/04/2022,28/04/2022,NA,NA
K-RERA/PRJ/ERN/076/2023,33,"SOBHA CITY- PHASE 1,PART 2",,"Gurugram, Haryana",3103.31,0,Ongoing,NIL,28/08/2017,28/10/2022,NA,NA,NA
K-RERA/PRJ/ERN/076/2023,34,"SOBHA CITY (PHASE-2, PART-1)",,"Sector-108, Gurugram",3199.39,0,Ongoing,NIL,01/07/2018,29/04/2023,29/04/2023,NA,NA
K-RERA/PRJ/ERN/076/2023,35,SOBHA CITY PHASE III,,"Sector-108, Babupur, Gurugram",3051.45,0,Ongoing,NIL,25/02/2019,28/04/2024,28/04/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,36,SOBHA CITY PHASE IV,,"Sector-108, Babupur, Gurugram",10836.48,0,Ongoing,NIL,27/05/2019,29/06/2025,29/06/2025,NA,NA
K-RERA/PRJ/ERN/076/2023,37,Sobha Arena - Pebble Court (Block 1),,"Kanakapura Road, Bangalore",11127.06,nil,Ongoing,"Partition Suit O.S.- No.138/2000,No.1835/2014 ,O.S.No.2138/2014, O.S.No.130/2015,O.S.No.240/2012 , Partition Suit O.S.No.93/2009,Injunction SuitO.S.No.953/2015",28/02/2018,30/04/2022,30/10/2022,NA,NA
K-RERA/PRJ/ERN/076/2023,38,Sobha Arena - The Square (Block 4),,"Kanakapura Road, Bangalore",13769.09,nil,completed,"Partition Suit O.S.- No.138/2000,No.1835/2014 ,O.S.No.2138/2014, O.S.No.130/2015,O.S.No.240/2012 , Partition Suit O.S.No.93/2009,Injunction SuitO.S.No.953/2015",28/02/2018,31/12/2021,NA,NA,NA
K-RERA/PRJ/ERN/076/2023,39,Sobha Silicon Oasis Phase 4 Wing 9,,"Hosa Road, Bangalore",4340,nil,Completed,"1. O.S.No.1287/2014 ,2. W.P.No 28360/2015 ,3. W.P.No.15059/2015 ,4. W.P.No.25462/2019 ,5. W.P.No.7454/2020",21/10/2015,01/01/2021,NA,NA,NA
K-RERA/PRJ/ERN/076/2023,40,Sobha Silicon Oasis Phase 5 Wing 10 & 11,,"Hosa Road, Bangalore",10670,nil,Completed,"1. O.S.No.1287/2014 ,2. W.P.No 28360/2015 ,3. W.P.No.15059/2015 ,4. W.P.No.25462/2019 ,5. W.P.No.7454/2020",03/09/2015,01/01/2021,NA,NA,NA
K-RERA/PRJ/ERN/076/2023,41,Sobha Dream Acres - Tropical Greens Phase 20 Wing 18,,"Balagere, Bangalore",4747,nil,Ongoing,"Partition Suit in O.S.No. 594/2016,Partition Suit in O.S.No.356/2010 ,Partition Suit in O.S.No.227/2011 Partition Suit in O.S No. 448/2014 ,Partion Suit in OS No.1351/2009 ,Partition Suit in O.S No.815/2017 W.P.No.17398/2015.,W.P.No. 25145/2019 ,W.P.No. 388/2020 ,W.P.No. 13573/2020",13/06/2018,31/03/2023,30/09/2023,NA,NA
K-RERA/PRJ/ERN/076/2023,42,Sobha Dream Acres - Tropical Greens Phase 19 Wings 19 and 20,,"Balagere, Bangalore",9537,nil,Ongoing,"Partition Suit in O.S.No. 594/2016,Partition Suit in O.S.No.356/2010 ,Partition Suit in O.S.No.227/2011 Partition Suit in O.S No. 448/2014 ,Partion Suit in OS No.1351/2009 ,Partition Suit in O.S No.815/2017 W.P.No.17398/2015.,W.P.No. 25145/2019 ,W.P.No. 388/2020 ,W.P.No. 13573/2020",01/11/2018,31/12/2022,30/06/2023,NA,NA
K-RERA/PRJ/ERN/076/2023,43,"Sobha Dream Acres - Tropical Greens Phase 23 Wing 25, 26, 27 and 28",,"Balagere, Bangalore",20465,nil,Ongoing,"Partition Suit in O.S.No. 594/2016,Partition Suit in O.S.No.356/2010 ,Partition Suit in O.S.No.227/2011 Partition Suit in O.S No. 448/2014 ,Partion Suit in OS No.1351/2009 ,Partition Suit in O.S No.815/2017 W.P.No.17398/2015.,W.P.No. 25145/2019 ,W.P.No. 388/2020 ,W.P.No. 13573/2020",18/06/2018,31/12/2023,30/06/2024,NA,NA
K-RERA/PRJ/ERN/076/2023,44,Sobha Dream Acres - Tropical Greens Phase 18 Wing 39 and 40,,"Balagere, Bangalore",6923,nil,Completed,"Partition Suit in O.S.No. 594/2016,Partition Suit in O.S.No.356/2010 ,Partition Suit in O.S.No.227/2011 Partition Suit in O.S No. 448/2014 ,Partion Suit in OS No.1351/2009 ,Partition Suit in O.S No.815/2017 W.P.No.17398/2015.,W.P.No. 25145/2019 ,W.P.No. 388/2020 ,W.P.No. 13573/2020",07/10/2017,01/10/2022,01/04/2023,NA,NA
K-RERA/PRJ/ERN/076/2023,45,Sobha Dream Acres - Palm Springs Phase 16 Wing 50,,"Balagere, Bangalore",3707.18,nil,Ongoing,"Partition Suit in O.S.No. 594/2016,Partition Suit in O.S.No.356/2010 ,Partition Suit in O.S.No.227/2011 Partition Suit in O.S No. 448/2014 ,Partion Suit in OS No.1351/2009 ,Partition Suit in O.S No.815/2017 W.P.No.17398/2015.,W.P.No. 25145/2019 ,W.P.No. 388/2020 ,W.P.No. 13573/2020",01/04/2020,30/06/2022,30/12/2022,NA,NA
K-RERA/PRJ/ERN/076/2023,46,"Sobha Dream Acres - Tropical Greens Phase 26 Wing 35, 36, 37 and 38",,"Balagere, Bangalore",21554,nil,Ongoing,"Partition Suit in O.S.No. 594/2016,Partition Suit in O.S.No.356/2010 ,Partition Suit in O.S.No.227/2011 Partition Suit in O.S No. 448/2014 ,Partion Suit in OS No.1351/2009 ,Partition Suit in O.S No.815/2017 W.P.No.17398/2015.,W.P.No. 25145/2019 ,W.P.No. 388/2020 ,W.P.No. 13573/2020",01/05/2019,23/12/2023,24/06/2024,NA,NA
K-RERA/PRJ/ERN/070/2022,1,Castle Rock,,Vypin,6085,Nil,Completed,Nil,09/02/2016,10/05/2017,NA,NA,NA
K-RERA/PRJ/ERN/070/2022,2,Fenice,,Maradu,1167,Nil,Completed,Nil,23/04/2017,01/06/2018,NA,NA,NA
K-RERA/PRJ/ERN/070/2022,3,Rangers Hotel,,Adimaly,951.01,Nil,Completed,Nil,11/02/2015,08/03/2017,NA,NA,NA
K-RERA/PRJ/ERN/070/2022,4,Scarlet,,Kakkanad,5058,Nil,Completed,Nil,18/09/2017,30/12/2018,NA,NA,NA
K-RERA/PRJ/ERN/070/2022,5,Hacienda,,Aluva,2354,Nil,Completed,Nil,05/09/2018,31/12/2020,NA,NA,NA
K-RERA/PRJ/ERN/070/2022,6,Fenix,,Aluva,3125.99,Nil,Completed,Nil,02/08/2018,13/12/2019,NA,NA,NA
K-RERA/PRJ/ERN/070/2022,7,Sacramento,,Thevara,622,Nil,Completed,Nil,27/09/2017,30/12/2019,NA,NA,NA
K-RERA/PRJ/ERN/070/2022,8,RainTree Heights,,Calicut,1667.70,Nil,Completed,Nil,01/12/2018,01/03/2020,NA,NA,NA
K-RERA/PRJ/ERN/070/2022,9,Bhavanam Foundation Kerala,,Adimaly,5260.91,Nil,Completed,Nil,16/08/2016,12/03/2019,NA,NA,NA
K-RERA/PRJ/ERN/058/2024,1,THE CLOUD VILLE,,"NAVODAYA MILLUMPADI, KANAYANNUR, KAKKANAD, ERNAKULAM,682030",4006.74,54040564.1,ALL VILLAS SOLD AND STRUCTURAL WORK IN PROGRESS,NO,04/05/2021,03/05/2026,NA,NA,NA
K-RERA/PRJ/ERN/040/2024,1,Sobha Dream Heights,,"Gandhinagar, Gujarat",9008,NIL,Ongoing,NIL,01/03/2019,31/03/2024,30/09/2024,NA,NA
K-RERA/PRJ/ERN/040/2024,2,Sobha HRC Pristine Phase 1 Block 1,,"Jakkur Village, Yelahanka Hobli, Bengaluru",11430,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/ERN/040/2024,3,Sobha HRC Pristine Phase 4 Block 4 and 5,,"Jakkur Village, Yelahanka Hobli, Bengaluru",1557,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/ERN/040/2024,4,Sobha HRC Pristine Phase 2 Block 2,,"Jakkur Village, Yelahanka Hobli, Bengaluru",11391,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/ERN/040/2024,5,Sobha HRC Pristine Phase 3 Block 3,,"Jakkur Village, Yelahanka Hobli, Bengaluru",6456,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/ERN/040/2024,6,Sobha Morzaria Grandeur 2 (W1),,"Dairy circle, Bangalore",2265,NIL,Ongoing,NIL,15/12/2016,01/05/2021,01/11/2021,NA,NA
K-RERA/PRJ/ERN/040/2024,7,Sobha Rajvilas,,"Sy. No 19/3, Minerva Mill Quarters, Gopalapura",10892,0,Ongoing,"1. W.P.No.41121-41122/2018 - filed by Sobha Limited against BBMP and Others,2.W.P.No.31592-93/2019 - filed by Sobha Limited against Govt of Karnataka and Others",22/11/2018,30/12/2024,30/12/2024,NA,NA
K-RERA/PRJ/ERN/040/2024,8,Sobha Royal Pavilion Phase 1 - Wing 6 and 7,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10846,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/ERN/040/2024,9,Sobha Royal Pavilion Phase 2 - Wing 4 and 5,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10616,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/ERN/040/2024,10,Sobha Royal Pavilion Phase 3 - Wing 16,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10927,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,08/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/ERN/040/2024,11,"Sobha Royal Pavilion Phase 4 - Wing 1, 2 and 3",,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",16123,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/03/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/ERN/040/2024,12,Sobha Royal Pavilion Phase 5 - Wing 8 and 9,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10846,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,29/03/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026.There is no option to enter the actual completion date,NA
K-RERA/PRJ/ERN/040/2024,13,Sobha Royal Pavilion Phase 6 - Wing 10 and 11,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10616,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/11/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026,NA
K-RERA/PRJ/ERN/040/2024,14,Sobha Palm Court,,"Yelahanka, Bangalore",18413,NIL,Ongoing,1. W.P.No.15988/2015 filed by Sobha Limited against State of Karnataka2.W.P.No.57920/2015 filed by Sobha Limited against State of Karnataka,01/09/2016,01/05/2021,01/11/2021,NA,NA
K-RERA/PRJ/ERN/040/2024,15,"Sobha Royal Pavilion Phase 7 - Wing 12, 13 and 14",,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",16123,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/11/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026,NA
K-RERA/PRJ/ERN/040/2024,16,Sobha Lake Gardens Phase 1,,"Bharathi Nagar, Krishnarajapura, Seegehalli Village, K.R. Puram Hobli",18570,NIL,Ongoing,NIL,01/07/2018,31/05/2023,30/11/2023,NA,NA
