Registration Number,Sr No.,Project Name,RERA registration number,Project Address,Land Area (In Sq mtrs),Details of payments pending,Current status of the project,Details of cases/ litigations related to the project,Date of commencement,Proposed date of completion,Actual completion date,Remarks (If any),Other relevant experience
K-RERA/PRJ/243/2020,1,Oceanus Mythrika,,"Thrippadhapuram, Kulathoor P. O., Kazhakkuttam, Thiruvananthapuram.",1744,NA,Construction in progress,NA,01/07/2016,30/06/2022,NA,NA,"Had constructed and handed over around 10 Residential apartment buildings in Thiruvananthapuram alone. The company is also having projects in other parts of Kerala, like Ernakulam, Palakkad, Kannoor, Thrissur etc."
K-RERA/PRJ/235/2020,1,Sobha Dream Heights,,"Gandhinagar, Gujarat",9008,NIL,Ongoing,NIL,01/03/2019,31/03/2024,30/09/2024,NA,NA
K-RERA/PRJ/235/2020,2,Sobha HRC Pristine Phase 1 Block 1,,"Jakkur Village, Yelahanka Hobli, Bengaluru",11430,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/235/2020,3,Sobha HRC Pristine Phase 4 Block 4 and 5,,"Jakkur Village, Yelahanka Hobli, Bengaluru",1557,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/235/2020,4,Sobha HRC Pristine Phase 2 Block 2,,"Jakkur Village, Yelahanka Hobli, Bengaluru",11391,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/235/2020,5,Sobha HRC Pristine Phase 3 Block 3,,"Jakkur Village, Yelahanka Hobli, Bengaluru",6456,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/235/2020,6,Sobha Morzaria Grandeur 2 (W1),,"Dairy circle, Bangalore",2265,NIL,Ongoing,NIL,15/12/2016,01/05/2021,01/11/2021,NA,NA
K-RERA/PRJ/235/2020,7,Sobha Rajvilas,,"Sy. No 19/3, Minerva Mill Quarters, Gopalapura",10892,0,Ongoing,"1. W.P.No.41121-41122/2018 - filed by Sobha Limited against BBMP and Others,2.W.P.No.31592-93/2019 - filed by Sobha Limited against Govt of Karnataka and Others",22/11/2018,30/12/2024,30/12/2024,NA,NA
K-RERA/PRJ/235/2020,8,Sobha Royal Pavilion Phase 1 - Wing 6 and 7,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10846,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/235/2020,9,Sobha Royal Pavilion Phase 2 - Wing 4 and 5,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10616,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/235/2020,10,Sobha Royal Pavilion Phase 3 - Wing 16,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10927,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,08/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/235/2020,11,"Sobha Royal Pavilion Phase 4 - Wing 1, 2 and 3",,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",16123,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/03/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/235/2020,12,Sobha Royal Pavilion Phase 5 - Wing 8 and 9,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10846,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,29/03/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026.There is no option to enter the actual completion date,NA
K-RERA/PRJ/235/2020,13,Sobha Royal Pavilion Phase 6 - Wing 10 and 11,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10616,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/11/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026,NA
K-RERA/PRJ/235/2020,14,Sobha Palm Court,,"Yelahanka, Bangalore",18413,NIL,Ongoing,1. W.P.No.15988/2015 filed by Sobha Limited against State of Karnataka2.W.P.No.57920/2015 filed by Sobha Limited against State of Karnataka,01/09/2016,01/05/2021,01/11/2021,NA,NA
