XID,Housing.com Link
395609,https://housing.com/buy-ambuja-urvisha-the-condoville-by-ambuja-neotia-in-new-town-kolkata-pid-275162
395716,https://housing.com/in/buy/projects/page/279311-fusion-the-brook-by-fusion-buildtech-pvt-ltd-in-noida-extension
395806,https://housing.com/in/buy/projects/page/286797-dac-prathyangira-by-dac-developers-in-sholinganallur
396053,https://housing.com/buy-vivaan-ixora-by-vivaan-group-in-zundal-gandhinagar-gujarat-pid-281468
396174,https://housing.com/buy-dharti-skyline-by-dharti-infracon-in-jagatpur-ahmedabad-pid-285032
396695,https://housing.com/in/buy/projects/page/337847-jrc-wild-woods-by-jrc-projects-pvt-ltd-in-gattahalli
396698,https://housing.com/in/buy/projects/page/283051-mars-planet-by-mars-builders-in-hosakerehalli
396796,https://housing.com/in/buy/projects/page/340662-pristine-ilife-dhanori-by-pristine-developers-in-dhanori
396799,https://housing.com/in/buy/projects/page/283108-keya-around-the-life-by-keya-homes-in-k-r-puram
396805,https://housing.com/in/buy/projects/page/310316-prestige-glenbrook-by-prestige-estates-projects-ltd-in-k-r-puram
396925,https://housing.com/in/buy/projects/page/283175-majestique-ornate-by-majestique-landmarks-in-baner
396980,https://housing.com/buy-atri-rays-by-atri-group-in-narendrapur-kolkata-pid-286641
397113,https://housing.com/buy-sanctorum-by-eden-group-and-isha-group-in-tangra-kolkata-pid-283097
397582,https://housing.com/in/buy/projects/page/284453-omsree-gallaxy-by-om-sree-builders-developers-in-kompally
397709,https://housing.com/in/buy/projects/page/284318-godrej-woodsville-by-godrej-properties-ltd-in-hinjawadi
397833,https://housing.com/in/buy/projects/page/283126-brigade-horizon-by-brigade-enterprises-ltd-in-kumbalgodu
397983,https://housing.com/in/buy/projects/page/284649-pavani-mirabilia-by-pavani-group-in-k-r-puram
398191,https://housing.com/in/buy/projects/page/286101-godrej-green-estate-by-godrej-properties-ltd-in-sector-34
398215,https://housing.com/in/buy/projects/page/284760-eipl-cornerstone-by-eipl-in-puppalaguda
398444,https://housing.com/in/buy/projects/page/285349-radiance-flourish-by-radiance-realty-developers-india-ltd-in-tiruvottiyur
398586,https://housing.com/in/buy/projects/page/288142-ceratec-presidential-towers-by-ceratec-group-in-ravet
398743,https://housing.com/in/buy/projects/page/292372-nahar-grandeur-by-nahar-foundations-pvt-ltd-in-sholinganallur
398757,https://housing.com/in/buy/projects/page/292301-trendsquares-ortus-3-by-trendsquare-constructions-in-amrutahalli
