XID,Project Name,City,Housing.com Link
r4398,Kashish Manor One,Gurgaon,https://housing.com/in/buy/projects/page/346-kashish-manor-one-by-kashish-developers-pvt-ltd-in-sector-111
r425850,Gajanan Royal Bungalows,Ahmedabad East,https://housing.com/buy-gajanan-royal-bunglows-by-vishv-developers-in-vatva-ahmedabad-pid-317813
r428620,Shivaay Infinity,Vadodara,https://housing.com/buy-shivaay-infinity-by-shivaay-group-in-haripura-vadodara-pid-321947
r275677,Royal Kalpataru,Coimbatore,https://housing.com/buy-royal-kalpataru-phase-i-by-royal-shelter-in-ganapathy-coimbatore-pid-295623
r398549,DN Fairytale Extension,Bhubaneswar,https://housing.com/buy-dn-fairytale-extension-by-dnhomes-in-madanpur-bhubaneswar-pid-314276
r428300,Adore The Select Premia,Gurgaon,https://housing.com/in/buy/projects/page/323046-adore-the-select-premia-by-adore-realtech-in-sector-77
r434888,Rudraksh Towers,Central Mumbai,https://housing.com/in/buy/projects/page/329114-avs-rudraksh-towers-by-avs-housing-and-construction-llp-in-bhandup-west
r265243,Suraj The Palette,South Mumbai,https://housing.com/in/buy/projects/page/39373-suraj-palette-by-suraj-estate-developers-pvt-ltd-in-dadar-west
r268533,ARG Ananta Westway,Jaipur,https://housing.com/buy-arg-ananta-westway-heights-by-arg-group-in-narayan-vihar-jaipur-rajasthan-pid-124197
r425801,Advait,Nasik,https://housing.com/buy-ananda-advait-by-ananda-developers-in-hirawadi-nashik-pid-319198
r386092,9 PBR,Navi Mumbai,https://housing.com/in/buy/projects/page/285772-9-pbr-by-9-pbr-in-seawoods
r273879,Arihant Abode,Greater Noida,https://housing.com/in/buy/projects/page/49682-arihant-abode-by-arihant-group-in-noida-extension
r413714,Kolte 24K Manor,Pune West,https://housing.com/in/buy/projects/page/312895-kolte-patil-24k-manor-by-koltepatil-developers-in-pimple-nilakh
r74427,Atmosphere O2,Central Mumbai,https://housing.com/in/buy/projects/page/144179-wadhwa-atmosphere-phase-2-by-the-wadhwa-group-in-mulund-west
r414839,Patteeswarar Paradise Magizham,Coimbatore,https://housing.com/buy-patteeswarar-paradise-magizham-by-patteeswara-developers-india-pvt-ltd-in-singanallur-coimbatore-pid-306348
r334015,Conscient Elevate,Gurgaon,https://housing.com/in/buy/projects/page/199121-conscient-hines-elevate-by-conscient-infrastructure-in-sector-59
r306221,JRC Palladio,Bangalore East,https://housing.com/in/buy/projects/page/144730-jrc-palladio-by-jrc-projects-pvt-ltd-in-sarjapur
r125349,Modi Golden County Annexe,Secunderabad,https://housing.com/in/buy/projects/page/201798-modi-golden-county-annexe-by-modi-builders-in-rampally
r396698,Mars Planet,Bangalore South,https://housing.com/in/buy/projects/page/283051-mars-planet-by-mars-builders-in-hosakerehalli
