XID,Project Name,City,Magicbricks.com Link
r429359,Tulive Grandezza,Chennai West,https://www.magicbricks.com/property-for-sale-in-padi-chennai-pppfs
r344265,Shriram Sunshine 2,Hooghly,https://www.magicbricks.com/shriram-sunshine-one-uttarpara-kolkata-pdpid-4d4235313332363035
r386817,Shevi Utopia Gold,Pune North,https://www.magicbricks.com/shevi-utopia-gold-moshi-pune-pdpid-4d4235333334353437
r434656,Roseate Roots,Ahmedabad West,Not Found
r427302,Ratnam Opal,Ahmedabad North,https://www.magicbricks.com/project-ratnam-panorama-for-rent-in-ahmedabad-pppfr
r411500,Shapoorji Pallonji The Odyssey 1,South Mumbai,https://www.magicbricks.com/shapoorji-pallonji-the-odyssey-1-girgaon-mumbai-pdpid-4d4235343234333835
r322869,Anantnath And Forever City,Thane Outskirts,https://www.magicbricks.com/and-forever-city-diva-thane-pdpid-4d4235303932383238
r426337,M Soul Strings,Pune West,https://www.magicbricks.com/malpani-m-soul-strings-pashan-pune-pdpid-4d4235343231313931
r270000,Eureka Park By Tata Value Homes,Noida,https://www.magicbricks.com/tata-eureka-park-sector-150-noida-pdpid-4d4235313235363339
r424359,Kohinoor Uptown Avenue,Pune West,Not Found
r345843,Leverage Greenwoods Unity,Nagpur,https://www.magicbricks.com/leverage-greenwoods-unity-pipla-nagpur-pdpid-4d4235333932313235
r329969,Swargaseema Sirulaseema I,Hyderabad,Not Found
r390243,KCB Solace,Kolkata East,https://www.magicbricks.com/project-kcb-solace-for-rent-in-kolkata-pppfr
r407293,Primark Inspira,Hyderabad,https://www.magicbricks.com/primark-inspira-miyapur-hyderabad-pdpid-4d4235343133343037
r416812,Siddha Serena,Kolkata East,https://www.magicbricks.com/project-siddha-serena-for-sale-in-kolkata-pppfs
r407622,Airport Sky City,Kolkata North,Not Found
r400423,Vaanya,Kolkata East,https://www.magicbricks.com/project-ps-vaanya-3bhk-for-sale-in-kolkata-pppfs
r379731,Loharuka Green Heights Phase 2,Kolkata East,https://www.magicbricks.com/project-green-heights-ii-for-sale-in-kolkata-pppfs
r421695,Sunniva Legacy,Kolkata South,Not Found
r402373,One Meraki,Central Mumbai,https://www.magicbricks.com/one-meraki-chembur-mumbai-pdpid-4d4235333936353831
r28336,Max Heiights Majestic,Jaipur,https://www.magicbricks.com/max-heiights-majestic-sikar-road-jaipur-pdpid-4d4235303233343730
r371509,K City,Pune East,https://www.magicbricks.com/project-unique-k-city-for-sale-in-pune-pppfs
