XID,Project Name,City,Builder website,Project Page (Not CP),magicbricks.com link,Magic Bricks Phase 2,Magic Bricks Phase 3,Magic Bricks Phase 4,housing.com link,Housing Phase 2,Housing Phase 3,Housing Phase 4,squareyards.com link,Square Yards  Phase 2,Square Yards  Phase 3,Square Yards  Phase 4,Other phase XID on 99acres
383552,Lotus Grand,Hyderabad,NA,,https://www.magicbricks.com/lotus-grand-kokapet-hyderabad-pdpid-4d4235333736393639,,,,https://housing.com/in/buy/projects/page/269445-lotus-grand-by-lotus-projects-in-kokapet,,,,https://www.squareyards.com/hyderabad-residential-property/lotus-grand/177332/project,,,,
414538,ASBL Loft,Hyderabad,https://www.squareyards.com/hyderabad-residential-property/asbl-loft/230374/project,,https://www.magicbricks.com/asbl-loft-puppalaguda-hyderabad-pdpid-4d4235343136373935,,,,https://housing.com/in/buy/projects/page/305791-asbl-loft-by-ashoka-builders-india-private-limited-in-financial-district,,,,https://www.squareyards.com/hyderabad-residential-property/asbl-loft/230374/project,,,,
411351,Krishna Bai Residency,Hyderabad,NA,,https://www.magicbricks.com/krishna-bai-residency-boduppal-hyderabad-pdpid-4d4235333836303333,,,,https://housing.com/in/buy/projects/page/289675-krishna-bai-residency-by-shiva-krishna-constructions-in-peerzadiguda,,,,https://www.squareyards.com/hyderabad-residential-property/shiva-krishna-bai-residency/213228/project,,,,
385165,Sukhii Ubuntu,Hyderabad,https://www.sukhiiubuntu.com/,,https://www.magicbricks.com/sukhii-ubuntu-puppalaguda-hyderabad-pdpid-4d4235333236313131,,,,https://housing.com/in/buy/projects/page/269438-sukhii-ubuntu-by-sukhii-group-in-financial-district,,,,https://www.squareyards.com/hyderabad-residential-property/sukhii-ubuntu/110361/project,,,,
433770,Jain Pramukh Samriddhi Towers,Hyderabad,https://samriddhitowers.in/,,https://www.magicbricks.com/jain-pramukh-samriddhi-towers-satamrai-hyderabad-pdpid-4d4235343234313333,,,,https://housing.com/in/buy/projects/page/329185-jain-pramukh-samriddhi-towers-by-jain-construction-in-shamshabad,,,,https://www.squareyards.com/hyderabad-residential-property/jain-pramukh-samriddhi-towers/308475/project,,,,
351267,Nirmal Landmark,Hyderabad,https://nirmalshelters.com/project/nirmal-landmark/,,https://www.magicbricks.com/nirmal-landmark-ramanthapur-hyderabad-pdpid-4d4235323931343635,,,,https://housing.com/in/buy/projects/page/231481-nirmal-landmark-by-nirmal-shelters-p-ltd-in-ramanthapur,,,,https://www.squareyards.com/hyderabad-residential-property/nirmal-landmark/152085/project,,,,
347957,Indis Viva City,Hyderabad,https://indis.co.in/projects/viva-city,,https://www.magicbricks.com/indis-viva-city-kondapur-hyderabad-pdpid-4d4235313332313933,,,,https://housing.com/in/buy/projects/page/279835-viva-city-by-indis-in-nallagandla,,,,https://www.squareyards.com/hyderabad-residential-property/indis-viva-city/29754/project,,,,
381477,THE ANANDA,Hyderabad,https://anandahomes.co.in/view-all-project/,,https://www.magicbricks.com/sahasram-the-ananda-pocharam-hyderabad-pdpid-4d4235333235373331,,,,https://housing.com/in/buy/projects/page/267609-the-ananda-by-sahasram-developers-llp-in-pocharam-secunderabad,,,,https://www.squareyards.com/hyderabad-residential-property/sahasram-the-ananda/160659/project,,,,
402868,Prestige Clairemont,Hyderabad,https://www.prestigeconstructions.com/residential-projects/hyderabad/prestige-clairemont,,https://www.magicbricks.com/prestige-clairemont-kokapet-hyderabad-pdpid-4d4235343139313033,,,,https://housing.com/in/buy/projects/page/291802-prestige-clairemont-by-prestige-estates-projects-ltd-in-kokapet,,,,https://www.squareyards.com/hyderabad-residential-property/prestige-clairemont/213242/project,,,,
419876,Wave by Raghava,Hyderabad,https://raghavawave.com/,,https://www.magicbricks.com/ventura-wave-kollur-hyderabad-pdpid-4d4235343138353939,,,,https://housing.com/in/buy/projects/page/310489-wave-by-raghava-by-raghava-projects-in-tellapur,,,,https://www.squareyards.com/hyderabad-residential-property/raghava-wave/236845/project,,,,
377839,Vasavi Metropolis,Hyderabad,https://thevasavigroup.com/projects/2-bhk-apartments-for-sale-in-hyderabad/,,https://www.magicbricks.com/vasavi-metropolis-uppal-hyderabad-pdpid-4d4235323734303539,,,,https://housing.com/in/buy/projects/page/264528-vasavi-metropolis-by-vasavi-group-in-uppal/brochure,,,,https://www.squareyards.com/hyderabad-residential-property/vasavi-metropolis/109727/project,,,,
420989,Lansum Elena,Hyderabad,https://lansumelenakokapet.com/,,https://www.magicbricks.com/lansum-elena-kokapet-hyderabad-pdpid-4d4235343138373339,,,,https://housing.com/in/buy/projects/page/313195-lansum-elena-residences-by-lansum-enpoint-developers-llp-in-kokapet,,,,https://www.squareyards.com/hyderabad-residential-property/lansum-elena/239534/project,,,,
430237,Vrindavan by Namishree,Hyderabad,https://namishree.com/projects/vrindavan/,,https://www.magicbricks.com/vrindavan-kondapur-hyderabad-pdpid-4d4235343234343535,,,,https://housing.com/in/buy/projects/page/329574-vrindavan-by-namishree-infrastructure-and-project-pvt-ltd-in-serilingampally,,,,https://www.squareyards.com/hyderabad-residential-property/namishree-vrindavan/307988/project,,,,
371065,Brigade Citadel,Hyderabad,https://www.brigadegroup.com/residential/projects/hyderabad/brigade-citadel,,https://www.magicbricks.com/brigade-citadel-moti-nagar-hyderabad-pdpid-4d4235323239343039,,,,https://housing.com/in/buy/projects/page/252587-brigade-citadel-by-brigade-enterprises-ltd-in-borabanda,,,,https://www.squareyards.com/hyderabad-residential-property/brigade-citadel/102263/project,,,,
369872,Primark De Stature,Hyderabad,https://primarkprojects.in/destature/,,https://www.magicbricks.com/primarks-destature-bahadurpally-hyderabad-pdpid-4d4235323234333037,,,,https://housing.com/in/buy/projects/page/253956-primark-de-stature-by-primark-developers-in-bahadurpally,,,,https://www.squareyards.com/hyderabad-residential-property/primark-de-stature/112482/project,,,,
271087,Devaloke Sonar City,Kolkata,NA,http://devalokesonarcity.com/,https://www.magicbricks.com/devaloke-sonar-city-garia-kolkata-pdpid-4d4235303931303938,,,,https://housing.com/buy-devaloke-sonar-city-phase-i-by-devaloke-builders-in-narendrapur-kolkata-pid-48003,https://housing.com/buy-devaloke-sonarcity-phase-ii-by-devaloke-builders-in-narendrapur-kolkata-pid-225959,,,https://www.squareyards.com/kolkata-residential-property/devaloke-sonar-city/223226/project,,,,
345245,Alcove New Kolkata Sangam,Kolkata,https://www.alcoverealty.in/residential-commercial-projects,https://www.newkolkata.in/sangam-residential-flat,https://www.magicbricks.com/alcove-new-kolkata-sangam-serampore-kolkata-pdpid-4d4235313238393235,,,,https://housing.com/buy-new-kolkata-sangam-by-alcove-realty-in-serampore-kolkata-pid-253185,,,,https://www.squareyards.com/kolkata-residential-property/alcove-new-kolkata-sangam/111379/project,,,,
387923,Sanctuary,Kolkata,NA,https://sanctuarykolkata.com/,https://www.magicbricks.com/sanctuary-tollygunge-kolkata-pdpid-4d4235333237313233,,,,https://housing.com/buy-sanctuary-by-belani-npr-sriji-group-in-tollygunge-kolkata-pid-274305,,,,https://www.squareyards.com/kolkata-residential-property/belani-sanctuary/133055/project,,,,
319245,Solaris City Serampore,Kolkata,https://edenrealtygroup.com/project/solaris-city-serampore/,NA,https://www.magicbricks.com/eden-solaris-city-serampore-serampore-kolkata-pdpid-4d4235313332393133,,,,https://housing.com/buy-solaris-city-serampore-by-eden-realty-group-in-serampore-kolkata-pid-128595,,,,https://www.squareyards.com/kolkata-residential-property/eden-solaris-city-serampore/112372/project,,,,
396980,Atri Rays,Kolkata,https://atrigroup.in/atri-rays/,NA,https://www.magicbricks.com/atri-rays-narendrapur-kolkata-pdpid-4d4235333336383835,,,,https://housing.com/buy-atri-rays-by-atri-group-in-narendrapur-kolkata-pid-286641,,,,https://www.squareyards.com/kolkata-residential-property/atri-rays/247319/project,,,,
415825,Purti The Varanda,Kolkata,https://www.purtirealty.com/projects/the-varanda/,https://thevaranda.in/,https://www.magicbricks.com/purti-the-varanda-lake-town-kolkata-pdpid-4d4235343137333339,,,,https://housing.com/buy-the-varanda-by-purti-npr-developers-llp-in-lake-town-kolkata-pid-285021,,,,https://www.squareyards.com/kolkata-residential-property/purti-the-varanda/231906/project,,,,
389216,Sureka Sunrise Aura,Kolkata,https://www.sunriseaura.com/,NA,https://www.magicbricks.com/sureka-sunrise-aura-southern-bypass-kolkata-pdpid-4d4235333331333531,,,,https://housing.com/buy-sunrise-aura-by-sureka-properties-in-rajpur-kolkata-pid-275734,,,,https://www.squareyards.com/kolkata-residential-property/sureka-sunrise-aura/192544/project,,,,
400423,Vaanya,Kolkata,https://psgroup.in/Vaanya?utm_source=GMB&utm_medium=organic&utm_campaign=vaanya-gmb,NA,https://www.magicbricks.com/ps-vaanya-new-town-kolkata-pdpid-4d4235333635383133,,,,https://housing.com/buy-vaanya-by-ps-group-in-new-town-kolkata-pid-282904,,,,https://www.squareyards.com/kolkata-residential-property/ps-vaanya/211024/project,,,,
379731,Loharuka Green Heights Phase 2,Kolkata,https://loharukagroup.com/cpt_project/green-height-ii/,NA,https://www.magicbricks.com/green-heights-rajarhat-kolkata-pdpid-4d4235303030373534,,,,https://housing.com/buy-loharuka-green-heights-2-by-loharuka-group-in-rajarhat-kolkata-pid-276491,,,,https://www.squareyards.com/kolkata-residential-property/loharuka-green-heights-ii/112732/project,,,,
382236,Merlin Rise,Kolkata,https://www.merlinrise.com/?utm_source=google&utm_medium=GMB&campaign_code=RR_GOGL_GMB&utm_phone=913368091155,NA,https://www.magicbricks.com/merlin-rise-sports-republic-phase-1-a-rajarhat-kolkata-pdpid-4d4235343136313939,,,,https://housing.com/buy-merlin-rise-by-merlin-group-in-rajarhat-kolkata-pid-267126,,,,https://www.squareyards.com/kolkata-residential-property/merlin-rise/115420/project,,,,
353990,Gurukul Heights,Kolkata,https://www.gurukulheights.org.in/,NA,https://www.magicbricks.com/gurukul-heights-new-town-kolkata-pdpid-4d4235313834383637,,,,https://housing.com/buy-gurukul-heights-phase-1-by-gurukul-homes-private-limited-in-new-town-kolkata-pid-232930,,,,https://www.squareyards.com/kolkata-residential-property/gurukul-heights/223244/project,,,,
62053,Mounthill Essence,Kolkata,https://mounthillessence.com/,NA,https://www.magicbricks.com/mounthill-essence-rajarhat-kolkata-pdpid-4d4235303230333338,,,,https://housing.com/buy-essence-by-mounthill-realty-pvt-ltd-in-rajarhat-kolkata-pid-279093,,,,https://www.squareyards.com/kolkata-residential-property/mounthill-essence/4989/project,,,,
434593,Rechi Anandi View,Kolkata,https://rechiconstruction.in/projects/view/2,NA,https://www.magicbricks.com/anandi-view-rajarhat-kolkata-pdpid-4d4235343234393639,,,,https://housing.com/buy-anandi-view-by-rechi-construction-private-limited-in-rajarhat-kolkata-pid-330831,,,,https://rechi-anandi-view.mavenoak.in/,,,,
120709,Siddha Sky,Kolkata,https://www.siddhagroup.com/projects/siddha-sky/,NA,https://www.magicbricks.com/siddha-sky-em-bypass-kolkata-pdpid-4d4235313030363333,,,,https://housing.com/buy-siddha-sky-by-siddha-group-in-tangra-kolkata-pid-36291,,,,https://www.squareyards.com/kolkata-residential-property/siddha-sky-howrah/13630/project,,,,
303401,PS Jiva,Kolkata,https://psgroup.in/Jiva?utm_source=GMB&utm_medium=organic&utm_campaign=jiva-gmb,NA,https://www.magicbricks.com/ps-jiva-homes-phool-bagan-kolkata-pdpid-4d4235313135303537,,,,https://housing.com/buy-ps-jiva-homes-by-ps-group-in-tangra-kolkata-pid-95660,,,,https://www.squareyards.com/kolkata-residential-property/ps-jiva/112256/project,,,,
377050,Benchmark Aspire,Kolkata,https://benchmark-developers.com/aspire/,NA,https://www.magicbricks.com/benchmark-aspire-salt-lake-city-kolkata-pdpid-4d4235333236333231,,,,https://housing.com/buy-benchmark-aspire-by-benchmark-developers-in-dhapa-kolkata-pid-257771,,,,https://www.squareyards.com/kolkata-residential-property/benchmark-aspire/192259/project,,,,
425392,Realmark Amora,Kolkata,https://realmarkamora.in/,NA,https://www.magicbricks.com/amora-tollygunge-kolkata-pdpid-4d4235343230373437,,,,https://housing.com/buy-realmark-amora-by-realmark-realty-pvt-ltd-in-tollygunge-kolkata-pid-319178,,,,https://www.squareyards.com/kolkata-residential-property/realmark-amora/247025/project,,,,
404561,Etha Su Casa Valley,Kolkata,https://www.sucasavalley.in/,NA,https://www.magicbricks.com/etha-su-casa-valley-rajpur-kolkata-pdpid-4d4235333932323837,,,,https://housing.com/buy-etha-su-casa-valley-by-etha-realty-pvt-ltd-in-narendrapur-kolkata-pid-294777,,,,https://www.squareyards.com/kolkata-residential-property/etha-su-casa-royal/111402/project,,,,
383945,Eden Willow Estate,Kolkata,https://edengroup.in/projects/eden-willow-estate/,NA,https://www.magicbricks.com/eden-willow-estate-sonarpur-kolkata-pdpid-4d4235333935323435,,,,https://housing.com/buy-eden-willow-estate-by-eden-group-in-narendrapur-kolkata-pid-271748,,,,https://www.squareyards.com/kolkata-residential-property/eden-willow-estate/175210/project,,,,
429477,Vishnupriya,Kolkata,https://vishnupriya.mavenoak.in/,NA,https://www.magicbricks.com/vishnu-priya-tollygunge-kolkata-pdpid-4d4235343231323637,,,,https://housing.com/buy-vishnu-priya-by-moonraker-construction-pvt-ltd-in-tollygunge-kolkata-pid-320265,,,,https://www.squareyards.com/kolkata-residential-property/vishnu-priya/251012/project,,,,
435926,Godrej Blue,Kolkata,https://www.godrejproperties.com/kolkata/residential/godrej-blue,NA,https://www.magicbricks.com/godrej-blue-new-alipore-kolkata-pdpid-4d4235343235323333,,,,https://housing.com/buy-godrej-blue-by-godrej-properties-ltd-in-tollygunge-kolkata-pid-326062,,,,https://www.squareyards.com/kolkata-residential-property/godrej-blue/324353/project,,,,
429365,Vindhya Primrose,Kolkata,http://www.vindhyaprimrose.in/,NA,https://www.magicbricks.com/vindhya-primrose-rajpur-kolkata-pdpid-4d4235333933383837,,,,https://housing.com/buy-vindhya-primrose-by-vindhya-realty-in-narendrapur-kolkata-pid-299365,,,,https://www.squareyards.com/kolkata-residential-property/vindhya-primrose/250198/project,,,,
24280,Runwal Forests,Mumbai,https://runwalenterprises.com/residential-projects/forests.php,NA,https://www.magicbricks.com/runwal-forests-kanjurmarg-west-mumbai-pdpid-4d4235303238383430,,,,https://housing.com/in/buy/projects/page/51652-runwal-forests-tower-9-to-11-by-runwal-group-in-kanjurmarg-west,,,,https://www.squareyards.com/mumbai-residential-property/runwal-forests/2782/project,,,,
317985,The Icon by Risland,Mumbai Thane,https://www.rislandindia.com/indiaprojects/theicon.php,NA,https://www.magicbricks.com/the-icon-by-risland-dhokali-thane-pdpid-4d4235313339373033,,,,https://housing.com/in/buy/projects/page/256006-risland-the-icon-by-risland-in-thane-west,,,,https://www.squareyards.com/thane-residential-property/risland-the-icon/189391/project,https://www.squareyards.com/thane-residential-property/risland-the-icon-phase-1/10993/project,https://www.squareyards.com/thane-residential-property/risland-the-icon-phase-2/103576/project,https://www.squareyards.com/thane-residential-property/risland-the-icon-phase-3/113358/project,
382144,Lodha Codename Premier,Mumbai Thane,NA,NA,https://www.magicbricks.com/lodha-codename-premier-dombivli-east-beyond-thane-pdpid-4d4235333139353333,,,,https://housing.com/in/buy/projects/page/123213-lodha-lodha-codename-premier-lodha-palava-by-lodha-group-in-dombivli-east,,,,https://www.squareyards.com/thane-residential-property/lodha-codename-premier/118886/project,,,,
385201,Ajmera Manhattan,Mumbai,NA,https://ajmeramanhattan.com/,https://www.magicbricks.com/ajmera-manhattan-wadala-mumbai-pdpid-4d4235333235393037,,,,https://housing.com/in/buy/projects/page/272069-ajmera-manhattan-by-ajmera-group-in-wadala,,,,https://www.squareyards.com/mumbai-residential-property/ajmera-manhattan/123665/project,,,,
418615,Edmont Aurelia,Mumbai,https://www.ashwinshethgroup.com/portfolio-items/edmont/,NA,https://www.magicbricks.com/ashwin-sheth-edmont-aurelia-kandivali-west-mumbai-pdpid-4d4235343137373835,,,,https://housing.com/in/buy/projects/page/310525-edmont-aurelia-by-ashwin-sheth-group-in-kandivali-west,,,,https://www.squareyards.com/mumbai-residential-property/sheth-edmont-aurelia/234701/project,,,,
71855,The Prestige City,Mumbai,https://www.prestigeconstructions.com/residential-projects/mumbai/the-prestige-city-mulund,NA,https://www.magicbricks.com/the-prestige-city-mulund-west-mumbai-pdpid-4d4235333332363837,https://www.magicbricks.com/bellanza-phase-1-wing-a-b-c-at-the-prestige-city-mulund-west-mumbai-pdpid-4d4235333332333531,,,https://housing.com/in/buy/projects/page/333757-the-prestige-city-by-prestige-estates-projects-ltd-in-mulund-west,https://housing.com/in/buy/projects/page/277667-prestige-bellanza-phase-1-wing-a-b-c-at-the-prestige-city-by-prestige-estates-projects-ltd-in-mulund-west,https://housing.com/in/buy/projects/page/283090-prestige-bellanza-phase-2-wing-d-e-f-at-the-prestige-city-by-prestige-estates-projects-ltd-in-mulund-west,,https://www.squareyards.com/mumbai-residential-property/the-prestige-city/152232/project,,,,
389667,Godrej Ascend,Mumbai Thane,https://www.godrejproperties.com/mumbai/residential/godrej-ascend,NA,https://www.magicbricks.com/godrej-ascend-kolshet-road-thane-pdpid-4d4235333331393031,,,,https://housing.com/in/buy/projects/page/276465-godrej-ascend-by-godrej-properties-ltd-in-kolshet,,,,https://www.squareyards.com/thane-residential-property/godrej-ascend/149018/project,,,,
417100,Lodha Riservo,Mumbai,https://www.lodhagroup.com/projects/residential-property-in-mumbai/lodha-riservo-vikhroli,NA,https://www.magicbricks.com/lodha-riservo-vikhroli-west-mumbai-pdpid-4d4235343230353639,,,,https://housing.com/in/buy/projects/page/309558-lodha-riservo-by-lodha-group-in-vikhroli-east,,,,https://www.squareyards.com/mumbai-residential-property/lodha-riservo/234355/project,,,,
419935,Vista Residences,Mumbai,https://avagroup.in/projects/vista,0,https://www.magicbricks.com/id-vista-residences-goregaon-west-mumbai-pdpid-4d4235343138313333,,,,https://housing.com/in/buy/projects/page/325235-hiranandani-vista-residences-by-hiranandani-communities-in-jogeshwari-west,https://housing.com/in/buy/projects/page/311111-vista-residences-wing-d-tower-3-by-hiranandani-communities-in-andheri-west,,,https://www.squareyards.com/mumbai-residential-property/hiranandani-vista-residences/237277/project,,,,
237262,Piramal Vaikunth,Mumbai Thane,https://www.piramalrealty.com/project-vaikunth,NA,https://www.magicbricks.com/piramal-vaikunth-balkum-village-thane-pdpid-4d4235303835313332,,,,https://housing.com/in/buy/projects/page/34666-piramal-vaikunth-thane-by-piramal-realty-in-thane-west,https://housing.com/in/buy/projects/page/33333-piramal-vaikunth-cluster-2-by-piramal-realty-in-thane-west,https://housing.com/in/buy/projects/page/230462-piramal-vaikunth-cluster-3-t1-by-piramal-realty-in-thane-west,https://housing.com/in/buy/projects/page/51644-piramal-vaikunth-cluster-4a-by-piramal-realty-in-thane-west,https://www.squareyards.com/thane-residential-property/piramal-vaikunth/8307/project,https://www.squareyards.com/thane-residential-property/piramal-vaikunth-phase-ii/8417/project,https://www.squareyards.com/thane-residential-property/piramal-vaikunth-vraj/100565/project,https://www.squareyards.com/thane-residential-property/piramal-vaikunth-vairat/10331/project,
431532,Kalpataru Advay,Mumbai,https://www.kalpataru.com/mumbai/kalpataru-advay,NA,https://www.magicbricks.com/kalpataru-advay-borivali-west-mumbai-pdpid-4d4235343232383333,,,,https://housing.com/in/buy/projects/page/328657-kalpataru-advay-by-kalpataru-group-in-borivali-west,,,,https://housing.com/in/buy/projects/page/328657-kalpataru-advay-by-kalpataru-group-in-borivali-west,,,,
431064,Forest Hills at The Prestige City,Mumbai,https://www.prestigeconstructions.com/residential-projects/mumbai/the-prestige-city-mulund/forest-hills,NA,https://www.magicbricks.com/prestige-forest-hills-mulund-west-mumbai-pdpid-4d4235343233303831,,,,https://housing.com/in/buy/projects/page/329343-forest-hills-ph-1-at-the-prestige-city-by-prestige-estates-projects-ltd-in-mulund-west,,,,https://www.squareyards.com/mumbai-residential-property/the-prestige-city/152232/project,,,,
422558,Godrej Reserve,Mumbai,https://www.godrejproperties.com/mumbai/residential/godrej-reserve,NA,https://www.magicbricks.com/godrej-reserve-kandivali-east-mumbai-pdpid-4d4235343139303931,,,,https://housing.com/in/buy/projects/page/315509-godrej-reserve-by-godrej-properties-ltd-in-kandivali-east,https://housing.com/in/buy/projects/page/315500-godrej-reserve-wing-1-by-godrej-properties-ltd-in-kandivali-east,,,https://www.squareyards.com/mumbai-residential-property/godrej-reserve-kandivali/243614/project,,,,
270475,Transcon Triumph,Mumbai,https://www.transcon.in/residential/ongoing-projects,NA,https://www.magicbricks.com/transcon-triumph-andheri-west-mumbai-pdpid-4d4235303838383334,https://www.magicbricks.com/transcon-triumph-tower-3-andheri-west-mumbai-pdpid-4d4235323330303037,https://www.magicbricks.com/transcon-triumph-tower-4-andheri-west-mumbai-pdpid-4d4235333331383937,,https://housing.com/in/buy/projects/page/254772-transcon-triumph-by-transcon-developers-private-limited-in-andheri-west,,,,https://www.squareyards.com/mumbai-residential-property/transcon-triumph-tower/26866/project,https://www.squareyards.com/mumbai-residential-property/transcon-triumph-tower-3/102847/project,https://www.squareyards.com/mumbai-residential-property/transcon-triumph-tower-2/111961/project,,
430897,Satra Nexus,Mumbai,https://satranexus.satracorp.in/,NA,https://www.magicbricks.com/satra-nexus-jogeshwari-east-mumbai-pdpid-4d4235343232363331,,,,https://housing.com/in/buy/projects/page/328245-satra-nexus-by-satra-corp-in-jogeshwari-east,,,,https://www.squareyards.com/mumbai-residential-property/satra-nexus/307146/project,,,,
