XID,Project Name,City,Housiing.com Link
R8022,Akshar Valencia,Navi Mumbai,https://housing.com/in/buy/projects/page/1613-akshar-valencia-by-akshar-developers-in-kalamboli
R72725,Salarpuria Sattva Cadenza,Bangalore South,https://housing.com/in/buy/projects/page/12856-sattva-cadenza-by-sattva-group-in-kudlu-gate
R419636,Sagar Sangeet Adityaraj Paradise,Central Mumbai,https://housing.com/in/buy/projects/page/315780-adityaraj-sagar-sangeet-chs-adityaraj-paradise-by-adityaraj-builders-in-vikhroli-east
R371084,Candeur 40,Hyderabad,https://housing.com/in/buy/projects/page/252583-candeur-40-by-candeur-developers-in-miyapur
R53668,Skyline Ivy League,Kochi,https://housing.com/rent-skyline-sylvania-for-rent-in-kakkanad-kochi-rpid-AG4k9qAH0
R421515,SRV Amulyam,Mohali,https://housing.com/in/buy/projects/page/314265-arora-amulyam-by-arora-land-corp-in-kurali
R280589,Divya Shree Abhishek CHSL,Western Mumbai,https://housing.com/in/buy/projects/page/102557-divya-shree-abhishek-chsl-wing-a-and-b-by-divya-enterprises-ltd-in-kandivali-west
R421369,Raheja Galaxy,Pune South,https://housing.com/in/buy/projects/page/313220-k-raheja-t2-named-constella-of-raheja-galaxy-in-rv-premiere-by-k-raheja-corp-in-mohammed-wadi
R60161,Embassy Springs,Bangalore North,https://housing.com/in/buy/projects/page/335107-embassy-springs-by-embassy-group-in-navarathna-agrahara
R5546,Akshaya Today,Chennai South,https://housing.com/in/buy/projects/page/96227-akshaya-orlando-phase-i-by-akshaya-homes-in-kelambakkam
R2502,Imperial Heights,Western Mumbai,https://housing.com/in/buy/projects/page/103112-radius-imperial-heights-wing-c-and-d-by-radius-developers-in-goregaon-west
R156047,Priyanka Utkarsh,Navi Mumbai,https://housing.com/in/buy/projects/page/3802-priyanka-priyanka-utkarsh-by-priyanka-regency-builders-developers-pvt-ltd-in-ulwe
R27722,Hill Shire,Pune East,https://housing.com/in/buy/guardian-hill-shire-for-resale-in-wagholi-pune-AG1zeAH0
R246097,Pushpak Society,Chandigarh,https://housing.com/in/buy/projects/page/249096-pushpak-society-by-reputed-builder-in-sector-49
R367050,West Wing Skyville,Ahmedabad West,https://housing.com/buy-west-wing-skyville-by-west-wing-infrastructure-in-shela-ahmedabad-pid-235419
R6762,Gulmohar Notting Hill,Pune South,https://housing.com/in/buy/projects/page/26208-gulmohar-notting-hill-by-gulmohar-builders-in-nibm
R12230,Bestech Park View City 2,Gurgaon,https://housing.com/in/buy/bestech-park-view-city-1-for-resale-in-sector-48-gurgaon-AG1tvsAH0
R280039,Bafana Aloha Towers,Pune West,https://housing.com/in/buy/bafana-aloha-towers-for-resale-in-baner-pune-AG21n7AH0
R374375,Sheth 72 West,Western Mumbai,https://housing.com/in/buy/projects/page/254517-sheth-72-west-by-sheth-builder-and-developers-in-andheri-west
R383069,Maa Sharda Green City,Lucknow,https://housing.com/buy-dhanaakanksha-maa-sharda-city-by-dhanaakanksha-infradevelopers-pvt-ltd-in-sarojini-nagar-lucknow-pid-249490
R14508,Shanti Green Palms,Navi Mumbai,https://housing.com/in/buy/projects/page/151206-shanti-green-palms-by-shanti-enterprise-mumbai-in-ghansoli
