XID,Project Name,City,Housing.com Link
R393086,Times 104,Ahmedabad West,https://housing.com/buy-times-104-by-times-infrabuild-llp-in-bodakdev-ahmedabad-pid-278759
R393375,DG Sheetal Usha and Nisha,Western Mumbai,https://housing.com/in/buy/projects/page/288169-dgs-sheetal-usha-by-dgs-group-in-malad-west
R393379,Codename The Gateway,Navi Mumbai,https://housing.com/in/buy/projects/page/42998-lodha-codename-hidden-jewel-by-lodha-group-in-parel
R393393,Sahjanand Safal,Gandhinagar,https://housing.com/buy-sahjanand-safal-by-sahjanand-group-in-uvarsad-gandhinagar-gujarat-pid-313016
R393562,Polaris Casarica,Gandhinagar,https://housing.com/buy-polaris-casarica-by-polaris-buildcon-llp-in-sargasan-gandhinagar-gujarat-pid-281094
R393707,Integrated Ramicon,Western Mumbai,https://housing.com/in/buy/projects/page/333290-integrated-ramicon-by-integrated-spaces-limited-in-goregaon-west
R394019,Mohan Precious Greens,Thane Outskirts,https://housing.com/in/buy/projects/page/284918-mohan-precious-greens-phase-i-by-mohan-group-in-ambernath-east
R394273,Platinum Parksyde,Navi Mumbai,https://housing.com/in/buy/projects/page/308638-palacio-platinum-parksyde-by-palacio-ventures-in-kharghar
R39434,Prajapati Magnum,Navi Mumbai,https://housing.com/in/buy/projects/page/81530-prajapati-magnum-phase-ii-by-prajapati-group-in-dronagiri
R394631,Altezza by The Palm,Gandhinagar,https://housing.com/buy-altezza-by-the-palm-in-sargasan-gandhinagar-gujarat-pid-291950
R394867,Lodha Marq,Mumbai South,https://housing.com/in/buy/projects/page/279698-lodha-marq-by-lodha-group-in-tardeo
R395132,Lodha Codename Evergreen,Central Mumbai,https://housing.com/in/buy/projects/page/314812-lodha-codename-evergreen-by-lodha-group-in-vikhroli-west
R395251,Vishwanath Sarathya West,Ahmedabad West,https://housing.com/buy-vishwanath-sarathya-west-resale-flats-in-shela-ahmedabad-srpid-AG5l3xAH0
R395921,Sheladia Divine,Ahmedabad West,https://housing.com/buy-sheladia-divine-by-sheladia-projects-in-shilaj-ahmedabad-pid-295861
