XID,Project Name,Unit Type,Area,Price
R429474,Merlion Orchids,2 BHK 1200 Sq. Ft. Apartment,1200 Sq. Ft.,Rs 67.20 Lac
R429474,Merlion Orchids,2 BHK 1255 Sq. Ft. Apartment,1255 Sq. Ft.,Rs 70.28 Lac
R429474,Merlion Orchids,3 BHK 1600 Sq. Ft. Apartment,1600 Sq. Ft.,Rs 89.60 Lac
R429474,Merlion Orchids,3 BHK 1950 Sq. Ft. Apartment,1950 Sq. Ft.,Rs 1.09 Cr
R398606,SB Temple Tree,2 BHK 1185 Sq. Ft. Apartment,1185 Sq. Ft.,Rs 1.48 Cr
R398606,SB Temple Tree,2 BHK 1635 Sq. Ft. Apartment,1635 Sq. Ft.,Rs 2.04 Cr
R398606,SB Temple Tree,3 BHK 1675 Sq. Ft. Apartment,1675 Sq. Ft.,Rs 2.09 Cr
R398606,SB Temple Tree,3 BHK 1760 Sq. Ft. Apartment,1760 Sq. Ft.,Rs 2.20 Cr
R429438,Hiranandavi Rodas Enclave Rosehill,3 BHK 1835 Sq. Ft. Apartment,1835 Sq. Ft.,Price on Request
R369336,Om Sree Brilliance,3 BHK 2130 Sq. Ft. Apartment,2130 Sq. Ft.,Rs 1.43 Cr
R369336,Om Sree Brilliance,3 BHK 2200 Sq. Ft. Apartment,2200 Sq. Ft.,Rs 1.47 Cr
R428449,Siva Capital Greens,2 BHK 1125 Sq. Ft. Apartment,1125 Sq. Ft.,Rs 45.00 Lac to 70.00 Lac
R428449,Siva Capital Greens,3 BHK 1750 Sq. Ft. Apartment,1750 Sq. Ft.,Rs 45.00 Lac to 70.00 Lac
R354918,Abhirama Super Homes,2 BHK 1439 Sq. Ft. Apartment,1439 Sq. Ft.,Rs 97.85 Lac
R354918,Abhirama Super Homes,3 BHK 1720 Sq. Ft. Apartment,1720 Sq. Ft.,Rs 1.17 Cr
R354918,Abhirama Super Homes,3 BHK 2491 Sq. Ft. Apartment,2491 Sq. Ft.,Rs 1.69 Cr
R390105,Urrban Riverscape,3 BHK 3256 Sq. Ft. Villa,3256 Sq. Ft.,Rs 4.56 Cr
R390105,Urrban Riverscape,3 BHK 3400 Sq. Ft. Villa,3400 Sq. Ft.,Rs 4.76 Cr
R390105,Urrban Riverscape,4 BHK 4826 Sq. Ft. Villa,4826 Sq. Ft.,Rs 6.76 Cr
R390105,Urrban Riverscape,4 BHK 4850 Sq. Ft. Villa,4850 Sq. Ft.,Rs 6.79 Cr
R322869,Anantnath And Forever City,1 BHK 391 Sq. Ft. Apartment,391 Sq. Ft.,Rs 37.77 L
R322869,Anantnath And Forever City,1 BHK 403 Sq. Ft. Apartment,403 Sq. Ft.,Rs 38.93 L
R322869,Anantnath And Forever City,2 BHK 495 Sq. Ft. Apartment,495 Sq. Ft.,Rs 47.82 L
R329969,Swargaseema Suketana,1800 Sq. Ft. Plot,1800 Sq. Ft.,Rs 14.40 Lac
R329969,Swargaseema Suketana,4800 Sq. Ft. Plot,4800 Sq. Ft.,Rs 38.40 Lac
R423416,Sree Urban Orchids,1 BHK 782 Sq. Ft. Apartment,782 Sq. Ft.,Rs 56.30 Lac
R423416,Sree Urban Orchids,2 BHK 1130 Sq. Ft. Apartment,1130 Sq. Ft.,Rs 81.36 Lac
R423416,Sree Urban Orchids,2 BHK 1265 Sq. Ft. Apartment,1265 Sq. Ft.,Rs 91.08 Lac
R423416,Sree Urban Orchids,3 BHK 1385 Sq. Ft. Apartment,1385 Sq. Ft.,Rs 99.72 Lac
R423416,Sree Urban Orchids,3 BHK 1864 Sq. Ft. Apartment,1864 Sq. Ft.,Rs 1.34 Cr
R420301,Tarc Kailasa,3 BHK 3440 Sq. Ft. Apartment,3440 Sq. Ft.,Rs 10.32 Cr
R420301,Tarc Kailasa,3 BHK 3685 Sq. Ft. Apartment,3685 Sq. Ft.,Rs 11.05 Cr
R420301,Tarc Kailasa,4 BHK 4246 Sq. Ft. Apartment,4246 Sq. Ft.,Rs 12.74 Cr
R396842,Orchid Ivy Floors,3 BHK 1252 Sq. Ft. Ind Floor,1252 Sq. Ft.,Rs 1.44 Cr
R334919,GP Aditya,2 BHK 1225 Sq. Ft. Apartment,1225 Sq. Ft.,Rs 1.48 Cr
R334919,GP Aditya,3 BHK 1850 Sq. Ft. Apartment,1850 Sq. Ft.,Rs 2.20 Cr
R334919,GP Aditya,3 BHK 1895 Sq. Ft. Apartment,1895 Sq. Ft.,Rs 2.25 Cr
R374451,Anuhar Tower,2 BHK 1296 Sq. Ft. Apartment,1296 Sq. Ft.,Rs 1.01 Cr
R374451,Anuhar Tower,2 BHK 1365 Sq. Ft. Apartment,1365 Sq. Ft.,Rs 1.07 Cr
R374451,Anuhar Tower,3 BHK 1551 Sq. Ft. Apartment,1551 Sq. Ft.,Rs 1.21 Cr
R374451,Anuhar Tower,3 BHK 1841 Sq. Ft. Apartment,1841 Sq. Ft.,Rs 1.44 Cr
R418960,Casagrand Aria,1 BHK 526 Sq. Ft. Apartment,526 Sq. Ft.,Rs 24.15 Lac
R418960,Casagrand Aria,1 BHK 534 Sq. Ft. Apartment,534 Sq. Ft.,Rs 24.52 Lac
R418960,Casagrand Aria,2 BHK 828 Sq. Ft. Apartment,828 Sq. Ft.,Rs 38.02 Lac
R418960,Casagrand Aria,2 BHK 1008 Sq. Ft. Apartment,1008 Sq. Ft.,Rs 46.29 Lac
R368086,GKs Zenith,2 BHK 1180 Sq. Ft. Apartment,1180 Sq. Ft.,Rs 73.75 Lac
R368086,GKs Zenith,2 BHK 1220 Sq. Ft. Apartment,1220 Sq. Ft.,Rs 76.25 Lac
R368086,GKs Zenith,3 BHK 1460 Sq. Ft. Apartment,1460 Sq. Ft.,Rs 91.25 Lac
R368086,GKs Zenith,3 BHK 1910 Sq. Ft. Apartment,1910 Sq. Ft.,Rs 1.19 Cr
R332999,Mega Sarovar,2 BHK 1062 Sq. Ft. Apartment,1062 Sq. Ft.,Rs 42.50 Lac
R332999,Mega Sarovar,2 BHK 1291 Sq. Ft. Apartment,1291 Sq. Ft.,Rs 51.66 Lac
R332999,Mega Sarovar,3 BHK 1297 Sq. Ft. Apartment,1297 Sq. Ft.,Rs 51.90 Lac
R332999,Mega Sarovar,3 BHK 2038 Sq. Ft. Apartment,2038 Sq. Ft.,Rs 81.56 Lac
R416320,Sumadhura Sushantham,2 BHK 1550 Sq. Ft. Apartment,1550 Sq. Ft.,Rs 1.00 Cr
R416320,Sumadhura Sushantham,3 BHK 1735 Sq. Ft. Apartment,1735 Sq. Ft.,Rs 1.12 Cr
R416320,Sumadhura Sushantham,3 BHK 1955 Sq. Ft. Apartment,1955 Sq. Ft.,Rs 1.27 Cr
R306817,Concorde Hill Crest,4000 Sq. Ft. Plot,4000 Sq. Ft.,Rs 1.20 Cr
R306817,Concorde Hill Crest,1500 Sq. Ft. Plot,1500 Sq. Ft.,Rs 45.00 Lac
R306817,Concorde Hill Crest,2400 Sq. Ft. Plot,2400 Sq. Ft.,Rs 72.00 Lac
R393393,Ahad Anaya Residency,4 BHK 1279 Sq. Ft. Villa,1279 Sq. Ft.,Price on Request
R393393,Ahad Anaya Residency,4 BHK 1307 Sq. Ft. Villa,1307 Sq. Ft.,Price on Request
R206111,Windsor Troika,2 BHK 1417 Sq. Ft. Apartment,1417 Sq. Ft.,Rs 1.21 Cr
R206111,Windsor Troika,2 BHK 1503 Sq. Ft. Apartment,1503 Sq. Ft.,Rs 1.28 Cr
R206111,Windsor Troika,3 BHK 1800 Sq. Ft. Apartment,1800 Sq. Ft.,Rs 1.53 Cr
R206111,Windsor Troika,3 BHK 1745 Sq. Ft. Apartment,1745 Sq. Ft.,Rs 1.48 Cr
