XID,Project Name,Unit Type,Area,Price
R403911,SNN Raj GreenBay,2 BHK 1160 Sq. Ft. Apartment,1160 Sq. Ft.,Rs 74.48 Lac
R403911,SNN Raj GreenBay,2 BHK 1190 Sq. Ft. Apartment,1190 Sq. Ft.,Rs 76.41 Lac
R403911,SNN Raj GreenBay,2 BHK 1205 Sq. Ft. Apartment,1205 Sq. Ft.,Rs 77.37 Lac
R403911,SNN Raj GreenBay,3 BHK 1415 Sq. Ft. Apartment,1415 Sq. Ft.,Rs 90.86 Lac
R403911,SNN Raj GreenBay,3 BHK 1590 Sq. Ft. Apartment,1590 Sq. Ft.,Rs 1.02 Cr
R403911,SNN Raj GreenBay,3 BHK 1640 Sq. Ft. Apartment,1640 Sq. Ft.,Rs 1.05 Cr
R403911,SNN Raj GreenBay,3 BHK 1790 Sq. Ft. Apartment,1790 Sq. Ft.,Rs 1.15 Cr
R403911,SNN Raj GreenBay,3 BHK 1940 Sq. Ft. Apartment,1940 Sq. Ft.,Rs 1.24 Cr
R403911,SNN Raj GreenBay,4 BHK 2150 Sq. Ft. Apartment,2150 Sq. Ft.,Rs 1.37 Cr
R403911,SNN Raj GreenBay,4 BHK 2870 Sq. Ft. Apartment,2870 Sq. Ft.,Rs 1.83 Cr
R431525,Parisar Apartment,3 BHK 991 Sq. Ft. Apartment,991 Sq. Ft.,Rs 2.70 Cr
R431525,Parisar Apartment,3 BHK 1387 Sq. Ft. Apartment,1387 Sq. Ft.,Rs 3.78 Cr
R431525,Parisar Apartment,4 BHK 1650 Sq. Ft. Apartment,1650 Sq. Ft.,Rs 4.50 Cr
R431525,Parisar Apartment,4 BHK 1791 Sq. Ft. Apartment,1791 Sq. Ft.,Rs 4.88 Cr
R410183,Assetz Canvas And Cove,2 BHK 983 Sq. Ft. Apartment,669 Sq. Ft.,Rs 1.26 Cr
R410183,Assetz Canvas And Cove,2 BHK 933 Sq. Ft. Apartment,638 Sq. Ft.,Rs 1.19 Cr
R410183,Assetz Canvas And Cove,3 BHK 1165 Sq. Ft. Apartment,808 Sq. Ft.,Rs 1.49 Cr
R410183,Assetz Canvas And Cove,3 BHK 1825 Sq. Ft. Apartment,1825 Sq. Ft.,Rs 2.34 Cr
R410183,Assetz Canvas And Cove,376 Sq. Ft. Studio,266 Sq. Ft.,Rs 48.13 Lac
R429182,Kalpana The Olympia,2 BHK 649 Sq. Ft. Apartment,649 Sq. Ft.,Rs 1.39 Cr
R429182,Kalpana The Olympia,2 BHK 690 Sq. Ft. Apartment,690 Sq. Ft.,Rs 1.48 Cr
R429182,Kalpana The Olympia,3 BHK 922 Sq. Ft. Apartment,922 Sq. Ft.,Rs 1.98 Cr
R429182,Kalpana The Olympia,3 BHK 960 Sq. Ft. Apartment,960 Sq. Ft.,Rs 2.06 Cr
R429182,Kalpana The Olympia,782 Sq. Ft. Office Space,782 Sq. Ft.,Price on Request
R429182,Kalpana The Olympia,376 Sq. Ft. Retail Shop,376 Sq. Ft.,Price on Request
R414547,Swargaseema Suketana,1800 Sq. Ft. Plot,1800 Sq. Ft.,Rs 14.40 Lac
R414547,Swargaseema Suketana,4800 Sq. Ft. Plot,4800 Sq. Ft.,Rs 38.40 Lac
R316505,Aasara Greenwoods,2 BHK 1269 Sq. Ft. Apartment,1269 Sq. Ft.,Rs 86.29 Lac
R316505,Aasara Greenwoods,2 BHK 1131 Sq. Ft. Apartment,1131 Sq. Ft.,Rs 76.91 Lac
R316505,Aasara Greenwoods,3 BHK 1693 Sq. Ft. Apartment,1693 Sq. Ft.,Rs 1.15 Cr
R316505,Aasara Greenwoods,3 BHK 1355 Sq. Ft. Apartment,1355 Sq. Ft.,Rs 92.14 Lac
R395174,Promax Dreamville Home,3 BHK 1695 Sq. Ft. Apartment,1695 Sq. Ft.,Rs 1.24 Cr
R395174,Promax Dreamville Home,3 BHK 1816 Sq. Ft. Apartment,1816 Sq. Ft.,Rs 1.33 Cr
R426565,Podar Avanta Heights,1 BHK 400 Sq. Ft. Apartment,400 Sq. Ft.,Rs 1.51 Cr
R426565,Podar Avanta Heights,1 BHK 429 Sq. Ft. Apartment,429 Sq. Ft.,Rs 1.62 Cr
R426565,Podar Avanta Heights,2 BHK 579 Sq. Ft. Apartment,579 Sq. Ft.,Rs 2.19 Cr
R426565,Podar Avanta Heights,2 BHK 602 Sq. Ft. Apartment,602 Sq. Ft.,Rs 2.27 Cr
R391947,Thaindia Nila Residency,2 BHK 890 Sq. Ft. Villa,890 Sq. Ft.,Price on Request
R391947,Thaindia Nila Residency,3 BHK 1460 Sq. Ft. Villa,1460 Sq. Ft.,Price on Request
R391947,Thaindia Nila Residency,3 BHK 1539 Sq. Ft. Villa,1539 Sq. Ft.,Price on Request
R391947,Thaindia Nila Residency,3 BHK 1578 Sq. Ft. Villa,1578 Sq. Ft.,Price on Request
R391947,Thaindia Nila Residency,3 BHK 1757 Sq. Ft. Villa,1757 Sq. Ft.,Price on Request
R391947,Thaindia Nila Residency,3 BHK 1917 Sq. Ft. Villa,1917 Sq. Ft.,Price on Request
R743,Logix Blossom County,2 BHK 990 Sq. Ft. Apartment,990 Sq. Ft.,Rs 1.07 Cr
R743,Logix Blossom County,2 BHK 1145 Sq. Ft. Apartment,1145 Sq. Ft.,Rs 1.23 Cr
R743,Logix Blossom County,3 BHK 1575 Sq. Ft. Apartment,1575 Sq. Ft.,Rs 1.67 Cr
R743,Logix Blossom County,3 BHK 1675 Sq. Ft. Apartment,1675 Sq. Ft.,Rs 1.78 Cr
R743,Logix Blossom County,4 BHK 1875 Sq. Ft. Apartment,1875 Sq. Ft.,Rs 1.98 Cr
R411745,Anuhar Gautami Heights,2 BHK 1190 Sq. Ft. Apartment,1190 Sq. Ft.,Rs 86.28 Lac
R411745,Anuhar Gautami Heights,2 BHK 1630 Sq. Ft. Apartment,1630 Sq. Ft.,Rs 1.18 Cr
R411745,Anuhar Gautami Heights,3 BHK 1654 Sq. Ft. Apartment,1654 Sq. Ft.,Rs 1.20 Cr
R411745,Anuhar Gautami Heights,3 BHK 1875 Sq. Ft. Apartment,1875 Sq. Ft.,Rs 1.36 Cr
R417396,Mantri Serene Phase 2,1 BHK 835 Sq. Ft. Apartment,-,Rs 54.52 Lac
R417396,Mantri Serene Phase 2,2 BHK 1220 Sq. Ft. Apartment,-,Rs 77.58 Lac
R417396,Mantri Serene Phase 2,2 BHK 1235 Sq. Ft. Apartment,-,Rs 78.48 Lac
R417396,Mantri Serene Phase 2,2 BHK 1395 Sq. Ft. Apartment,-,Rs 88.06 Lac
R417396,Mantri Serene Phase 2,2 BHK 1440 Sq. Ft. Apartment,-,Rs 90.76 Lac
R417396,Mantri Serene Phase 2,2 BHK 1470 Sq. Ft. Apartment,-,Rs 92.55 Lac
R417396,Mantri Serene Phase 2,2 BHK 1540 Sq. Ft. Apartment,-,Rs 96.75 Lac
R417396,Mantri Serene Phase 2,2 BHK 1590 Sq. Ft. Apartment,-,Rs 99.74 Lac
R394931,SNN Raj High Gardens,1 BHK 675 Sq. Ft. Apartment,675 Sq. Ft.,Rs 52.99 Lac
R394931,SNN Raj High Gardens,2 BHK 985 Sq. Ft. Apartment,985 Sq. Ft.,Rs 77.32 Lac
R394931,SNN Raj High Gardens,2 BHK 1090 Sq. Ft. Apartment,1090 Sq. Ft.,Rs 85.56 Lac
R394931,SNN Raj High Gardens,3 BHK 1480 Sq. Ft. Apartment,1480 Sq. Ft.,Rs 1.16 Cr
R394931,SNN Raj High Gardens,3 BHK 1655 Sq. Ft. Apartment,1655 Sq. Ft.,Rs 1.30 Cr
R394931,SNN Raj High Gardens,3 BHK 1685 Sq. Ft. Apartment,1685 Sq. Ft.,Rs 1.32 Cr
R428869,Whiteland Blissville,3 BHK 1309 Sq. Ft. Ind Floor,1309 Sq. Ft.,Rs 2.09 Cr
R428869,Whiteland Blissville,3 BHK 1600 Sq. Ft. Ind Floor,1600 Sq. Ft.,Rs 2.56 Cr
R428869,Whiteland Blissville,110 Sq. Ft. Retail Shop,110 Sq. Ft.,Rs 35.00 Lac
R428869,Whiteland Blissville,456 Sq. Ft. Retail Shop,456 Sq. Ft.,Rs 1.45 Cr
R424564,Keytech Vishakha Heights,1 BHK 433 Sq. Ft. Apartment,433 Sq. Ft.,Rs 1.15 Cr
R424564,Keytech Vishakha Heights,1 BHK 469 Sq. Ft. Apartment,469 Sq. Ft.,Rs 1.24 Cr
R424564,Keytech Vishakha Heights,2 BHK 684 Sq. Ft. Apartment,684 Sq. Ft.,Rs 1.80 Cr
R424564,Keytech Vishakha Heights,2 BHK 685 Sq. Ft. Apartment,685 Sq. Ft.,Rs 1.81 Cr
R424564,Keytech Vishakha Heights,3 BHK 963 Sq. Ft. Apartment,963 Sq. Ft.,Rs 2.72 Cr
R367231,Central Park Bignonia Towers,3 BHK 3805 Sq. Ft. Apartment,1695 Sq. Ft.,Rs 5.95 Cr
R367231,Central Park Bignonia Towers,4 BHK 5581 Sq. Ft. Apartment,2195 Sq. Ft.,Rs 8.95 Cr
R337519,Risland The Ace,1 BHK 600 Sq. Ft. Apartment,393 Sq. Ft.,Rs 54.84 Lac
R337519,Risland The Ace,2 BHK 867 Sq. Ft. Apartment,597 Sq. Ft.,Rs 75.16 Lac
R337519,Risland The Ace,2 BHK 1189 Sq. Ft. Apartment,822 Sq. Ft.,Rs 98.78 Lac
R337519,Risland The Ace,3 BHK 1634 Sq. Ft. Apartment,1113 Sq. Ft.,Rs 1.33 Cr
R381827,Sree Nandan Krishna Vanam,2 BHK 1335 Sq. Ft. Apartment,1335 Sq. Ft.,Rs 69.42 Lac
R381827,Sree Nandan Krishna Vanam,3 BHK 1400 Sq. Ft. Apartment,1400 Sq. Ft.,Rs 72.80 Lac
R381827,Sree Nandan Krishna Vanam,3 BHK 1785 Sq. Ft. Apartment,1785 Sq. Ft.,Rs 92.82 Lac
R393952,Mauli 22,1055 Sq. Ft. Plot,1055 Sq. Ft.,Rs 33.23 Lac
R393952,Mauli 22,3704 Sq. Ft. Plot,3704 Sq. Ft.,Rs 1.17 Cr
R408739,Pranava East Crest,2 BHK 1225 Sq. Ft. Apartment,1225 Sq. Ft.,Rs 79.63 Lac
R408739,Pranava East Crest,2 BHK 1355 Sq. Ft. Apartment,1355 Sq. Ft.,Rs 88.08 Lac
R408739,Pranava East Crest,3 BHK 1570 Sq. Ft. Apartment,1570 Sq. Ft.,Rs 1.02 Cr
R408739,Pranava East Crest,3 BHK 1845 Sq. Ft. Apartment,1845 Sq. Ft.,Rs 1.20 Cr
R402881,SNR Safa,1 BHK 615 Sq. Ft. Apartment,615 Sq. Ft.,Rs 31.98 Lac
R402881,SNR Safa,2 BHK 1090 Sq. Ft. Apartment,1090 Sq. Ft.,Rs 56.68 Lac
R402881,SNR Safa,2 BHK 1145 Sq. Ft. Apartment,1145 Sq. Ft.,Rs 59.54 Lac
R402881,SNR Safa,3 BHK 1380 Sq. Ft. Apartment,1380 Sq. Ft.,Rs 71.76 Lac
R402881,SNR Safa,3 BHK 1515 Sq. Ft. Apartment,1515 Sq. Ft.,Rs 78.78 Lac
R432489,Sai Nandana South Avenue,3 BHK 1500 Sq. Ft. Apartment,1500 Sq. Ft.,Price on Request
R43934,Sunteck Signature Island,5 BHK 7875 Sq. Ft. Apartment,7875 Sq. Ft.,Price on Request
R43934,Sunteck Signature Island,5 BHK 4952 Sq. Ft. Apartment,4952 Sq. Ft.,Price on Request
R420145,Shirodkar Ganesh Dham,2 BHK 567 Sq. Ft. Apartment,567 Sq. Ft.,Price on Request
R420145,Shirodkar Ganesh Dham,2 BHK 777 Sq. Ft. Apartment,777 Sq. Ft.,Price on Request
R420145,Shirodkar Ganesh Dham,3 BHK 948 Sq. Ft. Apartment,948 Sq. Ft.,Price on Request
R420145,Shirodkar Ganesh Dham,3 BHK 1189 Sq. Ft. Apartment,1189 Sq. Ft.,Price on Request
R420145,Shirodkar Ganesh Dham,4 BHK 1348 Sq. Ft. Apartment,1348 Sq. Ft.,Price on Request
R420145,Shirodkar Ganesh Dham,4 BHK 1461 Sq. Ft. Apartment,1461 Sq. Ft.,Price on Request
R384098,Roseate Homes,3 BHK 1953 Sq. Ft. Apartment,1953 Sq. Ft.,Rs 68.00 Lac
R384098,Roseate Homes,3 BHK 1620 Sq. Ft. Apartment,1620 Sq. Ft.,Rs 56.49 Lac
R302349,SB Temple Tree,2 BHK 1185 Sq. Ft. Apartment,1185 Sq. Ft.,Rs 1.48 Cr
R302349,SB Temple Tree,2 BHK 1635 Sq. Ft. Apartment,1635 Sq. Ft.,Rs 2.04 Cr
R302349,SB Temple Tree,3 BHK 1675 Sq. Ft. Apartment,1675 Sq. Ft.,Rs 2.09 Cr
R302349,SB Temple Tree,3 BHK 1760 Sq. Ft. Apartment,1760 Sq. Ft.,Rs 2.20 Cr
R413623,Swargaseema Suketana,1800 Sq. Ft. Plot,1800 Sq. Ft.,Rs 14.40 Lac
R413623,Swargaseema Suketana,4800 Sq. Ft. Plot,4800 Sq. Ft.,Rs 38.40 Lac
R404003,Paranjape Misty Greens,3300 Sq. Ft. Plot,3300 Sq. Ft.,Rs 1.80 Cr
R404003,Paranjape Misty Greens,6000 Sq. Ft. Plot,6000 Sq. Ft.,Rs 3.27 Cr
R422802,Kalpataru Parkcity,1 BHK 468 Sq. Ft. Apartment,468 Sq. Ft.,Rs 1.10 Cr
R422802,Kalpataru Parkcity,2 BHK 538 Sq. Ft. Apartment,538 Sq. Ft.,Rs 1.27 Cr
R422802,Kalpataru Parkcity,2 BHK 615 Sq. Ft. Apartment,615 Sq. Ft.,Rs 1.45 Cr
R422802,Kalpataru Parkcity,3 BHK 957 Sq. Ft. Apartment,957 Sq. Ft.,Rs 2.25 Cr
R422802,Kalpataru Parkcity,3 BHK 911 Sq. Ft. Apartment,911 Sq. Ft.,Rs 2.15 Cr
R422802,Kalpataru Parkcity,3 BHK 1079 Sq. Ft. Apartment,1079 Sq. Ft.,Rs 2.54 Cr
R422802,Kalpataru Parkcity,4 BHK 1753 Sq. Ft. Apartment,1753 Sq. Ft.,Rs 4.13 Cr
R414268,Shri Vinayak Aangan,1 BHK 270 Sq. Ft. Apartment,270 Sq. Ft.,Rs 31.57 Lac
R414268,Shri Vinayak Aangan,1 BHK 325 Sq. Ft. Apartment,325 Sq. Ft.,Rs 38.00 Lac
R414268,Shri Vinayak Aangan,2 BHK 415 Sq. Ft. Apartment,415 Sq. Ft.,Rs 48.52 Lac
R414268,Shri Vinayak Aangan,2 BHK 527 Sq. Ft. Apartment,527 Sq. Ft.,Rs 61.61 Lac
R418404,The Nest Craze,3 BHK 1310 Sq. Ft. Apartment,1310 Sq. Ft.,Rs 85.06 Lac
R418404,The Nest Craze,3 BHK 1500 Sq. Ft. Apartment,1500 Sq. Ft.,Rs 97.39 Lac
R374795,JD Gaatha,2 BHK 722 Sq. Ft. Apartment,722 Sq. Ft.,Rs 65.70 Lac
R374795,JD Gaatha,2 BHK 1047 Sq. Ft. Apartment,1047 Sq. Ft.,Rs 95.27 Lac
R374795,JD Gaatha,3 BHK 922 Sq. Ft. Apartment,922 Sq. Ft.,Rs 83.90 Lac
R374795,JD Gaatha,3 BHK 1972 Sq. Ft. Apartment,1972 Sq. Ft.,Rs 1.79 Cr
R430221,Rise Velpula Vanam,1197 Sq. Ft. Plot,1197 Sq. Ft.,Rs 19.96 Lac
R430221,Rise Velpula Vanam,4977 Sq. Ft. Plot,4977 Sq. Ft.,Rs 82.99 Lac
R432717,Aparna Kanopy Tulip,2 BHK 930 Sq. Ft. Apartment,930 Sq. Ft.,Rs 55.52 L
R432717,Aparna Kanopy Tulip,2 BHK 1010 Sq. Ft. Apartment,1010 Sq. Ft.,Rs 60.29 L
R432717,Aparna Kanopy Tulip,3 BHK 1395 Sq. Ft. Apartment,1395 Sq. Ft.,Rs 83.28 L
R432717,Aparna Kanopy Tulip,3 BHK 1155 Sq. Ft. Apartment,1155 Sq. Ft.,Rs 68.95 L
R374540,Godrej WoodLand,900 Sq. Ft. Plot,900 Sq. Ft.,Rs 59.99 Lac
R374540,Godrej WoodLand,1200 Sq. Ft. Plot,1200 Sq. Ft.,Rs 79.99 Lac
R374540,Godrej WoodLand,1500 Sq. Ft. Plot,1500 Sq. Ft.,Rs 99.98 Lac
R374540,Godrej WoodLand,1800 Sq. Ft. Plot,1800 Sq. Ft.,Rs 1.20 Cr
R395313,GK Casa Grande,3 BHK 2088 Sq. Ft. Apartment,1418 Sq. Ft.,Rs 1.36 Cr
R395313,GK Casa Grande,3 BHK 2475 Sq. Ft. Apartment,1630 Sq. Ft.,Rs 1.61 Cr
R395313,GK Casa Grande,4 BHK 2808 Sq. Ft. Apartment,1913 Sq. Ft.,Rs 1.83 Cr
R403885,Trilok Villas And Apartments,694 Sq. Ft. Plot,694 Sq. Ft.,Rs 1.04 Cr
R403885,Trilok Villas And Apartments,2991 Sq. Ft. Plot,2991 Sq. Ft.,Rs 4.46 Cr
R256929,V Satav Mayuri Sunrise,1 BHK 444 Sq. Ft. Apartment,444 Sq. Ft.,Rs 36.70 L
R256929,V Satav Mayuri Sunrise,2 BHK 568 Sq. Ft. Apartment,568 Sq. Ft.,Rs 46.95 L
R429979,Patels Golf Links,3 BHK 1700 Sq. Ft. Apartment,1700 Sq. Ft.,Price on Request
R43936,Sunteck Signia Pearl,4 BHK 3485 Sq. Ft. Apartment,3485 Sq. Ft.,Rs 11.42 Cr
R43936,Sunteck Signia Pearl,4 BHK 3882 Sq. Ft. Apartment,3882 Sq. Ft.,Rs 12.72 Cr
R380484,Infinity Residences,1 BHK 333 Sq. Ft. Apartment,333 Sq. Ft.,Rs 88.00 L
R380484,Infinity Residences,2 BHK 724 Sq. Ft. Apartment,724 Sq. Ft.,Rs 1.91 Cr
R432471,The Prestige City,2 BHK 758 Sq. Ft. Apartment,758 Sq. Ft.,Rs 3.04 Cr
R432471,The Prestige City,2 BHK 769 Sq. Ft. Apartment,769 Sq. Ft.,Rs 3.08 Cr
R432471,The Prestige City,2 BHK 828 Sq. Ft. Apartment,828 Sq. Ft.,Rs 3.32 Cr
R432471,The Prestige City,3 BHK 914 Sq. Ft. Apartment,914 Sq. Ft.,Rs 3.66 Cr
R432471,The Prestige City,3 BHK 1049 Sq. Ft. Apartment,1049 Sq. Ft.,Rs 4.20 Cr
R432471,The Prestige City,3 BHK 1052 Sq. Ft. Apartment,1052 Sq. Ft.,Rs 4.21 Cr
R432471,The Prestige City,4 BHK 1689 Sq. Ft. Apartment,1689 Sq. Ft.,Rs 6.77 Cr
R427921,Meenakshi High Life Towers,2 BHK 1096 Sq. Ft. Apartment,1096 Sq. Ft.,Rs 94.26 Lac
R427921,Meenakshi High Life Towers,2 BHK 1265 Sq. Ft. Apartment,1265 Sq. Ft.,Rs 1.09 Cr
R427921,Meenakshi High Life Towers,3 BHK 1495 Sq. Ft. Apartment,1495 Sq. Ft.,Rs 1.29 Cr
R427921,Meenakshi High Life Towers,3 BHK 1711 Sq. Ft. Apartment,1711 Sq. Ft.,Rs 1.47 Cr
R427921,Meenakshi High Life Towers,3 BHK 1528 Sq. Ft. Apartment,1528 Sq. Ft.,Rs 1.31 Cr
R427921,Meenakshi High Life Towers,4 BHK 3004 Sq. Ft. Apartment,3004 Sq. Ft.,Rs 2.58 Cr
R405007,Rohit Galaxy,3 BHK 1900 Sq. Ft. Apartment,1310 Sq. Ft.,Rs 1.38 Cr
R405007,Rohit Galaxy,4 BHK 2750 Sq. Ft. Apartment,1738 Sq. Ft.,Rs 1.99 Cr
R405007,Rohit Galaxy,4 BHK 2775 Sq. Ft. Apartment,1769 Sq. Ft.,Rs 2.01 Cr
R425507,DS Max Sky Blossom,2 BHK 1151 Sq. Ft. Apartment,1151 Sq. Ft.,Rs 74.81 Lac
R425507,DS Max Sky Blossom,2 BHK 1254 Sq. Ft. Apartment,1254 Sq. Ft.,Rs 81.51 Lac
R425507,DS Max Sky Blossom,3 BHK 1380 Sq. Ft. Apartment,1380 Sq. Ft.,Rs 89.70 Lac
R425507,DS Max Sky Blossom,3 BHK 1823 Sq. Ft. Apartment,1823 Sq. Ft.,Rs 1.18 Cr
