XID,Project Name,City,Squareyards.com Link
R399447,Shivam Tulip Elegance,Navi Mumbai,https://www.squareyards.com/pune-residential-property/tulip-infinity-avana/208915/project/floor-plans
R494,Uniworld City,Kolkata East,https://www.squareyards.com/sale/apartments-for-sale-in-uniworld-city-kolkata
R43818,Vistara Township,Indore,https://www.squareyards.com/indore-residential-property/vistara-township/315699/project
R27444,Pragjyotishpur Apartments,Delhi South West,Not Found
R376758,Krishna Nagari plots,Nagpur,https://www.squareyards.com/nagpur-residential-property/krushna-nagari/249641/project
R420110,Opera Estate,Indore,https://www.squareyards.com/resale-1000-sq-ft-plot-in-opera-estate/7917333
R37636,Brisk Lumbini Terrace Homes,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/brisk-lumbini-terrace-homes/224/project
R900,K Raheja Heights,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/k-raheja-palm-spring/2904/project
R324193,Greenmark Mayfair Bhel,Hyderabad,https://www.squareyards.com/sale/resale-properties-in-greenmark-mayfair-bhel-hyderabad
R427633,Pandit Nandvihar,Pune Central,https://www.squareyards.com/pune-residential-property/pandit-javdekar-nandvihar/247334/project
R124803,Antriksh Management Apartments,Delhi South West,https://www.squareyards.com/greater-noida-residential-property/antriksh-golf-link/875/project
R843,Dosti Imperia,Thane,https://www.squareyards.com/sale/resale-properties-in-dosti-imperia-phase-i-thane
R375290,Vilas YashONE Infinitee,Pune West,https://www.squareyards.com/pune-residential-property/vj-yashone-infinitee/103471/project
R351613,Gami Teesta,Navi Mumbai,https://www.squareyards.com/sale/1-bhk-flat-in-gami-teesta-navi-mumbai
R313161,Sky Mansion By Risland,South Delhi,https://www.squareyards.com/delhi-residential-property/risland-sky-mansion/10794/project
R99587,Deshpande Windmill Village,Pune West,https://www.squareyards.com/rental-3-bhk-1500-sq-ft-villa-in-deshpande-windmill-village/7711786
R63843,Cghs Shivam Apartments,Delhi South West,https://www.squareyards.com/sale/2-bhk-for-sale-in-sector-12-dwarka-delhi
R60239,Bhumiraj Hermitage,Navi Mumbai,https://www.squareyards.com/rent/property-for-rent-in-bhumiraj-hermitage-navi-mumbai
R295453,Pyramid Elements,Navi Mumbai,https://www.squareyards.com/pyramid-infratech-co-projects/9306/builder
R269461,VTP Solitaire,Pune West,https://www.squareyards.com/pune-residential-property/vtp-solitaire/8667/project
R63593,Hiranandani Glen Croft,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/hiranandani-glen-croft/27220/project
R416199,Platinum Devansh,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/sambhav-deep-planet/111965/project/photos
R343933,Inaaya Royal Heights,Lucknow,https://www.squareyards.com/sale/resale-properties-in-surya-inaaya-royal-heights-lucknow
R23724,Bestech Park View Spa Next,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/bestech-park-view-spa-next/53/project/floor-plans
R376517,Prakruti Aarya,Vadodara,https://www.squareyards.com/vadodara-residential-property/shree-sparsh-skyview/318531/project/floor-plans
R108529,Pumarth Bliss,Indore,Not Found
R337779,Satellite Elegance,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/group-satellite-elegance/29866/project
R292349,Orange BCM Park,Indore,https://www.squareyards.com/projects-in-mahalaxmi-nagar-indore
R250877,Global City,Mohali,https://www.squareyards.com/sale/resale-properties-in-global-city-mohali
R1512,Magnolia City,Kolkata North,https://www.squareyards.com/kolkata-residential-property/magnolia-sports-city/11145/project
R41,Mantri Tranquil,Bangalore South,https://www.squareyards.com/bangalore-residential-property/mantri-tranquil/1987/project
