XID,Project Name,City,Squareyards.com Link
R398992,Haridwar Paradise,Haridwar,https://www.squareyards.com/resale-3-bhk-pooja-room-1350-sq-ft-villa-in-palm-paradise/7754807
R399091,Shree Nagari 1 Besa,Nagpur,https://www.squareyards.com/nagpur-residential-property/mauli-22/248019/project
R399116,Harbans Park,Nagpur,https://www.squareyards.com/nagpur-residential-property/shivaji-winter-fall-city/330302/project
R399203,Jashn Samsara Homes,Lucknow,https://www.squareyards.com/resale-5-bhk-servant-room-3200-sq-ft-villa-in-jashn-samsara-homes/7009706
R399222,Survi Pristine,Vadodara,https://www.squareyards.com/vadodara-residential-property/kanha-nirmal/320558/project/photos
R399273,Vivanta,Thane Outskirts,https://www.squareyards.com/projects-in-jawsaigaon-thane
R399369,Peninsula AshokVann,Pune West,https://www.squareyards.com/pune-residential-property/peninsula-ashok-vistas/324807/project
R399555,Kalash Landmark,Aurangabad,https://www.squareyards.com/pune-residential-property/kalash-trove/123792/project
R399575,DGS Sheetal Mayra,Beyond Mira Road,https://www.squareyards.com/palghar-residential-property/dgs-sheetal-mayra/188853/project
R399826,Samanvay The Amelias,Jaipur,https://www.squareyards.com/projects-by-samanvay-group-in-jaipur
R399933,Sky Gateway,Vadodara,https://doc.squareyards.com/ProjectKnowledge/245980-ganesh-malabar-retreat--brochure-3177.pdf
R399945,Aarana Luxuria,Vadodara,https://www.squareyards.com/projects-in-hanumanpura-vadodara
R399946,Sanskruti Sky,Vadodara,https://www.squareyards.com/vadodara-residential-property/rudra-triveni-heights/319663/project
R399974,Green Courtyard,Kota,https://www.squareyards.com/gurgaon-residential-property/royal-courtyard-62/113466/project
R400176,Hiliving Serenity,Chennai North,https://www.squareyards.com/chennai-residential-property/dra-astra/324789/project
R400383,Safety AIIMS Valley,Bhubaneswar,https://www.squareyards.com/thane-residential-property/mm-valley/6355/project
R400415,Smartworld One DXP,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/smart-world-one-dxp/210648/project
R400555,Ajit Oro Atlantis,Lucknow,https://www.squareyards.com/sale/resale-properties-in-ajit-oro-atlantis-lucknow
R400563,FORTUNE ATLANTIS PHASE 2 A,Bhopal,https://www.squareyards.com/projects-in-katara-hills-bhopal
R400573,Eastern Arc Phase 2,Dehradun,https://www.squareyards.com/dehradun-residential-property/sumeru-eastern-arc/9237/project
R400622,Srikruthi Elite,Hyderabad,https://www.squareyards.com/hyderabad-residential-property/bharathi-ram-ventures/247552/project/photos
R400692,Multiversal Nova Grand,Nellore,Not Found
R400715,Prem Nagar Legacy,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/chheda-prem-nagar-legacy/249738/project
R401002,Nidhi Sankalp,Mangalore,https://www.squareyards.com/projects-in-judicial-layout-bangalore
R401036,The Nest,Vadodara,https://www.squareyards.com/ready-to-move-by-the-nest-builders-in-chennai
R401070,Trident Hills,Panchkula,https://www.squareyards.com/sale/apartments-for-sale-in-pinjore-panchkula
R401156,Sanfran Sarovar Heights,Jhansi,https://www.squareyards.com/mumbai-residential-property/avant-hillway/102114/project
R401496,Skyline Harmony,Panjim,https://www.squareyards.com/projects-in-margao-goa
R401498,MK The Senses,Siliguri,https://www.squareyards.com/vizag-residential-property/lansum-mvp-square/101577/project
R401534,Svadha Mackennas,Hyderabad,https://www.squareyards.com/sale/resale-properties-in-svadha-mackennas-hyderabad
R401563,Officers Enclave,Nagpur,https://www.squareyards.com/greater-noida-residential-property/tata-steel-officers-enclave-phase-2/88373/project
R401610,Krishna Harmony,Vadodara,https://www.squareyards.com/bangalore-residential-property/disha-harmony-gardens/324767/project/photos
R401612,Ultima Crest,Vadodara,https://www.squareyards.com/mumbai-residential-property/hicons-enclave/28514/project/floor-plans
R401703,Skydale,Siliguri,https://www.squareyards.com/rent/2-bhk-flat-in-venkatesh-skydale-pune
R401746,Srikaram Shelters,Chennai South,https://www.squareyards.com/resale-1200-sq-ft-plot-in-ssg-plots-and-villas/7782446
R401774,Green Park City,Lucknow,https://www.squareyards.com/sale/resale-properties-in-pintail-park-city-lucknow
R401861,Geetais The Palm,Nagpur,https://www.squareyards.com/jaipur-residential-property/shubhashish-geeta/29286/project
R401868,Nirvanaa Casa Vrindavan,Kanpur,https://www.squareyards.com/sale/resale-properties-in-mutha-sai-nirvana-thane
R401933,Utkal Levels,Bhubaneswar,Not Found
R401961,Adhaarshila Casato,Jaipur,https://www.squareyards.com/sale/apartments-for-sale-in-sirsi-road-jaipur
R402156,Design Builders The East Gate,Trichy,https://www.squareyards.com/
R402170,Imperial Ville,Jaipur,https://www.squareyards.com/sale/villas-for-sale-in-gandhi-path-jaipur
R402370,Vasavi Crown East,Hyderabad,https://www.squareyards.com/hyderabad-residential-property/vasavi-crown-east/217337/project
R402372,Shivanta Rigel,Ahmedabad North,Not Found
R402429,Mathapathi Grand Field,Bangalore East,https://www.squareyards.com/bangalore-residential-property/mathapathi-grand-field/220875/project
R402494,Concorde Equity,Kolar,https://www.squareyards.com/bangalore-residential-property/concorde-equity/221791/project
R402517,Kamla Sahaniwas,Nagpur,https://www.squareyards.com/mumbai-residential-property/kamla-arunkamal/325335/project
R402636,Star ARB Gateway,Bangalore East,https://www.squareyards.com/bangalore-residential-property/sobha-mayflower/1929/project
R402665,Shree Gursahani Twin Tower,Aurangabad,https://www.squareyards.com/thane-residential-property/shivdham-complex/129880/project
R402668,Holistic Trulife Karjat,Karjat,https://www.squareyards.com/sale/lands-for-sale-in-karjat-navi-mumbai
R402731,MVV and GV The Grand,Visakhapatnam,https://www.squareyards.com/vizag-residential-property/mvv-gv-the-grand/217415/project
R402987,Mahalaxmi City Row Houses,Nagpur,https://www.squareyards.com/sale/resale-properties-in-godrej-forest-estate-nagpur
R403058,Aakar Millennium,Nasik,https://www.squareyards.com/sale/property-for-sale-near-phoenix-market-city-wakad-wakad-in-pune
R403225,Nest Valley,Kolkata South,https://www.squareyards.com/resale-1800-sq-ft-plot-in-nest-valley/8234639
R403291,Doon Aviral Kailasm,Dehradun,https://www.squareyards.com/sale/property-for-sale-in-jogiwala-dehradun
R403323,Delta Riviera,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/shreenathji-delta-riviera/216995/project/floor-plans
R403412,Aashray Primero,Vadodara,Not Found
R403415,Uttarayan Harmony,Guwahati,https://www.squareyards.com/guwahati-residential-property/uttarayan-harmony/309541/project
R403447,Amardeep Luxuria,Vadodara,https://www.squareyards.com/vadodara-residential-property/haathee-ivory-gardens/320676/project
R403465,SPV One By Earthen Spaces,Chennai West,https://www.squareyards.com/chennai-residential-property/emami-tejomaya/4079/project
R403480,Dosti Cedar,Thane,https://www.squareyards.com/sale/resale-properties-in-dosti-west-county-phase-2-dosti-cedar-thane
R403634,Amardeep Infinity,Vadodara,https://www.squareyards.com/vadodara-residential-property/madhuvan-space/319299/project/photos
R403665,Golden Vista,Nagpur,https://www.squareyards.com/mumbai-residential-property/golden-rock-chs/129566/project
R403674,Leverage Green Heights,Nagpur,https://www.squareyards.com/resale-2-bhk-1190-sq-ft-apartment-in-surya-heights/7750088
R403698,AcreRise Aura,Cuttack,https://www.squareyards.com/resale-2-5-bhk-study-room-1188-sq-ft-apartment-in-diamond-city/7106141
R403728,Savvy Marina,Gandhinagar,https://www.squareyards.com/ahmedabad-residential-property/sobha-avalon/228258/project
R403760,Grand Vissta,Surat,https://www.squareyards.com/thane-residential-property/dolphin-grand-vista/27372/project
R403762,Parshavanath City,Kota,https://www.squareyards.com/projects-by-parshwanath-in-ahmedabad
R403775,Capital Garden,Ranchi,https://www.squareyards.com/
R403911,Aarya Essenzaa 2,Vadodara,https://www.squareyards.com/bangalore-residential-property/snn-raj-greenbay/14170/project
R403916,Shalimar Gallant West,Lucknow,https://www.squareyards.com/lucknow-residential-property/shalimar-gallant-west/161602/project
R404212,Aavkar Skylon,Vadodara,https://www.squareyards.com/vadodara-residential-property/rudra-triveni-heights/319663/project
R404229,Ishwar Pratik Grand,Nasik,https://www.squareyards.com/nashik-residential-property/three-leaves/321511/project
R404368,Shangri La Imperial,Vadodara,https://www.squareyards.com/under-construction-projects-in-ajwa-road-vadodara
R404397,Emzar Hightown,Nagpur,Not Found
R404493,Century Mansion,Kolkata East,https://www.squareyards.com/kolkata-residential-property/realtech-the-indiana/29967/project
R404540,Urbanyx Court,Bhubaneswar,https://www.squareyards.com/projects-in-khandagiri-bhubaneswar
R404574,Sumatinath Green View Apartment,Beyond Mira Road,https://www.squareyards.com/palghar-residential-property/sumatinath-gp-complex/142924/project
R404653,Yuva Sunrise,Bangalore South,https://www.squareyards.com/resale-2-bhk-1196-sq-ft-apartment-in-yuva-sunrise/7647600
R404770,Capstones Plots,Navi Mumbai,https://www.squareyards.com/pune-residential-property/capstone-chlorophyll/116912/project
R404810,Rajul Galaxia,Jabalpur,Not Found
R404822,ATC Ultima,Jamshedpur,Not Found
R405007,Rohit Galaxy,Lucknow,https://www.squareyards.com/lucknow-residential-property/rohit-galaxy/221610/project
R405086,Shreeji Meadows 83,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/shreeji-meadows-83/212939/project
R405138,Sai Villa,Valsad,https://www.squareyards.com/rent/property-for-rent-in-shree-sai-villa-navi-mumbai
R405172,Jains Fairmount Sri Ram Garden 2,Hyderabad,https://www.squareyards.com/projects-by-jain-constructions-in-hyderabad
R405175,Ekana Ontario,Lucknow,https://www.squareyards.com/ekana-group-projects/17312/builder
R405185,Tulsi Ananta,Anand,https://www.squareyards.com/thane-residential-property/raj-tulsi-aananta/214829/project
R405232,Nabhraj Nikunj,Aurangabad,Not Found
R405294,Eldeco Latitude 27,Lucknow,https://www.squareyards.com/lucknow-residential-property/eldeco-latitude-27/221749/project
R405295,Sapnil Residency,Kolkata North,https://www.squareyards.com/sale/property-for-sale-near-rg-kar-medical-college-and-hospital-shyambazar-in-kolkata
R405298,Unity Sapphire,Vadodara,https://www.squareyards.com/pune-residential-property/banka-sapphire/30529/project
R405319,Rishi Coral Wood Bungalows,Bhopal,https://www.squareyards.com/sale/property-for-sale-near-campion-school-arera-colony-in-bhopal
R405334,Lodhi Kasturi Milestone,Bhopal,Not Found
R405400,Pramukh Yogi Woods,Silvassa,https://www.squareyards.com/sale/apartments-for-sale-in-surat
R405419,SDPL Aaranyam,Nagpur,Not Found
R405436,IDC Eartha Casa,Nagpur,Not Found
R405506,Susritam Sushree Paradise,Bhubaneswar,https://www.squareyards.com/new-launch-projects-in-ghatikia-bhubaneswar
R405535,Park One,Thane Outskirts,https://www.squareyards.com/thane-residential-property/cosmos-park/44400/project
R405552,Sunteck Sky Park,Mira Bhayandar,https://www.squareyards.com/thane-residential-property/sunteck-sky-park/219183/project
R405557,Affinity Belgravia,Mohali,https://www.squareyards.com/projects-in-aerocity-chandigarh
R405630,Bhoomi Imperia,Nashik,https://www.squareyards.com/nashik-residential-property/shree-mangal-complex/323228/project/photos
R405833,Shree Samarth Paradise,Thane Outskirts,https://www.squareyards.com/thane-residential-property/shubham-mangalmurti-paradise/246012/project
R406031,Gokulesh Greens,Vadodara,https://www.squareyards.com/vadodara-residential-property/shree-shyamal-county/319005/project
R406038,Shaligram West,Vadodara,https://www.squareyards.com/sale/2-bhk-flat-in-shaligram-chs-thane
R406042,MM Lakecity,Vapi,https://www.squareyards.com/sale/1-bhk-for-sale-in-shilphata-thane
R406044,M M Sukun,Vapi,https://www.squareyards.com/sale/resale-properties-in-virani-sukoon-heights-thane
R406102,Dream City,Patna,https://www.squareyards.com/resale-1200-sq-ft-plot-in-big-dream-home/7321253
R406233,Guruvaibhav CHSL,Pune Central,https://www.squareyards.com/pune-residential-property/vyas-anudatta-chs/255400/project
R406317,SD Galaxy,Thane Outskirts,https://www.squareyards.com/projects-by-s-d-corp-in-mumbai
R406437,SRS Avenue,Chennai South,https://www.squareyards.com/bangalore-residential-property/srs-sunrise/248222/project/floor-plans
R406609,NS Amara,Siliguri,https://www.squareyards.com/sale/property-for-sale-in-champasari-siliguri
R406648,PM Uplands,Indore,https://www.squareyards.com/rent/furnished-properties-for-rent-in-vizag
R406695,Dream World,Aurangabad,https://www.squareyards.com/sale/1-bhk-flat-in-paradise-sai-world-dreams-thane
R406711,Guruchhaya Apartment,Aurangabad,Not Found
