XID,Name,Name_Score,Builder,Builder_Score,Address,Address_Score,Possession Status,Possession Status_Score,RERA,RERA_Score
r409908,Fairland Phase I,53,ByCinco Realtors,93,"Chettipalayam, Coimbatore",68,Ready to Move,100,TN/11/Layout/1543/2023 dated 05/05/2023,100
r430176,Elegance Pristine Apartment,77,ByElegance Homes,93,"Neeladri Nagar, Electronic City Phase 1, South Bangalore, Bangalore",51,Ready to Move,100,Rera Not Applicable,100
r10208,VTP Township Codename Pegasus,98,ByVTP Realty,91,"New Kharadi, Pune",58,Ready to Move,100,"P52100007401, P52100009535, P52100009524, P52100007384, P52100007722, P52100007942, P52100009533",100
