XID,Name,URL,RERA,Address,Price,Builder,Amenities,Possession Status,Sizes,Launch Date,Project Size,Project Area,Avg. Price,Configurations
r417396,Pristine Signature Villas,https://housing.com/in/buy/projects/page/309000-pristine-signature-villas-by-hi-living-projects-llp-in-ambattur,TN/29/Layout/3722/2023,"Living Pristine No.39, Harikrishna Naidu street, Varadharajapuran Patravakkam Main Road, Chennai North, Chennai",1.25 Cr - 1.78 Cr,ByHi Living Projects LLP,"Children's Play Area, Amphitheater, Yoga / Meditation Area, Sauna Bath, Gazebo, Barbecue Area, Fountains, Landscaping & Tree Planting, Table Tennis, Gymnasium, Multipurpose Room","Dec, 2026",1085 - 1374 sq.ft.,"Jun, 2024",2 Buildings - 132 units,1.26 Acres,3.2 K/sq.ft,2 BHK Apartment
r339427,Rishi Pranaya,https://housing.com/buy-rishi-pranaya-by-rishi-group-in-new-town-kolkata-pid-217260,HIRA/P/NOR/2019/000465,"Beside Ecospace Rajarhat, Newtown, Kolkata",68.68 L - 1.06 Cr,ByRishi Group,"Cricket Pitch, Gazebo, Fountains, Mini Theatre, Kid's Pool, Medical Store/Pharmacy, Medical Facilities, Car Parking, 24X7 Water Supply, Senior Citizen Siteout, Street Lighting","Dec, 2026",435 - 1154 sq.ft.,"Jan, 2023",1 Building - 500 units,4.68 Acres (50% open),3.31 K -5.31 K/sq.ft,"2, 3 BHK Apartments"
r337685,Sharvani Sree Hemadurga Paradise,https://housing.com/in/buy/projects/page/202651-sharvani-sree-hemadurga-paradise-by-sharvani-ventures-and-avenues-pvt-ltd-in-miyapur,P02400002908,"108, Aparna Hillpark Road, KSR Layout, PJR Enclave, PJR Layout, Miyapur, North Hyderabad, Hyderabad",77.33 L - 1.44 Cr,BySharvani Ventures And Avenues Pvt Ltd,"Swimming Pool, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Gymnasium, Fire Fighting System, Community Buildings, Closed Car Parking, Car Parking, 24X7 Water Supply, Street Lighting, Gated Community","Dec, 2025",465 - 900 sq.ft.,,3 Buildings - 134 units,1.59 Acres,Price on request,"2, 3 BHK Apartments"
r393562,Polaris Casarica,https://housing.com/buy-polaris-casarica-by-polaris-buildcon-llp-in-sargasan-gandhinagar-gujarat-pid-281094,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA10271/060622,"Survey No. 428/1/001, Behind Shikshapatri, Swagat Flamingo Road, Sargaasan, Gandhinagar",1.23 Cr,ByPolaris Buildcon Llp,"Cricket Pitch, Gazebo, Solar Lighting, Skating Rink, Fountains, Bus Shelter, Fire Fighting System, Car Parking, 24X7 Water Supply, Jogging Track, Street Lighting","Jun, 2030",732 - 870 sq.ft.,"May, 2024",2 Buildings - 109 units,3.7 Acres,11.08 K/sq.ft,2 BHK Apartment
r424561,Prajay Virgin County Villas,https://housing.com/in/buy/projects/page/220228-prajay-virgin-county-villas-by-prajay-engineers-syndicate-pvt-ltd-in-malikdanguda,P02400007501,"Maheshwaram, Hyderabad, South Hyderabad, Hyderabad",Price on Request,ByPrajay Engineers Syndicate Pvt. Ltd.,"Children's Play Area, Yoga / Meditation Area, Tennis Court, Gazebo, Spa, Swimming Pool, Central Cooling System, Business Suites, Gymnasium, School, Jogging Track","Apr, 2028",3200 - 6220 sq.ft.,"Jun, 2023",5 Buildings - 374 units,12.8 Acres,25.38 K -27.18 K/sq.ft,"3, 4, 5 BHK Apartments"
r380872,Modi Esteem,https://housing.com/in/buy/projects/page/265097-modi-esteem-by-modi-builders-in-sambhupur,P02200003277,"Dundigal Gandimaisamma, Sambhupur, North Hyderabad, Hyderabad",32.45 L - 72.2 L,ByModi Builders,"Solar Lighting, Swimming Pool, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Gymnasium, Fire Fighting System, Electrification(Transformer, Solar Energy etc), Community Buildings, Closed Car Parking, Car Parking, 24X7 Water Supply",Ready to Move,800 - 2500 sq.ft.,"Mar, 2022",,,1.86 K - 3.26 K/sq.ft,"Residential Plot, 2, 3 BHK Villas"
r396679,Jupiter Homes,https://housing.com/in/buy/projects/page/283016-jupiter-homes-by-vijainder-reddy-bollepalli-in-samethanahalli,PRM/KA/RERA/1250/304/PR/190722/005080,"Katha No. 839/11/3, Sy No.11/3, Samethanahalli, Bangalore East , Bangalore",Price on Request,ByVijainder Reddy Bollepalli,"Reflexology Park, Skating Rink, Swimming Pool, Vastu Compliant, Gymnasium, Fire Fighting System, Car Parking, 24X7 Water Supply, Jogging Track, Senior Citizen Siteout, Gated Community","Dec, 2028",1442 - 2360 sq.ft.,"Nov, 2023",5 Buildings - 634 units,5.7 Acres,Price on request,"2, 3, 4 BHK Apartments"
r334009,Modi Lakeview,https://housing.com/in/buy/projects/page/282301-modi-lakeview-by-modi-builders-in-laxmiguda,P02400004624,"Laxmiguda, South Hyderabad, Hyderabad",45.8 L - 1.05 Cr,ByModi Builders,"Sub-Station, Fire Sprinklers, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Footpaths/Pedestrian, Fire Fighting System, Electrification(Transformer, Solar Energy etc), Community Buildings, Closed Car Parking, 24X7 Water Supply, Street Lighting","Oct, 2024",850 - 2802 sq.ft.,"Aug, 2024",68 units,,2.27 K -3.71 K/sq.ft,"Residential Plot, 2, 3 BHK Villas"
r429185,Narmada Residency,https://housing.com/buy-narmada-residency-by-future-homes-infra-in-hingna-nagpur-maharashtra-pid-324771,P50500076639,"Wanadongri, Hingna Road, Nagpur",34.72 L - 43.97 L,ByFuture Homes Infra,"Children's Play Area, Recreation Facilities, Landscaping & Tree Planting, Lift(s), Water Conservation, Rain water Harvesting, Fire Fighting System, Gymnasium, Closed Car Parking, 24X7 Water Supply, Multipurpose Hall, Street Lighting","Dec, 2028",833 - 1320 sq.ft.,"Jul, 2023",5 Buildings - 205 units,1.61 Acres,4.3 K/sq.ft,"2, 3 BHK Apartments"
r7740,Dipti Skycity,https://housing.com/in/buy/projects/page/292690-dipti-skycity-by-dipti-group-in-ambernath-east,P51700048627,"Ambarnath East, Beyond Thane, Ambernath",23.1 L - 38.23 L,ByDipti Group,"Gazebo, Swimming Pool, Landscaping & Tree Planting, Table Tennis, Fire Fighting System, Gymnasium, 24X7 Water Supply, Jogging Track, Senior Citizen Siteout, Street Lighting, Gated Community","Jan, 2027",1149 sq.ft.,"Apr, 2023",2 Buildings - 100 units,0.9 Acres,16.1 K/sq.ft,3 BHK Apartment
