XID,Name,Name_Score,Builder,Builder_Score,Address,Address_Score,Possession Status,Possession Status_Score,RERA,RERA_Score
r381691,Sudarshan Landmark,100,99acres: Jagjit Estate and Devlopment Company | Housing: BySurdrashan Builder And Developers,45,"99acres: Jogeshwari East | Housing: Plot Bearing Cts No 79,79 1 T O 3 Of Village Ismalia, Hindu Friends Society Road, Natwar Nagar Road No5, Jogeshwari East, Western Suburbs, Mumbai",19,Ready to Move,100,P51800030993,100
r402775,99acres: Aishwarya Sahakari Gruharachna Sanstha Maryadit | Housing: Aishwarya Sarasbaug,48,ByLohia Jain Malpani Properties,97,"99acres: Swargate | Housing: CTS No. 983/1 Part, Final Plot No. 500/1, Shukrawar Peth, Pune",17,"99acres: UNDER_CONSTRUCTION | Housing: Mar, 2027",15,99acres: Registered | Housing: nan,0
r398492,Dions Skywalk,96,99acres: Dion Group | Housing: ByDion Infratech Pvt Ltd,41,"99acres: Cda Sector-8 | Housing: Plot No-3b/1326, 1st Floor, Cda, Sector 8, Cuttack",35,"99acres: UNDER_CONSTRUCTION | Housing: Jun, 2023",22,MP/07/2022/00767,100
r429563,Fortune Prime,100,ByFortune Group,70,"99acres: Manjalpur | Housing: Beside Reliance Super Store, Nr Bahubali Cirlcle, Manjalpur, Vadodara",23,"99acres: NEW_LAUNCH | Housing: Dec, 2027",21,PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/MAA13711/250624/300929,100
r419794,Trishul Happy Homes Varenya,100,ByTrishul Builders And Promoters,97,"99acres: Sarjapur Road | Housing: Next To Prestige Smart City, Dommasandra, Sarjapur, Sarjapur Road, Bangalore",29,"99acres: UNDER_CONSTRUCTION | Housing: Jul, 2029",15,Rera Not Applicable,100
r426644,BPTP The Amaario,100,99acres: BPTP | Housing: ByBPTP Limited,44,"99acres: Sector 37D | Housing: Sector 37D, Dwarka Expressway, Gurgaon",42,"99acres: NEW_LAUNCH | Housing: Nov, 2022",21,99acres: Registered | Housing: nan,0
r384074,Surabhis Signature Villas Extension,83,BySurabhi Estates Private Limited,62,"99acres: Tellapur | Housing: Tellapur, Osman Nagar, West Hyderabad, Hyderabad",29,"99acres: READY_TO_MOVE | Housing: Dec, 2016",18,99acres: Registered | Housing: nan,0
r419876,Wave By Raghava,100,ByRaghava Projects,94,"99acres: Tellapur | Housing: Kollur, West Hyderabad, Hyderabad",20,"99acres: UNDER_CONSTRUCTION | Housing: Oct, 2026",22,P01100007254,100
r260370,63 DEGREE EAST,80,ByAssetz Property Group,95,"99acres: Kodathi | Housing: Chikkanayakanahalli At Off Sarjapur, South Bangalore, Bangalore",14,"99acres: READY_TO_MOVE | Housing: Dec, 2025",18,99acres: Registered | Housing: nan,0
r418843,Smartworld The Edition,100,BySmartworld Developers,95,"99acres: Sector 66 | Housing: Sector 66, Golf Course Extension Road, Gurgaon",33,99acres: UNDER_CONSTRUCTION | Housing: nan,0,RC/REP/HARERA/GGM/756/488/2023/100,100
r349023,Suvidha Shree Kapileshwar Dwelling,87,BySuvidha Developers Vadodara,96,"99acres: Ajwa Road | Housing: Rs 574 Paiki 1 ,tp 2 Fp 24 Sayajipura, Vadodara",21,99acres: UNDER_CONSTRUCTION | Housing: nan,0,99acres: Registered | Housing: nan,0
r103296,Kundan Praangan,100,ByKundan Spaces LLP,81,"99acres: Khadki | Housing: 31 Nearby Geet Govind Chowk Bopkhel Pune CME, Bopkhel, Pimpri Chinchwad, Pune",10,99acres: UNDER_CONSTRUCTION | Housing: nan,0,99acres: Registered | Housing: nan,0
r368140,KK Marks,100,ByK K Group Infra Realty,93,"99acres: Ravet | Housing: Sr No.100/3, Ravet, Pimpri Chinchwad, Pune",21,99acres: NEW_LAUNCH | Housing: nan,0,P52100025777,100
r328927,Samraat Apna Ghar,100,BySamraat Group,93,"99acres: Gangapur | Housing: Survey No. 49/1/2 50/2 Someshwar Satpur Link Road, Canal Road, Behind Serene Meadows, Gangapur Road, Nashik",14,99acres: READY_TO_MOVE | Housing: nan,0,"P51600020299, P51600020657, P51600029928",100
r432274,99acres: Shree Kriba Flats | Housing: Sumanth Sreshta Sri Vidya Theertha Kripa,35,99acres: JP builders Chennai | Housing: BySumanth & CO,24,"99acres: Thoraipakkam | Housing: Sivasunder Avenue First Street, Thiruvanmiyur, Chennai south, Chennai",17,99acres: READY_TO_MOVE | Housing: nan,0,,100
r426093,Sharanya Kadamb,100,BySharanya Infracon,67,"99acres: Thaltej | Housing: B/h, Aryaman Bungalows, Sharanya Group, Thaltej Shilaj Rd, Nr. Sankalp Garace 3, Opp. Zion Windfield, Shilaj, North West, Ahmedabad",10,99acres: UNDER_CONSTRUCTION | Housing: nan,0,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA13375/230424/311228,100
r396984,Whiteland Blissville Phase 3,83,ByWhiteland Corporation Private Limited,70,"99acres: Sector 76 | Housing: Sector 76, New Gurgaon, Gurgaon",45,99acres: UNDER_CONSTRUCTION | Housing: nan,0,GGM/598/330/2022/73 DATED 01.08.2022,100
r407796,99acres: Siva Sai Infra Myra | Housing: Myra,35,BySIVA SAI INFRA PROJECTS,96,"99acres: Kollur | Housing: Pati, Kollur, West Hyderabad, Hyderabad",27,99acres: UNDER_CONSTRUCTION | Housing: nan,0,99acres: Registered | Housing: nan,0
r383945,Eden Willow Estate,100,ByEden Group,91,"99acres: Narendrapur | Housing: Malancha-Bazaar, Narendrapur, Boral Main Road-Naredrapur, Kolkata",29,99acres: UNDER_CONSTRUCTION | Housing: nan,0,WBRERA/P/SOU/2023/000236,100
r396979,Atri Aqua,100,ByAtri Group,91,"99acres: Narendrapur | Housing: Narendrapur, South Kolkata, Kolkata",48,99acres: UNDER_CONSTRUCTION | Housing: nan,0,RERA Not Applicable,100
r406695,Dream World,100,ByManjeet Pride Group,95,"99acres: Chikalthana | Housing: Prozone Road, Opp. Cidco N1, Behind Physics Wallah Vidyapeeth, Cidco, Aurangabad",22,99acres: NEW_LAUNCH | Housing: nan,0,P51500049793,100
