XID,Name,Name_Score,Builder,Builder_Score,Address,Address_Score,Possession Status,Possession Status_Score,RERA,RERA_Score
r409908,99acres: Cinco Fairland | Housing: Fairland Phase I,0,ByCinco Realtors,100,"Chettipalayam, Coimbatore",100,Ready to Move,100,TN/11/Layout/1543/2023 dated 05/05/2023,100
r413382,Shriram Solitaire,100,99acres: Shriram Properties Limited | Housing: ByShriram Properties,0,"99acres: Yelahanka New Town | Housing: Yelahanka, North Bangalore, Bangalore",0,99acres: UNDER_CONSTRUCTION | Housing: Ready to Move,0,TOR/PRM/KA/RERA/1251/309/PR/221116/000068,100
r376088,99acres: Smart World Orchard | Housing: Smartworld Orchard,0,BySmartworld Developers,100,"Golf Course Extension Road, Opposite Grand Hyatt, Sector 61, Golf Course Extension Road, Gurgaon",100,"99acres: READY_TO_MOVE | Housing: Dec, 2024",0,RERA-GRG-1121-2022,100
r300077,Elevate At Godrej Se7en,100,ByGodrej Properties Ltd.,100,"Diamond Harbour Road. Hanspukuria, Joka, Diamond Harbour Road-Thakurpukur, Kolkata",100,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2028",0,"WBRERA/P/SOU/2023/000015, WBRERA/P/SOU/2024/001051",100
r398124,Alaya Belmonte,100,ByMount Group,100,"99acres: Charodi | Housing: B/H Vandemataram Fabula, Nr. Malabar County -1, B/h Nirma University, Chharodi, North West, Ahmedabad",0,"99acres: UNDER_CONSTRUCTION | Housing: Jul, 2024",0,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN106AA10006/110722,100
r429474,RLD Merlion Estate,100,99acres: Royal Land and Developers | Housing: ByRoyal land & Developers Pvt Ltd,0,"Noombal Road, Vanagaram, Chennai west, Chennai",100,Ready to Move,100,TN/2/Layout/3688/2024,100
r417614,Manjunatha MGR Windsor Gardens,100,BySri Manjunatha Developers,100,"99acres: 5th Phase JP Nagar | Housing: Ward No 187, JP Nagar, South Bangalore, Bangalore",0,"99acres: READY_TO_MOVE | Housing: Dec, 2025",0,PRM/KA/RERA/1251/310/PR/171023/006341,100
r386987,DS Max Sukruth,100,99acres: DS Max Properties | Housing: ByDS-MAX Properties Private Limited,0,"Iggalur Village, Chandapura, South Bangalore, Bangalore",100,"99acres: UNDER_CONSTRUCTION | Housing: Feb, 2026",0,PRM/KA/RERA/1251/308/PR/280222/004739,100
r393335,Sri Balajis Saphire,100,99acres: Sri Balajis Build Tech | Housing: BySri Balaji Associates,0,"S Nos.216/4 & 217/4 Of Maduravoyal, Chennai west, Chennai",100,"99acres: READY_TO_MOVE | Housing: Aug, 2026",0,TN/29/Building/0175/2022 dated 20/05/2022,100
r405295,Sapnil Residency Noapara,100,BySapnil Developers,100,"99acres: Noapara, Palpara | Housing: 37 A, A. K. Mukherjee Road, Noapara, Baranagar, Kolkata",0,"99acres: UNDER_CONSTRUCTION | Housing: Oct, 2028",0,WBRERA/P/NOR/2023/000588,100
r434608,Eldeco Fairway Reserve,100,99acres: Eldeco Group | Housing: ByEldeco Infrastructure & Properties Limited,0,"Sector 80, New Gurgaon, Gurgaon",100,"99acres: UNDER_CONSTRUCTION | Housing: Nov, 2028",0,GGM/880/612/2024/107,100
r437320,99acres: SS Sri Balan Flats | Housing: Meenakshi Classic,0,99acres: SS Builders Chennai | Housing: ByS. Balan Group,0,"99acres: Selaiyur | Housing: Off Ring Road, HSR Layout 1st Sector, Bangalore, South Bangalore, Bangalore",0,"99acres: UNDER_CONSTRUCTION | Housing: Jan, 2005",0,Rera Not Applicable,100
r24280,Runwal Forests Tower 9 To 11,100,ByRunwal Group,100,"99acres: Kanjurmarg west | Housing: Near Mangatram Petrol Pump Lal Bahadur Shastri Marg, Kanjurmarg, Central Mumbai Suburbs, Mumbai",0,"99acres: READY_TO_MOVE | Housing: Jul, 2023",0,P51800001137,100
r294633,Codename Skywards,100,ByJP Corp,100,"99acres: Ambernath East | Housing: Codename Skywards, Opposite Pentecostal Church, Near Rangoli Hotel, Beyond Thane, Ambernath",0,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2025",0,P51700013871,100
r398757,Trendsquares Ortus 3,100,99acres: Trendsquares Constructions | Housing: ByTrendsquare Constructions,0,"99acres: Amruthahalli | Housing: Behind Manyata Tech Park Amrutahalli Near Sri Lakshminarayana Swamy Temple, North Bangalore, Bangalore",0,"99acres: READY_TO_MOVE | Housing: Dec, 2023",0,PRM/KA/RERA/1251/472/PR/220922/005264,100
r376598,Ravimurugaa Sai Gardenia,100,99acres: Ravimurugaa Construction | Housing: ByRavi Murugaa Construction Pvt. Ltd,0,"99acres: Avinashi Road | Housing: Sowripalayam Village,,Peelamedu, Ramasamy Layout,, Coimbatore",0,Ready to Move,100,TN/11/Building/0090/2021,100
r402170,Imperial Ville,100,ByImperial Group,100,"Yaduraj Prime, Gandhi Path W, Vaishali Nagar, Jaipur",100,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2025",0,RAJ/P/2022/2306,100
r436787,Celestia,100,ByLohia Jain Malpani Properties,100,"99acres: Phursungi | Housing: Fursungi, Pune",0,"99acres: UNDER_CONSTRUCTION | Housing: Jun, 2027",0,P52100078194,100
r383703,Pch River Breeze,100,99acres: Pooja Crafted Homes | Housing: ByPch River Edge,0,"99acres: Narsingi | Housing: Manchirevula, Narsinghi, West Hyderabad, Hyderabad",0,"99acres: UNDER_CONSTRUCTION | Housing: Oct, 2027",0,P02400003641,100
r402665,Gursahani Twin Tower,100,ByShree Hinglajmata Constructions,100,"Gursahani Nagar, N4 Cidco, Aurangabad",100,"99acres: UNDER_CONSTRUCTION | Housing: Mar, 2025",0,P51500048239,100
r29040,99acres: Naiknavare Kutumb | Housing: Naiknavare Sylvan Premium,0,99acres: Naiknavare Developers | Housing: ByNaiknavare Housing Developements Pvt Ltd,0,"99acres: Talegaon Dabhade | Housing: Aundh, Pune, Pune",0,Ready to Move,100,99acres: Registered | Housing: nan,0
r394292,Ashwamedh Ratnaprabha,100,ByAshwamedh Spaces Pvt. Ltd,100,"Paud Road, Kothrud, Paud Road, Pune",100,"99acres: UNDER_CONSTRUCTION | Housing: Jun, 2025",0,P52100045880,100
r369336,99acres: Om Sree Brilliance | Housing: Omsree Brilliance,0,99acres: Om Sree Builders and Developers LLP | Housing: ByOm Sree Builders & Developers,0,"99acres: Dr AS Rao Nagar | Housing: Sainikpuri, Secunderabad",0,"99acres: READY_TO_MOVE | Housing: Jun, 2023",0,P02200002235,100
r367669,99acres: Assetz Canvas and Cove | Housing: CANVAS & COVE,0,ByAssetz Property Group,100,"Survey No. 149 & 150, Begur Hobli, South Bangalore, Bangalore",100,"99acres: UNDER_CONSTRUCTION | Housing: Mar, 2025",0,PRM/KA/RERA/1251/310/PR/200702/003480,100
r375899,Raama Skyz,100,99acres: Raamah Group | Housing: ByRaama Infracon,0,"Behind Sky Marc Opp.Shreenathji Palace Sama Savli Road, Vemali, Vadodara",100,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2023",0,PR/GJ/VADODARA/VADODARA/Others/MAA08178/100321,100
r390836,99acres: Anand Bhawan | Housing: Vaswani 36 AB Anand Bhavan,0,99acres: Jet Realty | Housing: ByVaswani Group,0,"99acres: Vile Parle West | Housing: 36th Road, Radha Soami Satsang Lane, Off Linking Road, Bandra (W), Western Suburbs, Mumbai",0,99acres: UNDER_CONSTRUCTION | Housing: Ready to Move,0,P51800001726,100
r258491,Prozone Palms,100,99acres: Prozone Intu Properties | Housing: ByAlliance Mall Developers Co Private Limited,0,"99acres: Saravanampatti | Housing: Sivanandhapuram, Coimbatore",0,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2024",0,Rera Not Applicable,100
r404912,Boston,100,99acres: Pride Group | Housing: ByPride Builders Llp,0,"Charholi Budruk, Pune",100,Under Construction,100,P52100049648,100
r422622,Wadhwa Wise City RZ8,100,ByThe Wadhwa Group,100,"Panvel, Navi Mumbai",100,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2029",0,P52000051752,100
r424835,Venkatesh Anandmayi,100,ByShree Venkatesh Buildcon Pvt Ltd,100,"99acres: Ambegaon Bk | Housing: Ambegaon Budruk, Pune",0,"99acres: NEW_LAUNCH | Housing: Sep, 2026",0,P52100055046,100
r392193,Kohinoor Abhimaan Homes Phase 3,100,99acres: Kohinoor Group Pune | Housing: ByKohinoor Group,0,"99acres: Shirgaon | Housing: New Mamurdi, Pimpri Chinchwad, Pune",0,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2026",0,P52100032485,100
r430319,P I Prosperity Homes,100,99acres: Prosperity Infraventure LLP | Housing: ByP I Group,0,"99acres: Sultanpur Road | Housing: Faizabad Road, Anora Kala, Lucknow",0,Ready to Move,100,RERA Not Applicable,100
r428449,99acres: Sun Siri The Capital | Housing: THE LOTUS SUNSIRI PROJECTS,0,BySUN SIRI PROJECTS PVT LTD,100,"99acres: Amaravathi | Housing: Amaravati, Guntur",0,"99acres: READY_TO_MOVE | Housing: May, 2025",0,Rera Not Applicable,100
r388872,The Empire,100,99acres: R Sandesh Group | Housing: ByJarry Profit,0,"Plot No - 19 & 20, Nanak Timber Market , Lashkaribagh, Near Kadbi Chowk, Kamptee Road, Kamptee Road, Nagpur",100,"99acres: UNDER_CONSTRUCTION | Housing: Mar, 2025",0,P50500034373,100
r410569,Gracewood Elegance,100,99acres: Shree Balaji Builders Vadodara | Housing: ByShree Balaji Builders,0,"Opp Casa Lakeside, Nr Auro Vivaanta, Bill-Chapad Road, Bill, Vadodara",100,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2027",0,PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RN348AA10248/080523,100
r409549,Protech Pride,100,ByProtech Group,100,"99acres: Satgaon | Housing: Bagharbari, Guwahati",0,"99acres: NEW_LAUNCH | Housing: Mar, 2027",0,"RERAA KM 22 OF 2023-2024, RERAA KM 23 OF 2023-2024, RERAA KM 24 OF 2023-2024",100
r432552,99acres: Altura 3 | Housing: MRG Altura III,0,99acres: MRG Group Jaipur | Housing: ByMRG Group,0,"Plot No 7-8, Mamta Residency, New Sanganer Road, Mansarovar, Jaipur",100,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2027",0,RAJ/P/2024/3237 (30/08/2024),100
r422307,Aakar Park,100,ByAakar Constructions Group,100,"Ghogli Road, Besa, Wardha Road, Nagpur",100,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2025",0,P50500054630,100
r422453,ASSETZ 66 & SHIBUI,100,ByAssetz Property Group,100,"Whitefield Main Road, Sathya Sai Layout, Whitefield, Bangalore East , Bangalore",100,"99acres: NEW_LAUNCH | Housing: Jun, 2028",0,PRM/KA/RERA/1251/446/PR/300124/006601,100
r430176,Elegance Pristine Apartment,100,ByElegance Homes,100,"99acres: Electronics City Phase 1 | Housing: Neeladri Nagar, Electronic City Phase 1, South Bangalore, Bangalore",0,Ready to Move,100,Rera Not Applicable,100
r376104,Modi Serene Park,100,ByModi Builders,100,"Ghatkesar, East Hyderabad, Hyderabad",100,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2030",0,P02200002680,100
r406974,Ramprastha Attalika,100,99acres: Ramprastha Real Estate | Housing: ByRamprastha Builders Pvt Ltd,0,"Sector 4, Vaishali, Ghaziabad",100,"99acres: NEW_LAUNCH | Housing: Dec, 2027",0,UPRERAPRJ149247,100
r418266,Iris,100,99acres: Srinidhi Projects Hyderabad | Housing: BySrinidhi Projects,0,"Bachupally, North Hyderabad, Hyderabad",100,"99acres: UNDER_CONSTRUCTION | Housing: Jul, 2026",0,P02200007134,100
r390105,Urrban League Riverscape,100,ByUrrban League,100,"Sr No 17/EE, Besides Bhavani Colony, Bandlaguda Jagir, West Hyderabad, Hyderabad",100,"99acres: UNDER_CONSTRUCTION | Housing: Mar, 2028",0,P02400004424,100
r437026,Lambodaras D Square City,100,ByLambodara Property Developers,100,"Saravanampatti, Coimbatore",100,99acres: UNDER_CONSTRUCTION | Housing: Ready to Move,0,Rera Not Applicable,100
r434859,99acres: AC Bel Air | Housing: A C Bel Air,0,ByA. C. Jain Builders and Developers LLP,100,"99acres: Nashik Road | Housing: Deolali, Nashik",0,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2030",0,P51600077025,100
r437301,Sakura Blossom,100,99acres: Sri Sai Chaitanya | Housing: ByMadhu Kumar B S,0,"99acres: Budigere Cross | Housing: Cheemasandra, Bangalore",0,"99acres: NEW_LAUNCH | Housing: Jul, 2027",0,PRM/KA/RERA/1251/446/PR/191024/007155,100
r390015,Vrindavan Phase 3,100,ByRadha Madhav Developers,100,"111 Acre Township Vrindavan Marg, Behind VCA Stadium, Jamtha, Wardha Road, Nagpur",100,99acres: UNDER_CONSTRUCTION | Housing: Possession Started,0,P50500034267,100
r413870,Pyramid Gloria,100,99acres: Pyramid Group of Companies | Housing: ByPyramid Tajshree Llp,0,"Besa, Wardha Road, Nagpur",100,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2025",0,P50500052196,100
r352,BPTP Parklands Pride,100,ByBPTP Limited,100,"99acres: BPTP | Housing: Sector 77, Faridabad",0,Ready to Move,100,HRERA-PKL-FBD-272-2021,100
r402643,DTC Sojon,100,99acres: DTC Developer | Housing: ByDTC Projects Pvt. Ltd.,0,"Joka, Kolkata",100,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2026",0,Rera Not Applicable,100
r431559,99acres: Silverglades The Legacy | Housing: Silverglades Legacy,0,BySilverglades Group,100,"Sector 63A, Golf Course Extension Road, Gurgaon",100,"99acres: UNDER_CONSTRUCTION | Housing: May, 2031",0,GGM/861/593/2024/88,100
r429359,99acres: Tulive Grandezza | Housing: Tulive Grandeeza,0,99acres: Tulive Developers | Housing: ByTulive GK Shetty,0,"Padikuppam Main Rd, Padi Kuppam, Koyambedu, Chennai west, Chennai",100,"99acres: NEW_LAUNCH | Housing: Oct, 2025",0,TN/29/BUILDING/0399/2024,100
r344265,99acres: Shriram Sunshine 2 | Housing: Sunshine Phase 2,0,99acres: Shriram Properties Limited | Housing: ByShriram Properties,0,"Uttarpara Kotrung, Uttarpara Kotrung, Hooghly",100,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2028",0,WBRERA/P/HOO/2023/000092,100
r386817,Shevi Utopia Gold,100,ByShevi Group,100,"Borhadewadi, Moshi, Pimpri Chinchwad, Pune",100,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2024",0,P52100033254,100
r427302,Ratnam Opal,100,ByRatnam Developers Ahmedabad,100,"99acres: Vaishnodevi Circle | Housing: Near Aryman Glory, Behind The Cbd, S P Ring Road, Tragad, North West, Ahmedabad",0,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2028",0,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA14293/211024/311228,100
