reg_no,Project_Name,Promoter_Name,Do you have any Past Experience ?,district,street,locality,state,mandal,Village/City/Town,Proposed Date of Completion,Revised_Proposed Date of Completion,Pin Code,Project Type,Total Area(In sqmts),Total Building Units (as per approved plan)
P02400003722,APARNA ZENON,APARNA CONSTRUCTIONS AND ESTATES PVT LTD,Yes,Hyderabad,ROAD NO 1,BANJARA HILLS,Telangana,KHAIRTABAD,PUNJAGUTTA,16/09/2027,,500089,Residential,137845.39,14
P02400003715,PRESTIGE BEVERLY HILLS,PRESTIGE GARDEN ESTATES PVT LTD,Yes,Hyderabad,Road No 4,Banjara Hills,Telangana,,,29/10/2027,,500075,Residential,23755.05,3
P02400003701,SOM BOULEVARD,SSI-KC DEVELOPERS,No,Ranga Reddy,Ayyappa Society Main Road,Madhapur,Telangana,Serilingampally,Madhapur,03/09/2027,,501203,Residential,168157.388,267
P02400003673,GIGACITI PHASE-3,VERTEX KLR DEVELOPERS LLP,Yes,Ranga Reddy,JUBILEE ENCLAVE,MADHAPUR,Telangana,Serilingampally,Madhapur,01/07/2024,,501359,Plotted Development,42762.54,
P02400003652,VASAVI SKYLA,VASAVI HOMES LLP,No,Hyderabad,ANILATH MAJA HOUSING SOCIETY,BANJARAHILLS,Telangana,,,22/11/2027,,500032,Residential,24552.86,6
P02400003641,RIVER BREEZE,PCH RIVER EDGE LLP,No,Hyderabad,ROAD NO 22,"JUBILEE HILLS, HYDERABAD",Telangana,,,12/10/2027,,500075,Residential,8303.77,1
P02400003546,LOTUS GRAND,LOTUS PROJECTS,No,Ranga Reddy,GANDIPET MAIN ROAD,KOKAPET,Telangana,Gandipet,koKapet,31/12/2024,31/12/2024,500075,Residential,25399.83,1
P02400003537,GEM NAKSHATHRA BLOCK B AND C,GEM VIVENDAS PRIVATE LIMITED,No,Hyderabad,KONDAPUR MAIN ROAD,KONAPUR,Telangana,,,31/08/2026,,500075,Residential,10151.85,3
P02400003490,PBEL CITY TOWER P,INDIS APPA TWO PROJECTS PRIVATE LIMITED,Yes,Hyderabad,ROAD NO.44,JUBILEE HILLS,Telangana,,,28/04/2026,,500091,Residential,53057.27,1
P02400003398,VASAVI ATLANTIS,VASAVI CONSTRUCTIONS LLP,No,Hyderabad,NORTHEND ANILATH MAJA HOUSING SOCIETY,ROAD NO 2,Telangana,,,07/08/2028,,500075,Residential,48580.94,10
P02400003264,GIGACITI PHASE-2,VERTEX KLR DEVELOPERS LLP,Yes,Ranga Reddy,JUBILEE ENCLAVE,MADHAPUR,Telangana,Serilingampally,Madhapur,10/06/2024,,501359,Plotted Development,157551.11,
P02400003226,HALLMARK TREASOR,HALLMARK BUILDERS,Yes,Ranga Reddy,ALAKAPOORI TOWNSHIP,NEKNAMPOOR,Telangana,Gandipet,Neknapur,05/11/2025,,500075,Mixed Development (Residential & Commercial),18725.31,2
P02400003072,THE OLYMPUS,SUMADHURA VASAVI INFRASTRUCTURE LLP,No,Hyderabad,"1st Floor, North End,",Anilath Maja Housing Society,Telangana,AMEERPET,,28/01/2027,,500008,Residential,21260.04,3
P02400003071,ASBL SPECTRA,ASHOKA BUILDERS INDIA PRIVATE LIMITED,Yes,Ranga Reddy,PSR PRIME TOWER,GACHIBOWLI,Telangana,,,04/05/2027,,500089,Residential,32071.337,4
P02400003069,VIVA CITY,INDIS SMART HOMES PRIVATE LIMITED,No,Ranga Reddy,ROAD NO. 44,JUBILEE HILLS,Telangana,Serilingampally,Guttala begumPet,24/04/2027,,500084,Residential,32985.26,4
P02400003042,HALLMARK SKYRENA,HALLMARK HOUSING INFRA,No,Ranga Reddy,Gachibowli,Gachibowli,Telangana,Serilingampally,Gachi Bowli,20/10/2024,,500089,Mixed Development (Residential & Commercial),24925.32,3
P02400003031,WEST BROOK,CYBERCITY INFRASTRUCTURE PRIVATE LIMITED,No,Hyderabad,ROAD NO.36,JUBILEE HILLS,Telangana,,,31/10/2026,,500075,Residential,44528.43,3
P02400002908,SREE HEMADURGA PARADISE,SHARVANI VENTURES & AVENUES PRIVATE LIMITED,Yes,Ranga Reddy,GACHIBOWLI CROSS ROADS,GACHIBOWLI,Telangana,Serilingampally,Gachi Bowli,02/09/2026,02/09/2026,500050,Residential,32729.16,6
P02400002893,PRESTIGE HIGH FIELDS PH II,PRESTIGE ESTATES PROJECTS LIMITED,Yes,Hyderabad,ROAD NO 4,BANJARA HILLS,Telangana,,,31/08/2022,31/08/2022,500032,Residential,6478.50,1
P02400002867,KOHINOOR PHASE-II,MAHIRA VENTURES PRIVATE LIMITED (FORMERLY KNOWN AS MAHIRA POWER SYSTEMS PRIVATE LIMITED),No,Ranga Reddy,jUBLIE ENCLAVE,Miyapur,Telangana,Serilingampally,,16/03/2027,,500032,Residential,101198.26,3
P02400002807,VERTEX KINGSTON PARK,VERTEX KLR DEVELOPERS LLP,Yes,Ranga Reddy,Jubilee Enclave,Madhapur,Telangana,Serilingampally,Madhapur,19/02/2027,,500019,Residential,153386.14,252
P02400002792,GIGA CITY,VERTEX KLR DEVELOPERS LLP,Yes,Ranga Reddy,Jubilee Enclave,Madhapur,Telangana,Serilingampally,Madhapur,26/02/2024,,501359,Plotted Development,417893.06,
P02400002725,THE TALES OF GREEK,SUCHIRINDIA CONSTRUCTIONS PRIVATE LIMITED,No,Hyderabad,JOURNALIST COLONY,JUBILEE HILLS,Telangana,,,23/02/2025,,500052,Residential,9964.20,1
P02400002673,APARNA SAROVAR ZICON,APARNA INFRAHOUSING PRIVATE LIMITED,Yes,Hyderabad,ROAD NO.1,BANJARA HILLS,Telangana,,,22/01/2027,,500019,Residential,103184.84,14
P02400002654,LANSUM EL DORADO,LANSUM PROPERTIES LLP,Yes,Hyderabad,ROAD NO 78,JUBILEE HILLS,Telangana,,,30/01/2027,,500032,Residential,17199.52,3
P02400002634,POULOMI AVANTE,POULOMI ESTATES PRIVATE LIMITED,Yes,Hyderabad,GREENLANDS,BEGUMPET,Telangana,,,24/01/2027,,500075,Residential,19227.81,4
P02400002613,ANUHAR TOWERS,ANUHAR HOMES PRIVATE LIMITED,Yes,Hyderabad,SRINAGAR COLONY,YELLAREDDYGUDA,Telangana,,,03/11/2025,,500032,Residential,16691.90,5
P02400002503,FORTUNE SONTHALIA SKY VILLAS,SRI SREENIVASA INFRA,No,Hyderabad,AYYAPPA SOCIETY MAIN ROAD,MADHAPUR,Telangana,,,25/09/2026,,500075,Residential,20941.87,5
P02400002487,RAJAPUSHPA PROVINCIA,RAJAPUSHPA PROPERTIES PVT. LTD.,Yes,Hyderabad,SILICON VALLEY,MADHAPUR,Telangana,,,19/01/2027,,500075,Residential,98231.52,13
P02400002468,Aakriti Miro Block A 13-14 Floors,AAKRITI CONSTRUCTIONS AND DEVELOPERS PRIVATE LIMITED,Yes,Hyderabad,ROAD NO 36,JUBILEE HILLS,Telangana,Shaikpet,VENKATGIRI I,17/10/2026,17/10/2026,500019,Residential,14285.27,1
P02400002361,HALLMARK COUNTY,HALLMARK INFRA-CON (INDIA) PRIVATE LIMITED,Yes,Ranga Reddy,PIPELINE ROAD,MANIKONDA,Telangana,Gandipet,Manikonda,17/11/2025,,500107,Residential,86699.83,172
P02400002324,Aakriti Miro B C D Block,AAKRITI CONSTRUCTIONS AND DEVELOPERS PRIVATE LIMITED,Yes,Hyderabad,ROAD NO 36,JUBILEE HILLS,Telangana,Shaikpet,VENKATGIRI I,17/10/2026,17/10/2026,500019,Residential,14285.27,3
P02400002272,"SMR VINAY ICONIA, PHASE-II, BLOCK-5 is named as EVEREST",SMR BUILDERS PRIVATE LIMITED,Yes,Hyderabad,NAGARJUNA HILLS,PUNJAGUTTA,Telangana,KHAIRTABAD,PUNJAGUTTA,02/08/2025,,500084,Residential,48419.41,1
P02400002261,ASBL SPIRE,ASHOKA BUILDERS INDIA PRIVATE LIMITED,No,Ranga Reddy,PSR PRIME TOWER,GACHI BOWLI,Telangana,Serilingampally,Gachi Bowli,01/07/2026,,500075,Residential,12196.03,1
P02400002236,Prestige Tranquil,PRESTIGE GARDEN ESTATES PVT LTD,Yes,Hyderabad,Road No 4,Banjara Hills,Telangana,,,24/09/2026,,500075,Residential,31777.46,4
P02400002207,"SMR VINAY ICONIA, PHASE-II, BLOCK-4 is named as SHIVALIK",SMR BUILDERS PRIVATE LIMITED,Yes,Hyderabad,NAGARJUNA HILLS,PUNJAGUTTA,Telangana,KHAIRTABAD,PUNJAGUTTA,22/01/2026,22/01/2026,500084,Residential,48419.41,1
P02400002183,CANDEUR40,CANDEUR DEVELOPERS & BUILDERS,No,Hyderabad,PLOT NO 9,HUDA ENCLAVE SHAIKPET,Telangana,,,16/09/2026,,500049,Residential,18770.58,4
P02400002104,HALLMARK COUNTY,HALLMARK INFRA-CON (INDIA) PRIVATE LIMITED,Yes,Ranga Reddy,PIPELINE ROAD,MANIKONDA,Telangana,Gandipet,Manikonda,18/11/2025,,500107,Plotted Development,86699.83,
P02400001919,AMBIENCE COURTYARD,HOUSZ BUILDTECH LLP,No,Hyderabad,opp State Bank of India Jayabheri Envlave,Gachibowli,Telangana,,,30/12/2024,,500089,Mixed Development (Residential & Commercial),32269.37,9
P02400001911,NIVRITI,SATYA SREE DEVELOPERS LLP,No,Ranga Reddy,NA,MIYAPUR,Telangana,Serilingampally,Miyapur,22/03/2026,,500049,Residential,15579.86,3
P02400001909,PBEL CITY TOWER M - SAPPHIRE,INCOR APPA TWO PROJECTS PRIVATE LIMITED,No,Hyderabad,KAVURI HILLS,MADHAPUR,Telangana,,,01/03/2023,,500091,Residential,96820,1
P02400001822,KOHINOOR,MAHIRA VENTURES PRIVATE LIMITED (FORMERLY KNOWN AS MAHIRA POWER SYSTEMS PRIVATE LIMITED),No,Ranga Reddy,jUBLIE ENCLAVE,Miyapur,Telangana,Serilingampally,,28/01/2026,,500084,Residential,53369.09,3
P02400001802,ABHIRAMA SUPER HOMES,SUPER HOMES CONSTRUCTIONS,Yes,Ranga Reddy,VASAVI COLONY,KOTHAPET,Telangana,Saroornagar,Vasavi colony,31/03/2024,,500079,Residential,6808,1
P02400001646,IRIS Luxury Homes,Subishi Infra,Yes,Ranga Reddy,Kondapur,Kondapur,Telangana,Serilingampally,Kondapur,02/05/2022,01/05/2021,501203,Residential,70455.25,151
P02400001645,lakshmi cadillac,LAKSHMI INFRA,No,Hyderabad,MODEL COLONY,MODEL COLONY,Telangana,AMEERPET,,07/11/2025,07/11/2025,500008,Residential,12140.46,4
P02400001563,FRONTLINE SEVEN,FRONTLINE BUILDERS,Yes,Ranga Reddy,"Opp CBIT COLLEGE, KOKAPET",KOKAPET,Telangana,Gandipet,koKapet,05/10/2024,,500075,Residential,27719.66,6
P02400001263,HONER AQUANTIS,HONER DEVELOPERS PRIVATE LIMITED,Yes,Ranga Reddy,JUBILEE ENCLAVE,MADHAPUR,Telangana,Serilingampally,,31/08/2025,,500019,Residential,42838.76,8
P02400001263,HONER AQUANTIS,HONER DEVELOPERS PRIVATE LIMITED,Yes,Ranga Reddy,JUBILEE ENCLAVE,MADHAPUR,Telangana,Serilingampally,,31/08/2025,,500019,Residential,42838.76,8
P02400001260,APARNA LUXOR PARK,APARNA CONSTRUCTIONS AND ESTATES PVT LTD,Yes,Hyderabad,ROAD NO 1,BANJARA HILLS,Telangana,KHAIRTABAD,PUNJAGUTTA,04/04/2025,,500084,Residential,28810.19,4
P02400001111,ADITYA ATHENA,SRI ADITYA HOMES PRIVATE LIMITED,Yes,Hyderabad,ROAD NO.3,BANJARA HILLS,Telangana,KHAIRTABAD,,09/07/2025,,500008,Residential,24555.29,6
P02400001099,APARNA WESTERN MEADOWS PHASE IV,APARNA INFRAHOUSING PRIVATE LIMITED,Yes,Hyderabad,ROAD NO.1,BANJARA HILLS,Telangana,,,16/04/2022,,501203,Plotted Development,150040.59,
P02400001057,PRANAVA SAMA LAKSHMA REDDY GREENWICH,BOORUGU INFRA PROJECTS PRIVATE LIMITED,No,Hyderabad,DD COLONY,BAGH AMBERPET,Telangana,,,08/09/2026,,500048,Residential,36364.33,122
P02400001051,SUMADHURA HORIZON,M/s.SUMADHURA INFRACON PRIVATE LIMITED,Yes,Hyderabad,ROAD NO 36,JUBLEE HILLS,Telangana,,,27/06/2025,,500008,Residential,21957.35,4
P02400000970,PARADISE,MODI BUILDERS & INFRASTRUCTURES PRIVATE LIMITED,Yes,Hyderabad,ROAD NO 2,BANJARA HILLS,Telangana,,,01/01/2029,,501505,Residential,16212.68,3
P02400000967,BOLLINENI BION,KRISHNAIAH PROJECT PVT LTD,No,Hyderabad,Road No. 7,Banjara Hills,Telangana,,,13/06/2025,,500084,Residential,35044.52,3
P02400000820,RAMI REDDY TOWERS,ANUHAR HOMES PRIVATE LIMITED,Yes,Hyderabad,SRINAGAR COLONY,YELLAREDDYGUDA,Telangana,,,06/11/2024,,500034,Mixed Development (Residential & Commercial),17516.88,5
P02400000676,PBEL CITY TOWER N - RUBY,INCOR APPA TWO PROJECTS PRIVATE LIMITED,No,Hyderabad,KAVURI HILLS,MADHAPUR,Telangana,,,10/01/2023,,500091,Residential,96820,1
P02400000630,Hillcrest Phase 2,Pacifica India Projects Pvt Ltd,No,Hyderabad,Financial District,Gachibowli,Telangana,,,31/12/2025,31/12/2025,500048,Residential,148462.77,5
P02400000616,Sirula Seema 1,swargaseemasandalwoodfarmspvtltd,No,Ranga Reddy,Old mumbai highway,Gachibowli,Telangana,Serilingampally,Gachi Bowli,20/02/2020,20/02/2020,509202,Plotted Development,146136,
